__CLASS__,longitude,contract_time,id,title,salary_max,created,salary_min,salary_is_predicted,adref,latitude,redirect_url,description,location.__CLASS__,location.area,location.display_name,category.__CLASS__,category.tag,category.label,company.display_name,company.__CLASS__,contract_type
Adzuna::API::Response::Job,-83.290307,part_time,5735258991,Part-Time After-School Improv & Theater Instructor,208000.0,2026-05-20T12:15:33Z,104000.0,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNTI1ODk5MSIsInMiOiJvaktjZVdsVThSR0I2OFg3bTJVT3FRIn0._-3mvCXI2991bl-JyplnpJDkP8yMOzCToeFjWfQfBSA,30.806137,https://www.adzuna.com/details/5735258991?utm_medium=api&utm_source=abfa41a4,"Location : Local partner schools Schedule : 1–4 hours per week (after school) Program Length : Typically 10 weeks Start Dates : Programs launch throughout the school year Compensation: $50 per instructional hour, flexible based on assignment and instructor experience Teach engaging enrichment classes that help students explore new interests and build real skills. Concorde Education partners with schools to provide high-quality after-school programs led by passionate instructors. In this role, y…",Adzuna::API::Response::Location,"['US', 'Georgia', 'Lowndes County', 'Remerton']","Remerton, Lowndes County",Adzuna::API::Response::Category,part-time-jobs,Part time Jobs,Concorde Education,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,-83.290307,part_time,5735258996,"Chorus Instructor (Part Time, In-Person)",208000.0,2026-05-20T12:15:33Z,104000.0,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNTI1ODk5NiIsInMiOiJvaktjZVdsVThSR0I2OFg3bTJVT3FRIn0.dsiGAb5djj87oIYvuYtZhOo1z5ngqAoipNhVf63LuIM,30.806137,https://www.adzuna.com/details/5735258996?utm_medium=api&utm_source=abfa41a4,"Job Summary As a Chorus Instructor at Concorde Education, you will help cultivate musical talent and appreciation among K-12 students. This position is integral to our mission of providing comprehensive, customized education. By engaging students in chorus activities, you will not only enhance their musical abilities but also contribute to their overall artistic and personal development. Your impact will be seen in the students' increased confidence, teamwork skills, and musical proficiency. Ge…",Adzuna::API::Response::Location,"['US', 'Georgia', 'Lowndes County', 'Remerton']","Remerton, Lowndes County",Adzuna::API::Response::Category,part-time-jobs,Part time Jobs,Concorde Education,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,-83.487615,part_time,5735258995,"Cooking Instructor (Part Time, After School, In-Person)",208000.0,2026-05-20T12:15:33Z,104000.0,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNTI1ODk5NSIsInMiOiJvaktjZVdsVThSR0I2OFg3bTJVT3FRIn0.MYG5kQBIzNkTUhsO-xYNQohfnEu3mPU9thQRVRcybWQ,31.453784,https://www.adzuna.com/details/5735258995?utm_medium=api&utm_source=abfa41a4,"Schedule: Typically 1 hour per week for 10 weeks (after school); exact days/times vary by assignment Location: On-site at a partner school or community site; varies by assignment Start Date: Rolling openings based on partner schedules Position Overview Concorde Education is seeking an engaging, student-centered Cooking Instructor to facilitate a short-format after-school enrichment course for students. This course introduces learners to foundational culinary skills, kitchen safety, and healthy …",Adzuna::API::Response::Location,"['US', 'Georgia', 'Cook County', 'El Dorado']","El Dorado, Cook County",Adzuna::API::Response::Category,part-time-jobs,Part time Jobs,Concorde Education,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,-73.71732,full_time,5735258857,Diesel Mechanic,43087.12,2026-05-20T12:14:48Z,43087.12,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib2pLY2VXbFU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM1MjU4ODU3In0.r2J-ykc7If28HXUbykHw8FuCCP8c4IySA7DV17dwc9s,41.20716,https://www.adzuna.com/details/5735258857?utm_medium=api&utm_source=abfa41a4,"Overview: Interstate Waste Services is the most progressive and innovative provider of solid waste and recycling services in the greater New York, New Jersey and Connecticut markets with a rail-served landfill in Ohio ! IWS is committed to delivering high-quality waste, recycling and environmental services, while prioritizing the safety of our employees, customers and communities. We cater to a diverse range of industrial, medical and commercial/residential customers. Founded in 1998, IWS has g…",Adzuna::API::Response::Location,"['US', 'New York', 'Westchester County', 'Mount Kisco']","Mount Kisco, Westchester County",Adzuna::API::Response::Category,maintenance-jobs,Maintenance Jobs,Interstate Waste Services,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,-74.65104,full_time,5735258856,Yellow Iron Mechanic,45498.66,2026-05-20T12:14:47Z,45498.66,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib2pLY2VXbFU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM1MjU4ODU2In0.EZvsfEcS_jeurrTy1D0P1R0yf1k-0m8aed-x3csEyiM,40.2222,https://www.adzuna.com/details/5735258856?utm_medium=api&utm_source=abfa41a4,"Overview: Interstate Waste Services is the most progressive and innovative provider of solid waste and recycling services in the greater New York, New Jersey and Connecticut markets with a rail-served landfill in Ohio! IWS is committed to delivering high-quality waste, recycling and environmental services, while prioritizing the safety of our employees, customers and communities. We cater to a diverse range of industrial, medical and commercial/residential customers. Founded in 1998, IWS has gr…",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Mercer County', 'Hamilton Square']","Hamilton Square, Mercer County",Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,Interstate Waste Services,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,-74.850756,full_time,5735258852,Overnight Diesel Mechanic,93852.27,2026-05-20T12:14:47Z,93852.27,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib2pLY2VXbFU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM1MjU4ODUyIn0.OX69fbBNogp3jlVut1vdq_hfYWRMRZUaTUqec_2_k5o,40.519455,https://www.adzuna.com/details/5735258852?utm_medium=api&utm_source=abfa41a4,"Overview: Fuel Your Career with Us! Are you a skilled Diesel Mechanic looking for your next opportunity? Join our team at Interstate Waste Services and put your expertise to work! Interstate Waste Services is the most progressive and innovative provider of solid waste and recycling services in the country! We primarily service Northern New Jersey, Southern New York State, New York City, with a landfill located in Ohio, where we also own and operate a state-of-the-art rail-served landfill. We ca…",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Hunterdon County', 'Flemington']","Flemington, Hunterdon County",Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,Interstate Waste Services,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,-74.0046,full_time,5735258809,Maintenance Technician Level A,77769.32,2026-05-20T12:14:45Z,77769.32,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNTI1ODgwOSIsInMiOiJvaktjZVdsVThSR0I2OFg3bTJVT3FRIn0.XLBmD-3FQmpr-nji0wiZugePHnHTtwLg3PW6umkNm_0,40.37058,https://www.adzuna.com/details/5735258809?utm_medium=api&utm_source=abfa41a4,"Overview: Interstate Waste Services is the most progressive and innovative provider of solid waste and recycling services in the country! We primarily service Northern New Jersey, Southern New York State, New York City, with a landfill located in Ohio, where we also own and operate a state-of-the-art rail-served landfill. We cater to a diverse range of residential, industrial and commercial customers. Our mission has always been to provide our customers with the highest quality waste, recycling…",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Monmouth County', 'Rumson']","Rumson, Monmouth County",Adzuna::API::Response::Category,maintenance-jobs,Maintenance Jobs,Interstate Waste Services,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,-74.36444,full_time,5735258836,Diesel Mechanic Class A - Overnight,91827.46,2026-05-20T12:14:45Z,91827.46,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNTI1ODgzNiIsInMiOiJvaktjZVdsVThSR0I2OFg3bTJVT3FRIn0.8Ddz5sCAhOGWt0ylCmNnD59OibFdtaA8AQbMpScDa5w,40.993404,https://www.adzuna.com/details/5735258836?utm_medium=api&utm_source=abfa41a4,"Overview: This position is for the Overnight Shift 2am - 1030am Monday to Friday Interstate Waste Services is the most progressive and innovative provider of solid waste and recycling services in the greater New York, New Jersey and Connecticut markets with a rail-served landfill in Ohio. IWS is committed to delivering high-quality waste, recycling and environmental services, while prioritizing the safety of our employees, customers and communities. We cater to a diverse range of industrial, me…",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Morris County', 'Kinnelon']","Kinnelon, Morris County",Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,Interstate Waste Services,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,-74.43702,full_time,5735258827,Maintenance Technician Level A,66711.16,2026-05-20T12:14:45Z,66711.16,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib2pLY2VXbFU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM1MjU4ODI3In0.vh0IeRDnL58nVVkfiyCW6IxE_dNxaLkVNXS8iICVTbQ,40.63134,https://www.adzuna.com/details/5735258827?utm_medium=api&utm_source=abfa41a4,"Overview: Interstate Waste Services is the most progressive and innovative provider of solid waste and recycling services in the country! We primarily service Northern New Jersey, Southern New York State, New York City, with a landfill located in Ohio, where we also own and operate a state-of-the-art rail-served landfill. We cater to a diverse range of residential, industrial and commercial customers. Our mission has always been to provide our customers with the highest quality waste, recycling…",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Union County', 'North Plainfield']","North Plainfield, Union County",Adzuna::API::Response::Category,maintenance-jobs,Maintenance Jobs,Interstate Waste Services,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,-75.388797,full_time,5735258815,Mechanic B,87902.51,2026-05-20T12:14:45Z,87902.51,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNTI1ODgxNSIsInMiOiJvaktjZVdsVThSR0I2OFg3bTJVT3FRIn0.KhM2CUNOGhHKqS99_ASaTxghFepjJot4X5weCxGK9Lg,40.143744,https://www.adzuna.com/details/5735258815?utm_medium=api&utm_source=abfa41a4,"Overview: Interstate Waste Services is the most progressive and innovative provider of solid waste and recycling services in the greater New York, New Jersey and Connecticut markets with a rail-served landfill in Ohio. IWS is committed to delivering high-quality waste, recycling and environmental services, while prioritizing the safety of our employees, customers and communities. We cater to a diverse range of industrial, medical and commercial/residential customers. Founded in 1998, IWS has gr…",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Montgomery County', 'Trooper']","Trooper, Montgomery County",Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,Interstate Waste Services,Adzuna::API::Response::Company,permanent
