redirect_url,id,__CLASS__,salary_max,salary_is_predicted,salary_min,adref,description,latitude,title,longitude,created,category.__CLASS__,category.tag,category.label,location.__CLASS__,location.display_name,location.area,company.display_name,company.__CLASS__,contract_type,contract_time
https://www.adzuna.com/land/ad/5773722769?se=mG5qTBxv8RG6VbN9WE0NzQ&utm_medium=api&utm_source=abfa41a4&v=D8AEB33190FD4553600528F5CCE3E6E6EA3350D1,5773722769,Adzuna::API::Response::Job,61880.0,0,0.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibUc1cVRCeHY4Ukc2VmJOOVdFME56USIsImkiOiI1NzczNzIyNzY5In0.ztptzowd5WGK8cZQvLb9EhQCKs1W3ArVLeKBcbb-Y7o,"GHR Healthcare - Travel is seeking a travel Cardiac Sonographer for a travel job in Newton Lower Falls, Massachusetts. Job Description & Requirements Specialty: Cardiac Sonographer Discipline: Allied Health Professional Start Date: 07/12/2026 Duration: 12 weeks 20 hours per week Shift: 16 hours Employment Type: Travel GHR Healthcare - Travel Job ID 76093772. Pay package is based on 16 hour shifts and 20 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Abou…",42.33151,"Travel Cardiac Sonographer - $1,190 per week",-71.2559,2026-06-23T11:53:38Z,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"Newton Lower Falls, Middlesex County","['US', 'Massachusetts', 'Middlesex County', 'Newton Lower Falls']",GHR Healthcare - Travel,Adzuna::API::Response::Company,,
https://www.adzuna.com/land/ad/5773722731?se=mG5qTBxv8RG6VbN9WE0NzQ&utm_medium=api&utm_source=abfa41a4&v=90711033C7A810E9A6E04BE4926A7408CBC3091D,5773722731,Adzuna::API::Response::Job,156364.0,0,0.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3MzcyMjczMSIsInMiOiJtRzVxVEJ4djhSRzZWYk45V0UwTnpRIn0.Oxt24MelEEVqgCdCBlR1Y6ZCRLvTGp8LOr_neXVr0_Y,"Vivian is looking for Travel Physical Therapist Therapys in Seattle, Washington paying up to $3,007/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover jo…",47.606389,"Travel Physical Therapist - Paying up to $3,007/week",-122.330833,2026-06-23T11:53:30Z,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"Times Square, King County","['US', 'Washington', 'King County', 'Times Square']",Vivian Health,Adzuna::API::Response::Company,,
https://www.adzuna.com/details/5773722695?utm_medium=api&utm_source=abfa41a4,5773722695,Adzuna::API::Response::Job,39520.0,0,33280.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibUc1cVRCeHY4Ukc2VmJOOVdFME56USIsImkiOiI1NzczNzIyNjk1In0.JWykJeuc8LO3u9SrLt4OSUTdPIN48Y38v_kqYmHdbJA,"About This Role Hiring an experienced Retail Sales Associate. You will help every customer by discovering their needs and finding the products and services that gives them the best cycling experience possible. You will have a focus on exceeding customer expectations and sales goals. All in a fun, welcoming, and fast paced environment! A passion for cycling, knowledge of bicycles, and a proactive and positive attitude are qualities at the top of our list! In this job you will Interact with custo…",43.323057,Bicycle Shop Retail Sales Associate,-70.624838,2026-06-23T11:53:27Z,Adzuna::API::Response::Category,retail-jobs,Retail Jobs,Adzuna::API::Response::Location,"Wells, York County","['US', 'Maine', 'York County', 'Wells']",Gorham Bike & Ski,Adzuna::API::Response::Company,permanent,full_time
https://www.adzuna.com/details/5773722707?utm_medium=api&utm_source=abfa41a4,5773722707,Adzuna::API::Response::Job,52000.0,0,52000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3MzcyMjcwNyIsInMiOiJtRzVxVEJ4djhSRzZWYk45V0UwTnpRIn0.ryafIenxdwHB8YldrU3mN8MG0iCIly6f4Kyvt2iWOU4,"About This Role The Rimon Preschool at Sherith Israel is seeking caring, dependable, and energetic Substitute Teachers to join our team. Substitute Teachers provide a safe, nurturing, and engaging environment for children ages 6 weeks to 5 years old while supporting classroom routines and maintaining compliance with Tennessee Department of Human Services (DHS) licensing requirements. This position is ideal for individuals who enjoy working with young children, especially infants and toddlers! T…",36.111421,Substitute Teachers Early Childhood,-86.867107,2026-06-23T11:53:27Z,Adzuna::API::Response::Category,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Location,"Belle Meade, Davidson County","['US', 'Tennessee', 'Davidson County', 'Belle Meade']",The Rimon Preschool at Sherith Israel,Adzuna::API::Response::Company,permanent,part_time
https://www.adzuna.com/details/5773722698?utm_medium=api&utm_source=abfa41a4,5773722698,Adzuna::API::Response::Job,40560.0,0,36400.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3MzcyMjY5OCIsInMiOiJtRzVxVEJ4djhSRzZWYk45V0UwTnpRIn0.6g63Qh2zEsnfz5WSqDtxxElV32J0Y_GZsLifihTZ8iQ,"About This Role Start Date: August 28, 2026  Hours: Mon-Fri 10 am to 5:30 p.m. Total Hours: 35 (1/2 hr. non-paid break each day) 1 st Church Preschool is an NAEYC accredited morning and full day preschool program located in Cheshire. Our program is not religiously affiliated, and our play-based philosophy promotes learning through hands-on experiences. We provide education and childcare for children aged 2.9 months through 6 years old. Our preschool is a school-year program with a 9-week summer…",41.506948,Preschool Assistant Teacher/Floater,-72.907488,2026-06-23T11:53:27Z,Adzuna::API::Response::Category,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Location,"Cheshire, New Haven County","['US', 'Connecticut', 'New Haven County', 'Cheshire']",1st Church Preschool,Adzuna::API::Response::Company,permanent,full_time
https://www.adzuna.com/details/5773722710?utm_medium=api&utm_source=abfa41a4,5773722710,Adzuna::API::Response::Job,35360.0,0,31200.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3MzcyMjcxMCIsInMiOiJtRzVxVEJ4djhSRzZWYk45V0UwTnpRIn0.77AzV4mkQP5x2rzMi3VcO6aUDjyZ9jNhDNpScByvEz4,"About This Role Hilltop Children’s Center is hiring dedicated early childhood educators. We are looking for warm, dependable, professional teachers who truly enjoy working with young children and want to be part of a high-quality early learning environment. Experience is welcome, but not required. What matters most is maturity, reliability, kindness, willingness to learn, and a genuine respect for children. This is not a babysitting position. To apply, please send your resume and a short note e…",30.689906,Early Childhood Educator - Assistant,-97.928511,2026-06-23T11:53:27Z,Adzuna::API::Response::Category,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Location,"Liberty Hill, Williamson County","['US', 'Texas', 'Williamson County', 'Liberty Hill']",Hilltop Children's Center,Adzuna::API::Response::Company,permanent,full_time
https://www.adzuna.com/details/5773722628?utm_medium=api&utm_source=abfa41a4,5773722628,Adzuna::API::Response::Job,52000.0,0,41600.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibUc1cVRCeHY4Ukc2VmJOOVdFME56USIsImkiOiI1NzczNzIyNjI4In0.x6NWl7_M8TTrlvfQiSTbjRP-VZ5Kyru4HzM05QDTrTc,"About This Role Little Tot’s Academy is an early childhood education program designed to meet the developmental needs of children six weeks to school age. The emphasis of our program is on encouraging creative and expressive play through skill based learning. We are searching for Educators who will provide children with a broad range of opportunities that will enable them to build a solid foundation for their future. Educators will support children through age appropriate projects, hands-on act…",44.38344,Early Childhood Educator,-72.97356,2026-06-23T11:53:13Z,Adzuna::API::Response::Category,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Location,"Bolton Valley, Chittenden County","['US', 'Vermont', 'Chittenden County', 'Bolton Valley']",Little Tots Academy,Adzuna::API::Response::Company,permanent,full_time
https://www.adzuna.com/details/5773722609?utm_medium=api&utm_source=abfa41a4,5773722609,Adzuna::API::Response::Job,38480.0,0,35360.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibUc1cVRCeHY4Ukc2VmJOOVdFME56USIsImkiOiI1NzczNzIyNjA5In0.W_Q3wE8zl0ZkHWBt9BvCnMW77s_S-IfFgzY7fLY_7VU,"About This Role The Assistant Teacher supports the Lead Teacher by helping to create a caring and safe environment for the children and assisting in activities to improve the overall care and quality of education. The assistant teacher must be able to communicate, listen and work well with others in a team environment. Assisting the staff in implementing a quality educational program and in developing positive relationships with the children and their parents, t he assistant teacher observes an…",40.15122,Daycare Assistant Teacher,-74.0394,2026-06-23T11:53:09Z,Adzuna::API::Response::Category,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Location,"Spring Lake Heights, Monmouth County","['US', 'New Jersey', 'Monmouth County', 'Spring Lake Heights']",Tiny Treasures Nursery School,Adzuna::API::Response::Company,permanent,full_time
https://www.adzuna.com/details/5773722556?utm_medium=api&utm_source=abfa41a4,5773722556,Adzuna::API::Response::Job,43680.0,0,37440.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3MzcyMjU1NiIsInMiOiJtRzVxVEJ4djhSRzZWYk45V0UwTnpRIn0.dGkllZH3cloYFLw0syx0K2z7fb6VP4QSzGphQnIrjN8,"About This Role Leila Day is in search of a high energy, enthusiastic teacher assistant for our After School Program who is familiar with and/or willing to learn about outdoor education, art education, and working with young children in an after-school context. The afternoon Teacher Assistant for the After School Adventure Program class supports the fulltime teachers in rolling out an emergent, developmentally appropriate curriculum that is reflective of children's interests, grounded in meanin…",41.317804,Assistant Teacher- After School Program,-72.93083,2026-06-23T11:52:58Z,Adzuna::API::Response::Category,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Location,"Hamden, New Haven County","['US', 'Connecticut', 'New Haven County', 'Hamden']",Leila Day Nurseries,Adzuna::API::Response::Company,permanent,part_time
https://www.adzuna.com/details/5773722559?utm_medium=api&utm_source=abfa41a4,5773722559,Adzuna::API::Response::Job,40560.0,0,35360.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3MzcyMjU1OSIsInMiOiJtRzVxVEJ4djhSRzZWYk45V0UwTnpRIn0.yIrZ7jT-mm01SsPDxSFfqI9iVuOP3jK3vUc3z0Uj_1A,"About This Role Seeking part - time , Year-Round Floating Nature Assistant Teacher for new nature-based child care center in Putnam, CT. We are expanding our high quality and affordable early childhood education to families living in the Northeast Corner of CT. Our nature-based program is for children ages 6 weeks old - 6 years old. In this position we are looking for a candidate to work with children ages 6 weeks - 24 months. If you are collaborative, innovative, and deeply committed to nature…",41.90676,Older Infant / Toddler Nature Assistant Teacher Float,-71.86698,2026-06-23T11:52:58Z,Adzuna::API::Response::Category,teaching-jobs,Teaching Jobs,Adzuna::API::Response::Location,"Putman, Windham County","['US', 'Connecticut', 'Windham County', 'Putman']",Linda's House Pediatric Day Care & Preschool,Adzuna::API::Response::Company,permanent,part_time
