contract_time,salary_max,id,latitude,salary_min,description,redirect_url,title,created,salary_is_predicted,__CLASS__,longitude,adref,location.display_name,location.area,location.__CLASS__,category.tag,category.__CLASS__,category.label,company.__CLASS__,company.display_name,contract_type
part_time,45317.0,5763650515,34.255102,45317.0,"How you will change lives As a Patient Care Technician (PCT) at US Renal Care, you will be an integral part of a cross-functional team providing care and delegated activities of treatment to patients. The PCT will work under the supervision of a Registered Nurse (RN) or Charge Nurse (CN) for patients with renal failure. What you'll be doing Patient care. You will work directly with patients to provide safe, comfortable, and high-quality dialysis treatment. Responsibilities include gathering pat…",https://www.adzuna.com/details/5763650515?utm_medium=api&utm_source=abfa41a4,Dialysis Patient Care Technician,2026-06-14T11:08:31Z,1,Adzuna::API::Response::Job,-118.597553,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUd5a1lBTm84UkcwYnRHeHFISDNxdyIsImkiOiI1NzYzNjUwNTE1In0.yGJRDzVyqj65i7qAWrk7FDDMN0yUfvJpz60QLamTHM0,"Chatsworth, Los Angeles County","['US', 'California', 'Los Angeles County', 'Chatsworth']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,U.S. Renal Care,
full_time,52939.88,5763650507,39.16704,52939.88,"Overview: Lead with Compassion. Serve with Purpose. We have an exciting and rewarding opportunity for a RN Hospice Administrator to join our leadership team. This role is ideal for a licensed Registered Nurse (RN) with strong leadership experience in hospice care, home health, or clinical operations management. If you’re a natural leader who is passionate about patient-centered care, team development, and clinical excellence, we invite you to bring your talent to a place where you can truly mak…",https://www.adzuna.com/details/5763650507?utm_medium=api&utm_source=abfa41a4,Hospice RN Administrator I,2026-06-14T11:08:25Z,1,Adzuna::API::Response::Job,-94.33002,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MzY1MDUwNyIsInMiOiJxR3lrWUFObzhSRzBidEd4cUhIM3F3In0.WuRQtxkvfir5FUgNMSW9yGwofrOLg3X0i5Ea2OIaGkg,"Independence, Jackson County","['US', 'Missouri', 'Jackson County', 'Independence']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Gentiva Hospice,
full_time,74627.58,5763650501,34.311883,74627.58,"Overview: Lead with Heart. Be the Difference. Transform End-of-Life Care. Join our company, where every day is an opportunity to deliver personalized, meaningful hospice and palliative care to patients facing life-limiting illness. We support patients and their families with dignity, comfort, and love. What You'll Do as a Hospice RN / RN Case Manager: Be the primary point of contact for patients and families, guiding them through every step of their hospice journey. Deliver and document skilled…",https://www.adzuna.com/details/5763650501?utm_medium=api&utm_source=abfa41a4,Hospice Registered Nurse,2026-06-14T11:08:23Z,1,Adzuna::API::Response::Job,-92.380301,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUd5a1lBTm84UkcwYnRHeHFISDNxdyIsImkiOiI1NzYzNjUwNTAxIn0.PdqHMfXTwQ37NhFgbl2xY81RzyWVpsOZIz_1evVQjNc,"Sheridan, Grant County","['US', 'Arkansas', 'Grant County', 'Sheridan']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Gentiva Hospice,
full_time,76169.4,5763650496,38.929157,76169.4,"Overview: Lead with Heart. Be the Difference. Transform End-of-Life Care. Join our company, where every day is an opportunity to deliver personalized, meaningful hospice and palliative care to patients facing life-limiting illness. We support patients and their families with dignity, comfort, and love. What You'll Do as a Hospice RN / RN Case Manager: Be the primary point of contact for patients and families, guiding them through every step of their hospice journey. Deliver and document skilled…",https://www.adzuna.com/details/5763650496?utm_medium=api&utm_source=abfa41a4,Hospice Registered Nurse,2026-06-14T11:08:21Z,1,Adzuna::API::Response::Job,-97.378512,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUd5a1lBTm84UkcwYnRHeHFISDNxdyIsImkiOiI1NzYzNjUwNDk2In0.kFH8cqdZXcf212GSTQU2XeLSJRwGzrl-MLIHCeBmG7o,"Solomon, Dickinson County","['US', 'Kansas', 'Dickinson County', 'Solomon']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Gentiva Hospice,
full_time,39027.52,5763650492,36.103638,39027.52,"Be a Changemaker at Foster! At Foster, we’re more than just a team—we’re a family united by a shared mission: to positively impact lives. As a Replenishment Associate, you’ll play a critical role in ensuring our warehouse operates like a well-oiled machine, keeping our products moving smoothly and our customers delighted. This is your opportunity to contribute to something bigger while working in an environment that values fun, teamwork, and making a difference every day. Who You Are: You’re a …",https://www.adzuna.com/details/5763650492?utm_medium=api&utm_source=abfa41a4,Forklift Operator,2026-06-14T11:08:20Z,1,Adzuna::API::Response::Job,-80.215929,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MzY1MDQ5MiIsInMiOiJxR3lrWUFObzhSRzBidEd4cUhIM3F3In0.I2IG3d1uCvZDdatQmASniBnM-wyDk3W5qWZ83JGjtz4,"Winston Salem, Forsyth County","['US', 'North Carolina', 'Forsyth County', 'Winston Salem']",Adzuna::API::Response::Location,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,Foster Caviness Company,
full_time,58105.0,5763650487,31.066037,58105.0,"Overview: $15,000 sign- on bonus available Lead with Compassion. Serve with Purpose. We have an exciting and rewarding opportunity for a RN Hospice Administrator to join our leadership team. This role is ideal for a licensed Registered Nurse (RN) with strong leadership experience in hospice care, home health, or clinical operations management. If you’re a natural leader who is passionate about patient-centered care, team development, and clinical excellence, we invite you to bring your talent t…",https://www.adzuna.com/details/5763650487?utm_medium=api&utm_source=abfa41a4,Hospice RN Administrator II,2026-06-14T11:08:15Z,1,Adzuna::API::Response::Job,-85.125546,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MzY1MDQ4NyIsInMiOiJxR3lrWUFObzhSRzBidEd4cUhIM3F3In0.ocfMjgKgByNAIH6IMz_mIsPl82jCM_fQDq64lgj8fNs,"Gordon, Houston County","['US', 'Alabama', 'Houston County', 'Gordon']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Gentiva Hospice,
part_time,31720.65,5763650489,39.22317,31720.65,"We want you to help us shape the future of shopping experiences and deliver on our purpose of connecting people with the products and experiences that enrich their lives. Joining Retail Odyssey, an Advantage Solutions company, means joining a network of 65,000 teammates serving 4,000 brands and retail customers across 40 countries. All the while, being provided the opportunities, support, and enrichment you need to grow your career. In this role, you will provide in-store merchandising support …",https://www.adzuna.com/details/5763650489?utm_medium=api&utm_source=abfa41a4,Retail Merchandiser,2026-06-14T11:08:15Z,1,Adzuna::API::Response::Job,-83.80377,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUd5a1lBTm84UkcwYnRHeHFISDNxdyIsImkiOiI1NzYzNjUwNDg5In0.HsJfkC6g4Qpein6l9zPnNNG4asO4Qz7bqxAIYi4BIoc,"Lynchburg, Highland County","['US', 'Ohio', 'Highland County', 'Lynchburg']",Adzuna::API::Response::Location,retail-jobs,Adzuna::API::Response::Category,Retail Jobs,Adzuna::API::Response::Company,The Retail Odyssey Company,
part_time,45607.44,5763650486,38.071751,45607.44,"We want you to help us shape the future of shopping experiences and deliver on our purpose of connecting people with the products and experiences that enrich their lives. Joining Retail Odyssey, an Advantage Solutions company, means joining a network of 65,000 teammates serving 4,000 brands and retail customers across 40 countries. All the while, being provided the opportunities, support, and enrichment you need to grow your career. In this role, you will provide in-store merchandising support …",https://www.adzuna.com/details/5763650486?utm_medium=api&utm_source=abfa41a4,Retail Merchandiser,2026-06-14T11:08:15Z,1,Adzuna::API::Response::Job,-78.503937,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUd5a1lBTm84UkcwYnRHeHFISDNxdyIsImkiOiI1NzYzNjUwNDg2In0.ieayfeJgoiybNOG3QVF7d4vymzY2xDMR4amCBei1A_Y,"Newcomb Hall, Charlottesville City","['US', 'Virginia', 'Charlottesville City', 'Newcomb Hall']",Adzuna::API::Response::Location,retail-jobs,Adzuna::API::Response::Category,Retail Jobs,Adzuna::API::Response::Company,The Retail Odyssey Company,
full_time,79103.09,5763650479,34.307883,79103.09,"Overview: Inspire Excellence. Mentor Clinicians. Transform Hospice Care. We are seeking an experienced and compassionate Hospice RN Preceptor to join our team and play a critical role in guiding and mentoring newly hired hospice nurses. This position combines hands-on patient care with dedicated clinical education, ensuring new team members are fully prepared to deliver exceptional end-of-life care. As a role model and trusted resource, you will inspire confidence, support skill development, an…",https://www.adzuna.com/details/5763650479?utm_medium=api&utm_source=abfa41a4,Hospice Nurse Preceptor,2026-06-14T11:08:13Z,1,Adzuna::API::Response::Job,-83.82489,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MzY1MDQ3OSIsInMiOiJxR3lrWUFObzhSRzBidEd4cUhIM3F3In0.YCt7nUPNWF5pcji5Ic7rrQZeoyImFoHq1X1RdWUzv1U,"Gainesville, Hall County","['US', 'Georgia', 'Hall County', 'Gainesville']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Regency SouthernCare Hospice,
full_time,64373.44,5763650474,35.614893,64373.44,"Overview: Lead with Compassion. Serve with Purpose. We have an exciting and rewarding opportunity for a RN Hospice Administrator to join our leadership team. This role is ideal for a licensed Registered Nurse (RN) with strong leadership experience in hospice care, home health, or clinical operations management. If you’re a natural leader who is passionate about patient-centered care, team development, and clinical excellence, we invite you to bring your talent to a place where you can truly mak…",https://www.adzuna.com/details/5763650474?utm_medium=api&utm_source=abfa41a4,Hospice RN Administrator,2026-06-14T11:08:11Z,1,Adzuna::API::Response::Job,-77.402804,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MzY1MDQ3NCIsInMiOiJxR3lrWUFObzhSRzBidEd4cUhIM3F3In0.bCHBWfi1Nn4bn5sONmhN__qObmthzcr-fqBWpXKJFVE,"Greenville, Pitt County","['US', 'North Carolina', 'Pitt County', 'Greenville']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Gentiva Hospice,
