created,id,adref,description,salary_max,longitude,salary_is_predicted,__CLASS__,salary_min,latitude,redirect_url,title,category.tag,category.__CLASS__,category.label,location.display_name,location.__CLASS__,location.area,company.__CLASS__,company.display_name,contract_time,contract_type
2026-05-30T10:42:50Z,5745660664,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkdIb0ZqWmM4UkdiR3ZXLWJjQ2NIQSIsImkiOiI1NzQ1NjYwNjY0In0.7eDmHA6x33gmPHWqsW3VCVkzJGUskKwfgdLnyddOk8c,"Job Description Job Description This full-time position offers flexible work hours and ample opportunities for advancement into management roles. You will work remotely to serve clients and offer valuable advice and protection to individuals and their families. ﻿ What We Offer: Remote, work from home career. Average first-year earnings of $69K commission  bonuses. Life-long residual income through renewals. Unionized position with stock options. Excellent benefits package - medical, dental, and…",70043.37,-122.004179,1,Adzuna::API::Response::Job,70043.37,37.564143,https://www.adzuna.com/land/ad/5745660664?se=JGHoFjZc8RGbGvW-bcCcHA&utm_medium=api&utm_source=abfa41a4&v=A8500B1A32E07EF5054AE52921645CF4B441E569,Remote Sales and Service Advisor,customer-services-jobs,Adzuna::API::Response::Category,Customer Services Jobs,"Fremont, Alameda County",Adzuna::API::Response::Location,"['US', 'California', 'Alameda County', 'Fremont']",Adzuna::API::Response::Company,HMG Careers,,
2026-05-30T10:42:37Z,5745660651,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkdIb0ZqWmM4UkdiR3ZXLWJjQ2NIQSIsImkiOiI1NzQ1NjYwNjUxIn0.0iMJOuqi723ACheGFrt1tuZPZC3LXRchtNlDbkpklyg,"Job Description Job Description This full-time position offers flexible work hours and ample opportunities for advancement into management roles. You will work remotely to serve clients and offer valuable advice and protection to individuals and their families. ﻿ What We Offer: Remote, work from home career. Average first-year earnings of $69K commission  bonuses. Life-long residual income through renewals. Unionized position with stock options. Excellent benefits package - medical, dental, and…",71961.57,-73.046431,1,Adzuna::API::Response::Job,71961.57,41.222094,https://www.adzuna.com/land/ad/5745660651?se=JGHoFjZc8RGbGvW-bcCcHA&utm_medium=api&utm_source=abfa41a4&v=2C37410E7CB946201CB3BB80F1EE2B95AF852614,Remote Sales Representative,customer-services-jobs,Adzuna::API::Response::Category,Customer Services Jobs,"Milford, New Haven County",Adzuna::API::Response::Location,"['US', 'Connecticut', 'New Haven County', 'Milford']",Adzuna::API::Response::Company,HMG Careers,,
2026-05-30T10:42:37Z,5745660650,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkdIb0ZqWmM4UkdiR3ZXLWJjQ2NIQSIsImkiOiI1NzQ1NjYwNjUwIn0.uuUR1EPILq8ADPv0cRnhkgnv4ZvUFcgU8K-OTcjW7Ck,"Job Description Job Description This full-time position offers flexible work hours and ample opportunities for advancement into management roles. You will work remotely to serve clients and offer valuable advice and protection to individuals and their families. ﻿ What We Offer: Remote, work from home career. Average first-year earnings of $69K commission  bonuses. Life-long residual income through renewals. Unionized position with stock options. Excellent benefits package - medical, dental, and…",61105.32,-93.283002,1,Adzuna::API::Response::Job,61105.32,44.883298,https://www.adzuna.com/land/ad/5745660650?se=JGHoFjZc8RGbGvW-bcCcHA&utm_medium=api&utm_source=abfa41a4&v=1EC479FB47F64323BD99ABEA3258CC4AEF672DC0,Work From Home Sales Specialist,customer-services-jobs,Adzuna::API::Response::Category,Customer Services Jobs,"Richfield, Hennepin County",Adzuna::API::Response::Location,"['US', 'Minnesota', 'Hennepin County', 'Richfield']",Adzuna::API::Response::Company,HMG Careers,,
2026-05-30T10:42:35Z,5745660646,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkdIb0ZqWmM4UkdiR3ZXLWJjQ2NIQSIsImkiOiI1NzQ1NjYwNjQ2In0.FGgLyuJTnPIIB9SnjCsx22qVNAT_98hG_ABgzvK_pXE,"Job Description Job Description This full-time position offers flexible work hours and ample opportunities for advancement into management roles. You will work remotely to serve clients and offer valuable advice and protection to individuals and their families. ﻿ What We Offer: Remote, work from home career. Average first-year earnings of $69K commission  bonuses. Life-long residual income through renewals. Unionized position with stock options. Excellent benefits package - medical, dental, and…",64177.16,-90.188738,1,Adzuna::API::Response::Job,64177.16,41.844474,https://www.adzuna.com/land/ad/5745660646?se=JGHoFjZc8RGbGvW-bcCcHA&utm_medium=api&utm_source=abfa41a4&v=9C02F0409F8B134A8384EE9721B1728491C281F4,Work From Home Sales Specialist,customer-services-jobs,Adzuna::API::Response::Category,Customer Services Jobs,"Clinton, Clinton County",Adzuna::API::Response::Location,"['US', 'Iowa', 'Clinton County', 'Clinton']",Adzuna::API::Response::Company,HMG Careers,,
2026-05-30T10:42:34Z,5745660644,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkdIb0ZqWmM4UkdiR3ZXLWJjQ2NIQSIsImkiOiI1NzQ1NjYwNjQ0In0.mWBH59NQnsujdCsDZ2ZgtmrG-YiXeaJlfrzN688ABaE,"Job Description Job Description Day Shift Anesthesiologist | No Nights, No Calls, No Weekends| Charleston, SC Practice Exceptional Medicine While Enjoying Your Life Outside of Work Imagine practicing anesthesia in one of the most desirable coastal cities in the county, with a predictable daytime schedule, no nights, no call responsibilities, and no weekends. Trident Anesthesia Group (TAG) is seeking a Board-Certified or Board-Eligible Anesthesiologist to join our independently owned private pra…",153515.52,-80.003183,1,Adzuna::API::Response::Job,153515.52,32.930579,https://www.adzuna.com/land/ad/5745660644?se=JGHoFjZc8RGbGvW-bcCcHA&utm_medium=api&utm_source=abfa41a4&v=0159486577F8CB38C11D44E75A7D10404BD5443B,"Day Shift Anesthesiologist | No Call, No Nights, No Weekends",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Charleston, Charleston County",Adzuna::API::Response::Location,"['US', 'South Carolina', 'Charleston County', 'Charleston']",Adzuna::API::Response::Company,Trident Anesthesia Group LLC,,
2026-05-30T10:42:24Z,5745660639,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkdIb0ZqWmM4UkdiR3ZXLWJjQ2NIQSIsImkiOiI1NzQ1NjYwNjM5In0.r6IO80xPL6-NQGMjxUMHrXpASKbHl2myTRBp2zyfBP8,"CDL-A DEDICATED COMPANY TRUCK DRIVERS OPPORTUNITIES. DEDICATED DRIVERS: Great Home Time & Pay Earn up to $70,000 or more annually Bonuses may be available Call and ask for details of routes available in your area. Benefits: Health, Dental & Vision Insurance with prescription benefits for employees and dependents 401(k) Match Basic and Supplemental Life Insurance and Accidental Death and Dismemberment Insurance Short-Term and Long-Term Disability Insurance Accident Insurance Hospital Indemnity, …",70000.0,-83.426164,0,Adzuna::API::Response::Job,0.0,41.905713,https://www.adzuna.com/land/ad/5745660639?se=JGHoFjZc8RGbGvW-bcCcHA&utm_medium=api&utm_source=abfa41a4&v=BBE2C116DF802EA65CE2E6DDF25EECA2BD15FA26,CDL-A Company Driver - 1-5mo EXP Required - Dedicated - Dry Van - $70k per year - U.S. Xpress - Dedicated,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Frenchtown, Monroe County",Adzuna::API::Response::Location,"['US', 'Michigan', 'Monroe County', 'Frenchtown']",Adzuna::API::Response::Company,U.S. Xpress - Dedicated,full_time,
2026-05-30T10:42:24Z,5745660635,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkdIb0ZqWmM4UkdiR3ZXLWJjQ2NIQSIsImkiOiI1NzQ1NjYwNjM1In0.DSzvmIerdGR5Eod2PNtWq7iWe9A02QpcSCy6VBuL0io,"CDL-A DEDICATED COMPANY TRUCK DRIVERS OPPORTUNITIES. DEDICATED DRIVERS: Great Home Time & Pay Earn up to $70,000 or more annually Bonuses may be available Call and ask for details of routes available in your area. Benefits: Health, Dental & Vision Insurance with prescription benefits for employees and dependents 401(k) Match Basic and Supplemental Life Insurance and Accidental Death and Dismemberment Insurance Short-Term and Long-Term Disability Insurance Accident Insurance Hospital Indemnity, …",70000.0,-80.653595,0,Adzuna::API::Response::Job,0.0,41.098958,https://www.adzuna.com/land/ad/5745660635?se=JGHoFjZc8RGbGvW-bcCcHA&utm_medium=api&utm_source=abfa41a4&v=6E91DDFE6B47F9A2A43EEA9C2FCD7436E073F16C,Truck Driver Company - 1-5mo EXP Required - Dedicated - Dry Van - $70k per year - U.S. Xpress - Dedicated,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Youngstown, Mahoning County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Mahoning County', 'Youngstown']",Adzuna::API::Response::Company,U.S. Xpress - Dedicated,full_time,
2026-05-30T10:42:24Z,5745660636,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkdIb0ZqWmM4UkdiR3ZXLWJjQ2NIQSIsImkiOiI1NzQ1NjYwNjM2In0.tvX25OCXiuaiWso1gc5S-XZhXQBO0uu-0oJ4KMCKguA,"CDL-A DEDICATED COMPANY TRUCK DRIVERS OPPORTUNITIES. DEDICATED DRIVERS: Great Home Time & Pay Earn up to $70,000 or more annually Bonuses may be available Call and ask for details of routes available in your area. Benefits: Health, Dental & Vision Insurance with prescription benefits for employees and dependents 401(k) Match Basic and Supplemental Life Insurance and Accidental Death and Dismemberment Insurance Short-Term and Long-Term Disability Insurance Accident Insurance Hospital Indemnity, …",70000.0,-77.041912,0,Adzuna::API::Response::Job,0.0,38.906704,https://www.adzuna.com/land/ad/5745660636?se=JGHoFjZc8RGbGvW-bcCcHA&utm_medium=api&utm_source=abfa41a4&v=4B9D42C7564C9C5114C7C493F2AE8F8468D6D509,Class A CDL Company Driver - 1-5mo EXP Required - Dedicated - Dry Van - $70k per year - U.S. Xpress - Dedicated,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Washington, D.C., US",Adzuna::API::Response::Location,"['US', 'Washington, D.C.']",Adzuna::API::Response::Company,U.S. Xpress - Dedicated,full_time,
2026-05-30T10:42:23Z,5745660608,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkdIb0ZqWmM4UkdiR3ZXLWJjQ2NIQSIsImkiOiI1NzQ1NjYwNjA4In0.HAOpnwiVlXTqTCaW-t0pZejZc9r_s2rWy4zCXlzyrdc,"CDL-A DEDICATED COMPANY TRUCK DRIVERS OPPORTUNITIES. DEDICATED DRIVERS: Great Home Time & Pay Earn up to $70,000 or more annually Bonuses may be available Call and ask for details of routes available in your area. Benefits: Health, Dental & Vision Insurance with prescription benefits for employees and dependents 401(k) Match Basic and Supplemental Life Insurance and Accidental Death and Dismemberment Insurance Short-Term and Long-Term Disability Insurance Accident Insurance Hospital Indemnity, …",70000.0,-83.553563,0,Adzuna::API::Response::Job,0.0,41.665197,https://www.adzuna.com/land/ad/5745660608?se=JGHoFjZc8RGbGvW-bcCcHA&utm_medium=api&utm_source=abfa41a4&v=25C784744C364CAAFCCAC3F55E0BD5A2559006C0,Dedicated CDL-A Company Driver - 1-5mo EXP Required - Dry Van - $70k per year - U.S. Xpress - Dedicated,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Toledo, Lucas County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Lucas County', 'Toledo']",Adzuna::API::Response::Company,U.S. Xpress - Dedicated,full_time,
2026-05-30T10:42:23Z,5745660622,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0NTY2MDYyMiIsInMiOiJKR0hvRmpaYzhSR2JHdlctYmNDY0hBIn0.ybUeetrHF0t-yHsGlkDHZIGaQ-8KS8OmfTEE9GzAKFw,"CDL-A DEDICATED COMPANY TRUCK DRIVERS OPPORTUNITIES. DEDICATED DRIVERS: Great Home Time & Pay Earn up to $70,000 or more annually Bonuses may be available Call and ask for details of routes available in your area. Benefits: Health, Dental & Vision Insurance with prescription benefits for employees and dependents 401(k) Match Basic and Supplemental Life Insurance and Accidental Death and Dismemberment Insurance Short-Term and Long-Term Disability Insurance Accident Insurance Hospital Indemnity, …",70000.0,-71.0663,0,Adzuna::API::Response::Job,0.0,42.361749,https://www.adzuna.com/land/ad/5745660622?se=JGHoFjZc8RGbGvW-bcCcHA&utm_medium=api&utm_source=abfa41a4&v=207236326416A1992FECB552CBBB117056180428,Truck Driver Company - 1-5mo EXP Required - Dedicated - Dry Van - $70k per year - U.S. Xpress - Dedicated,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Boston, Suffolk County",Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Suffolk County', 'Boston']",Adzuna::API::Response::Company,U.S. Xpress - Dedicated,full_time,
