__CLASS__,id,salary_min,adref,redirect_url,latitude,longitude,created,title,salary_is_predicted,salary_max,description,location.area,location.__CLASS__,location.display_name,company.__CLASS__,company.display_name,category.label,category.tag,category.__CLASS__,contract_time,contract_type
Adzuna::API::Response::Job,5731515482,36000.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTEVQU0FETlI4UkdpSmNoUHpLUnR3dyIsImkiOiI1NzMxNTE1NDgyIn0.yM9GKQ1wMqx131oT6nS7sZn2UTf0jdX5wxwZtwAEKKs,https://www.adzuna.com/land/ad/5731515482?se=LEPSADNR8RGiJchPzKRtww&utm_medium=api&utm_source=abfa41a4&v=480BDD99670882939C420037F0DDA85E808B82FC,42.794547,-111.019413,2026-05-16T10:19:09Z,Amazon Package Delivery Driver,0,43000.0,"As an Amazon Package Delivery Driver for Amazon Flex, you will have the unique opportunity to be your own boss while delivering Amazon packages. Our independent contractor role is designed for individuals seeking flexibility and autonomy, allowing you to choose your schedule via the Amazon Flex app and deliver for services like Amazon Prime and Amazon Fresh. This position is ideal for those looking to manage their own time while contributing to the speedy and reliable delivery service that Amaz…","['US', 'Wyoming', 'Lincoln County', 'Afton']",Adzuna::API::Response::Location,"Afton, Lincoln County",Adzuna::API::Response::Company,Amazon,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,,
Adzuna::API::Response::Job,5731515470,41000.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTEVQU0FETlI4UkdpSmNoUHpLUnR3dyIsImkiOiI1NzMxNTE1NDcwIn0.Sq5wopHNEbNb6zhNEub4v0PcaBeZDXVQdz-2D8MnoOc,https://www.adzuna.com/land/ad/5731515470?se=LEPSADNR8RGiJchPzKRtww&utm_medium=api&utm_source=abfa41a4&v=9FACFA0BAF072E8C92449D6F8A28FA5F458F54E3,30.3323,-81.5806,2026-05-16T10:19:07Z,Drivers wanted,0,55000.0,"Join Lyft and become part of a community dedicated to connecting people with safe, reliable transportation options. As a Lyft driver, your primary role will be to provide friendly, efficient, and reliable transportation services to Lyft users. This involves using the Lyft mobile app to accept ride requests, ensuring a smooth and safe travel experience for passengers, and maintaining accurate travel logs. The opportunity allows for flexible scheduling, giving you the freedom to work as much or a…","['US', 'Florida', 'Duval County', 'Atlantic Beach']",Adzuna::API::Response::Location,"Atlantic Beach, Duval County",Adzuna::API::Response::Company,Lyft,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,,
Adzuna::API::Response::Job,5731515474,42000.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTEVQU0FETlI4UkdpSmNoUHpLUnR3dyIsImkiOiI1NzMxNTE1NDc0In0.romHLpb5LJncoZDtSWGVdHwGL-P-d4qDGz3hizrTDWw,https://www.adzuna.com/land/ad/5731515474?se=LEPSADNR8RGiJchPzKRtww&utm_medium=api&utm_source=abfa41a4&v=F0615FCDA4C7CBE3F051809625039BCBC07058B7,29.995189,-82.393852,2026-05-16T10:19:07Z,Drive with Lyft,0,65000.0,"Join Lyft, a pioneer in the ride-hailing industry, and be part of a team that values safety, community, and reliable transportation services. As a Lyft driver, you have the flexibility to choose your own hours and drive in areas that suit you best. Use Lyft's innovative mobile app platform to connect with riders who need smooth, quick transportation either within the city or for longer trips. Our drivers are crucial in ensuring that every ride is a safe, enjoyable, and high-quality experience f…","['US', 'Florida', 'Union County', 'Lake Butler']",Adzuna::API::Response::Location,"Lake Butler, Union County",Adzuna::API::Response::Company,Lyft,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,,
Adzuna::API::Response::Job,5731515456,42000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMTUxNTQ1NiIsInMiOiJMRVBTQUROUjhSR2lKY2hQektSdHd3In0.pGesIZGsoKvB6X7nPF7yg1SwHKbf5qCed70YIiwsvDY,https://www.adzuna.com/land/ad/5731515456?se=LEPSADNR8RGiJchPzKRtww&utm_medium=api&utm_source=abfa41a4&v=5F1F8AAA469B561D868C24E1D12CF1AD2C9AE8CA,29.795864,-81.98718,2026-05-16T10:19:06Z,Drive with Lyft,0,65000.0,"Join Lyft, a pioneer in the ride-hailing industry, and be part of a team that values safety, community, and reliable transportation services. As a Lyft driver, you have the flexibility to choose your own hours and drive in areas that suit you best. Use Lyft's innovative mobile app platform to connect with riders who need smooth, quick transportation either within the city or for longer trips. Our drivers are crucial in ensuring that every ride is a safe, enjoyable, and high-quality experience f…","['US', 'Florida', 'Clay County', 'Lake Geneva']",Adzuna::API::Response::Location,"Lake Geneva, Clay County",Adzuna::API::Response::Company,Lyft,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,,
Adzuna::API::Response::Job,5731515455,42000.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTEVQU0FETlI4UkdpSmNoUHpLUnR3dyIsImkiOiI1NzMxNTE1NDU1In0.8UIhIdRcmnxsoeUeKmI2Jb4QbGDbCI6gh6fYRLzmiO8,https://www.adzuna.com/land/ad/5731515455?se=LEPSADNR8RGiJchPzKRtww&utm_medium=api&utm_source=abfa41a4&v=368C53FA88DCEFCFAD10E365ADB79ABCD9D0E693,29.634687,-81.880682,2026-05-16T10:19:06Z,Drive with Lyft,0,65000.0,"Join Lyft, a pioneer in the ride-hailing industry, and be part of a team that values safety, community, and reliable transportation services. As a Lyft driver, you have the flexibility to choose your own hours and drive in areas that suit you best. Use Lyft's innovative mobile app platform to connect with riders who need smooth, quick transportation either within the city or for longer trips. Our drivers are crucial in ensuring that every ride is a safe, enjoyable, and high-quality experience f…","['US', 'Florida', 'Putnam County', 'Interlachen']",Adzuna::API::Response::Location,"Interlachen, Putnam County",Adzuna::API::Response::Company,Lyft,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,,
Adzuna::API::Response::Job,5731515460,42000.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTEVQU0FETlI4UkdpSmNoUHpLUnR3dyIsImkiOiI1NzMxNTE1NDYwIn0.fNuw8jUOrINBbtV8oC9pldlImjly3SAjBZu8Qzk7Wp0,https://www.adzuna.com/land/ad/5731515460?se=LEPSADNR8RGiJchPzKRtww&utm_medium=api&utm_source=abfa41a4&v=01D98A68CE5D2ACED3B04A88009B23FBEF53F3EB,30.283074,-82.12689,2026-05-16T10:19:06Z,Drive with Lyft,0,65000.0,"Join Lyft, a pioneer in the ride-hailing industry, and be part of a team that values safety, community, and reliable transportation services. As a Lyft driver, you have the flexibility to choose your own hours and drive in areas that suit you best. Use Lyft's innovative mobile app platform to connect with riders who need smooth, quick transportation either within the city or for longer trips. Our drivers are crucial in ensuring that every ride is a safe, enjoyable, and high-quality experience f…","['US', 'Florida', 'Baker County', 'Macclenny']",Adzuna::API::Response::Location,"Macclenny, Baker County",Adzuna::API::Response::Company,Lyft,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,,
Adzuna::API::Response::Job,5731515469,42000.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTEVQU0FETlI4UkdpSmNoUHpLUnR3dyIsImkiOiI1NzMxNTE1NDY5In0.DTJWS1J9Dc8HRhdUJKXbmEuXVEi5UhwsiVlG1CPezrs,https://www.adzuna.com/land/ad/5731515469?se=LEPSADNR8RGiJchPzKRtww&utm_medium=api&utm_source=abfa41a4&v=74B0D4F3B5D62E6E30D2E8820FBE1872AC5180CB,30.3323,-81.5806,2026-05-16T10:19:06Z,Drive with Lyft,0,65000.0,"Join Lyft, a pioneer in the ride-hailing industry, and be part of a team that values safety, community, and reliable transportation services. As a Lyft driver, you have the flexibility to choose your own hours and drive in areas that suit you best. Use Lyft's innovative mobile app platform to connect with riders who need smooth, quick transportation either within the city or for longer trips. Our drivers are crucial in ensuring that every ride is a safe, enjoyable, and high-quality experience f…","['US', 'Florida', 'Duval County', 'Atlantic Beach']",Adzuna::API::Response::Location,"Atlantic Beach, Duval County",Adzuna::API::Response::Company,Lyft,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,,
Adzuna::API::Response::Job,5731515454,42000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMTUxNTQ1NCIsInMiOiJMRVBTQUROUjhSR2lKY2hQektSdHd3In0.VPQfYDEZbae5nf5qkkecXHSUcioH003jIgavD_sLVQM,https://www.adzuna.com/land/ad/5731515454?se=LEPSADNR8RGiJchPzKRtww&utm_medium=api&utm_source=abfa41a4&v=FCA1B2F2FFAB49FE8B65B52D91410264DA46FA5A,30.313528,-82.294359,2026-05-16T10:19:06Z,Drive with Lyft,0,65000.0,"Join Lyft, a pioneer in the ride-hailing industry, and be part of a team that values safety, community, and reliable transportation services. As a Lyft driver, you have the flexibility to choose your own hours and drive in areas that suit you best. Use Lyft's innovative mobile app platform to connect with riders who need smooth, quick transportation either within the city or for longer trips. Our drivers are crucial in ensuring that every ride is a safe, enjoyable, and high-quality experience f…","['US', 'Florida', 'Baker County', 'Sanderson']",Adzuna::API::Response::Location,"Sanderson, Baker County",Adzuna::API::Response::Company,Lyft,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,,
Adzuna::API::Response::Job,5731515468,42000.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTEVQU0FETlI4UkdpSmNoUHpLUnR3dyIsImkiOiI1NzMxNTE1NDY4In0.2smT5iCz6Pg6Gd08X54KbyMs7B_utedzs2HfTibEiAE,https://www.adzuna.com/land/ad/5731515468?se=LEPSADNR8RGiJchPzKRtww&utm_medium=api&utm_source=abfa41a4&v=2B4D1F7F717F116F7D9D81EEFD0980246DB3C176,30.00501,-81.73991,2026-05-16T10:19:06Z,Drive with Lyft,0,65000.0,"Join Lyft, a pioneer in the ride-hailing industry, and be part of a team that values safety, community, and reliable transportation services. As a Lyft driver, you have the flexibility to choose your own hours and drive in areas that suit you best. Use Lyft's innovative mobile app platform to connect with riders who need smooth, quick transportation either within the city or for longer trips. Our drivers are crucial in ensuring that every ride is a safe, enjoyable, and high-quality experience f…","['US', 'Florida', 'Clay County', 'Green Cove Springs']",Adzuna::API::Response::Location,"Green Cove Springs, Clay County",Adzuna::API::Response::Company,Lyft,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,,
Adzuna::API::Response::Job,5731515462,42000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMTUxNTQ2MiIsInMiOiJMRVBTQUROUjhSR2lKY2hQektSdHd3In0.lvVpfxcQoyink8mWhGNf2DX38OPY_jSSsVTBoUE8jRk,https://www.adzuna.com/land/ad/5731515462?se=LEPSADNR8RGiJchPzKRtww&utm_medium=api&utm_source=abfa41a4&v=8095EF6F7B79DC02B7589A73770D795E8E646335,29.671893,-81.466134,2026-05-16T10:19:06Z,Drive with Lyft,0,65000.0,"Join Lyft, a pioneer in the ride-hailing industry, and be part of a team that values safety, community, and reliable transportation services. As a Lyft driver, you have the flexibility to choose your own hours and drive in areas that suit you best. Use Lyft's innovative mobile app platform to connect with riders who need smooth, quick transportation either within the city or for longer trips. Our drivers are crucial in ensuring that every ride is a safe, enjoyable, and high-quality experience f…","['US', 'Florida', 'St. Johns County', 'Hastings']",Adzuna::API::Response::Location,"Hastings, St. Johns County",Adzuna::API::Response::Company,Lyft,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,,
