redirect_url,longitude,salary_max,__CLASS__,title,created,adref,latitude,salary_min,salary_is_predicted,description,id,company.display_name,company.__CLASS__,location.display_name,location.__CLASS__,location.area,category.label,category.tag,category.__CLASS__,contract_time,contract_type
https://www.adzuna.com/land/ad/5752157740?se=QDsMGzJg8RGeGZQN_-WxfA&utm_medium=api&utm_source=abfa41a4&v=83D434D35C40EC654FFBA206A49FF169E146D086,-75.05058,29487.1,Adzuna::API::Response::Job,Need a gig? Deliver with Uber Eats!,2026-06-04T12:24:04Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUURzTUd6Smc4UkdlR1pRTl8tV3hmQSIsImkiOiI1NzUyMTU3NzQwIn0.CiZZ4AbVAURkfxOdOmaeYBlUddB5_iEQSYK3gq5axgc,39.97074,29487.1,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",5752157740,Uber eats,Adzuna::API::Response::Company,"Delair, Camden County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Camden County', 'Delair']",Travel Jobs,travel-jobs,Adzuna::API::Response::Category,,
https://www.adzuna.com/details/5752157685?utm_medium=api&utm_source=abfa41a4,-80.72368,30776.63,Adzuna::API::Response::Job,Caregiver / CNA – Flexible Schedule,2026-06-04T12:23:47Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUURzTUd6Smc4UkdlR1pRTl8tV3hmQSIsImkiOiI1NzUyMTU3Njg1In0.ZvaTPbpnFGIe2RqFhKbZoYho0qO7M6hgHdkDuI1_zp0,35.116813,30776.63,1,"Pay: $16.00 – $20.00 per hour (depending on experience) Schedule: Full-time and part-time positions available Pay Frequency: Bi-weekly Touching Hearts at Home is currently hiring caregivers and CNAs and scheduling interviews now. We provide in-home care for seniors and adults with disabilities throughout the Charlotte metro area and surrounding counties. Our caregivers help clients stay safe, comfortable, and independent in their homes while providing companionship and assistance with daily act…",5752157685,Touching Hearts at Home,Adzuna::API::Response::Company,"Matthews, Mecklenburg County",Adzuna::API::Response::Location,"['US', 'North Carolina', 'Mecklenburg County', 'Matthews']",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,part_time,
https://www.adzuna.com/details/5752157686?utm_medium=api&utm_source=abfa41a4,-80.604937,34548.62,Adzuna::API::Response::Job,Caregiver Needed – Join Our Team,2026-06-04T12:23:47Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUURzTUd6Smc4UkdlR1pRTl8tV3hmQSIsImkiOiI1NzUyMTU3Njg2In0.KI3UNi0KlHnsWz4XDyM6FJhRf5IlA-depLMnNIxljN4,35.423548,34548.62,1,"Pay: $16.00 – $20.00 per hour (depending on experience) Schedule: Full-time and part-time shifts available Pay Frequency: Bi-weekly Touching Hearts at Home is actively hiring caregivers and CNAs and conducting interviews this week. We provide in-home care for seniors and adults with disabilities throughout the Charlotte metro area and surrounding counties. Our caregivers assist clients in staying safe, comfortable, and independent at home while providing companionship and support with everyday …",5752157686,Touching Hearts at Home,Adzuna::API::Response::Company,"North Concord, Cabarrus County",Adzuna::API::Response::Location,"['US', 'North Carolina', 'Cabarrus County', 'North Concord']",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,part_time,
https://www.adzuna.com/details/5752157687?utm_medium=api&utm_source=abfa41a4,-80.846082,28589.85,Adzuna::API::Response::Job,Hiring Caregivers & CNAs – Full-Time & Part-Time,2026-06-04T12:23:47Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MjE1NzY4NyIsInMiOiJRRHNNR3pKZzhSR2VHWlFOXy1XeGZBIn0.4Wt5m49-C1phR5DR3AgKVUxhgbtVQGJQ30PDDrYPqA0,35.232678,28589.85,1,"Pay: $16.00 – $20.00 per hour (based on experience) Schedule: Full-time and part-time openings available Pay Frequency: Bi-weekly Touching Hearts at Home is now hiring caregivers and CNAs in the Charlotte area – interviews available. We provide in-home care for seniors and adults with disabilities throughout the Charlotte metro area and surrounding counties. Our caregivers support clients in remaining safe, comfortable, and independent at home while offering companionship and assistance with da…",5752157687,Touching Hearts at Home,Adzuna::API::Response::Company,"Charlotte, Mecklenburg County",Adzuna::API::Response::Location,"['US', 'North Carolina', 'Mecklenburg County', 'Charlotte']",Part time Jobs,part-time-jobs,Adzuna::API::Response::Category,part_time,
https://www.adzuna.com/details/5752157681?utm_medium=api&utm_source=abfa41a4,-97.744386,60112.27,Adzuna::API::Response::Job,Accounts Payable & Accounts Receivable Specialist,2026-06-04T12:23:46Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUURzTUd6Smc4UkdlR1pRTl8tV3hmQSIsImkiOiI1NzUyMTU3NjgxIn0.aj9GboO9ODtm_RFks10VdeMpIimJ9eS-2dckML1Nsm0,30.272921,60112.27,1,"About Yotta Energy Yotta Energy is a leader in cutting edge commercial solar and energy storage solutions, delivering innovative, cost-effective, and scalable technology to power the future of clean energy. We are building a world class team of professionals passionate about renewable energy and sustainable solutions. If you're looking for an opportunity to make a meaningful impact in a fast-growing, mission driven company, Yotta Energy is the place for you. Position Summary We are seeking a de…",5752157681,Yotta Energy,Adzuna::API::Response::Company,"Austin, Travis County",Adzuna::API::Response::Location,"['US', 'Texas', 'Travis County', 'Austin']",Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Category,,
https://www.adzuna.com/details/5752157500?utm_medium=api&utm_source=abfa41a4,-74.25902,56003.39,Adzuna::API::Response::Job,Pediatric RN- Home Care,2026-06-04T12:22:11Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MjE1NzUwMCIsInMiOiJRRHNNR3pKZzhSR2VHWlFOXy1XeGZBIn0.lGspkQ3t5Pp9w-hOHSRpPmcL7RX-OVWLrp36GvviQhI,40.55638,56003.39,1,"Pediatric RN – Overnight NG‑Tube 1:1 Care (Sewaren, NJ) Location: Sewaren, NJ Setting: Pediatric Private Duty Nursing Company: Affirmed Home Care Position Overview Affirmed Home Care is seeking a compassionate Registered Nurse (RN) to provide one‑on‑one skilled nursing care for an infant male in Sewaren, NJ . This case requires a nurse experienced or comfortable with NG‑tube feeding and infant‑focused private duty care. We have immediate openings for 8‑hour overnight shifts, 5 nights per week ,…",5752157500,Affirmed Home Care,Adzuna::API::Response::Company,"Sewaren, Woodbridge",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Middlesex County', 'Woodbridge', 'Sewaren']",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,,
https://www.adzuna.com/details/5752157498?utm_medium=api&utm_source=abfa41a4,-74.159873,121141.88,Adzuna::API::Response::Job,Pediatric Private Duty RN,2026-06-04T12:22:11Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUURzTUd6Smc4UkdlR1pRTl8tV3hmQSIsImkiOiI1NzUyMTU3NDk4In0.g7wdt_EZOYhLW8La-v1oOGyBNGleq8N8BFUY0mkAreg,40.822317,121141.88,1,"Pediatric Registered Nurse (RN) – Evening & Weekend 1:1 Care (Nutley, NJ) Location: Nutley, NJ Setting: Pediatric Private Duty Nursing Company: Affirmed Home Care Position Overview Affirmed Home Care is seeking a dedicated Registered Nurse (RN) to provide one‑on‑one skilled nursing care for a 12‑year‑old girl in Nutley, NJ . This role is perfect for RNs who enjoy pediatrics and value the meaningful impact of individualized home‑care nursing. We have immediate openings for evening and weekend sh…",5752157498,Affirmed Home Care,Adzuna::API::Response::Company,"Nutley, Essex County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Essex County', 'Nutley']",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,,
https://www.adzuna.com/details/5752157497?utm_medium=api&utm_source=abfa41a4,-74.159873,100756.7,Adzuna::API::Response::Job,Pediatric LPN- Home Care,2026-06-04T12:22:11Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUURzTUd6Smc4UkdlR1pRTl8tV3hmQSIsImkiOiI1NzUyMTU3NDk3In0.mtumS-OrU05whmHFtTL4fWOATpKY4pflzeXvSOJ6CMg,40.822317,100756.7,1,"Pediatric LPN – Evening & Weekend 1:1 Care (Nutley, NJ) Location: Nutley, NJ Setting: Pediatric Private Duty Nursing Company: Affirmed Home Care Position Overview Affirmed Home Care is seeking a compassionate Licensed Practical Nurse (LPN) to provide one‑on‑one skilled nursing care for a 12‑year‑old girl in Nutley, NJ . This role is ideal for nurses who enjoy pediatrics and appreciate the meaningful, steady pace of individualized home‑care nursing. We have immediate openings for evening and wee…",5752157497,Affirmed Home Care,Adzuna::API::Response::Company,"Nutley, Essex County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Essex County', 'Nutley']",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,,
https://www.adzuna.com/details/5752157499?utm_medium=api&utm_source=abfa41a4,-74.25902,75517.41,Adzuna::API::Response::Job,Pediatric LPN- 1:1,2026-06-04T12:22:11Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUURzTUd6Smc4UkdlR1pRTl8tV3hmQSIsImkiOiI1NzUyMTU3NDk5In0.kIVnsq960XOEcvqgFUau-GVadPacHqqOhtGecERGA4c,40.55638,75517.41,1,"Pediatric LPN – Overnight NG‑Tube 1:1 Care (Sewaren, NJ) Location: Sewaren, NJ Setting: Pediatric Private Duty Nursing Company: Affirmed Home Care Position Overview Affirmed Home Care is seeking a compassionate Licensed Practical Nurse (LPN) to provide one‑on‑one skilled nursing care for an infant male in Sewaren, NJ . This case requires an LPN who is experienced or comfortable with NG‑tube feeding and infant‑focused private duty care. We have immediate openings for 8‑hour overnight shifts, 5 n…",5752157499,Affirmed Home Care,Adzuna::API::Response::Company,"Sewaren, Woodbridge",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Middlesex County', 'Woodbridge', 'Sewaren']",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,,
https://www.adzuna.com/land/ad/5752157381?se=QDsMGzJg8RGeGZQN_-WxfA&utm_medium=api&utm_source=abfa41a4&v=A1E37D4F4EAA7D739A7D501C89F85830F484CA7B,-82.206243,123032.0,Adzuna::API::Response::Job,"Travel Medical-Surgical Neuro Registered Nurse - $2,366 per week",2026-06-04T12:20:55Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MjE1NzM4MSIsInMiOiJRRHNNR3pKZzhSR2VHWlFOXy1XeGZBIn0.S7sAebi7MTPt5nAgU1yfj_h3Z_N7wZMFYN5Npzkpq5Y,36.581764,0.0,0,"HCS 247 Travel is seeking a travel nurse RN Med Surg for a travel nursing job in Bristol, Tennessee. Job Description & Requirements Specialty: Med Surg Discipline: RN Start Date: 07/05/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Aggressive Compensation Packages Lodging Per-Diem for those who qualify Meals and Incidentals Allowance for those who qualify Travel Expense Allowance for those who qualify Medical Dental and Vision Benefits available (For y…",5752157381,HCS 247 Travel,Adzuna::API::Response::Company,"Bristol, Sullivan County",Adzuna::API::Response::Location,"['US', 'Tennessee', 'Sullivan County', 'Bristol']",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,,
