id,title,adref,salary_max,longitude,description,__CLASS__,salary_min,latitude,created,salary_is_predicted,redirect_url,location.area,location.display_name,location.__CLASS__,company.display_name,company.__CLASS__,category.label,category.__CLASS__,category.tag,contract_time,contract_type
5854382199,Outside Sales Representative,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkd4Nng4T2Y4UkctaE1mSmpuLTJoQSIsImkiOiI1ODU0MzgyMTk5In0.ygwtu98AzvjwkOK-10f08sJWgyqcHdBZ8Ie2g3FYnug,230925.77,-81.287331,"Job Description Job Description Are you driven by results, energized by face‑to‑face selling, and motivated by uncapped earning potential? At Groundworks, North America's leader in foundation Solutions, our Outside Sales Representatives don’t just sell a service—they deliver real solutions that protect what matters most to our customers: their homes. Backed by industry‑leading training, cutting‑edge technology, and an internationally recognized home services brand, you’ll build trusted relation…",Adzuna::API::Response::Job,230925.77,28.249689,2026-08-24T09:42:18Z,1,https://www.adzuna.com/land/ad/5854382199?se=ZGx6x8Of8RG-hMfJjn-2hA&utm_medium=api&utm_source=abfa41a4&v=423440FA486B04E59F3E2742466D6DFAD7BC138D,"['US', 'Florida', 'Osceola County', 'Saint Cloud']","Saint Cloud, Osceola County",Adzuna::API::Response::Location,"Groundworks Operations, LLC",Adzuna::API::Response::Company,Sales Jobs,Adzuna::API::Response::Category,sales-jobs,,
5854382197,Sales Representative Remote,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1NDM4MjE5NyIsInMiOiJaR3g2eDhPZjhSRy1oTWZKam4tMmhBIn0.gTrpbJR0sY56Zu4FGdP_oxazXPRn8FUOaaZejIdb5jo,72048.37,-88.874226,"Job Description Job Description Remote Insurance Sales Representative | Flexible Schedule | Commission-Based This position offers flexible work hours and clear paths for advancement into leadership and management. You will work remotely, serving clients by providing guidance and protection solutions for individuals and families. What We Offer Remote, work-from-home career Average first-year earnings of $69K through commissions and bonuses Increased earning potential in later years through perfo…",Adzuna::API::Response::Job,72048.37,36.504228,2026-08-24T09:42:17Z,1,https://www.adzuna.com/land/ad/5854382197?se=ZGx6x8Of8RG-hMfJjn-2hA&utm_medium=api&utm_source=abfa41a4&v=02F03F483C5B3F61B38FEC43FC7E0A5BDBAEDE5B,"['US', 'Kentucky', 'Fulton County', 'Fulton']","Fulton, Fulton County",Adzuna::API::Response::Location,HMG Careers,Adzuna::API::Response::Company,Sales Jobs,Adzuna::API::Response::Category,sales-jobs,,
5854382163,"OTR CDL-A Truck Driver - Up to $4,000 Sign-On Bonus",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkd4Nng4T2Y4UkctaE1mSmpuLTJoQSIsImkiOiI1ODU0MzgyMTYzIn0.toTNr0Kyq_NibSVRpYahFPLb-H8wMrooyybej8urDxY,113631.34,-122.04024,"Job Description Job Description Now Hiring at U.S. Xpress OTR CDL-A Drivers Needed Up to $4,000 Sign-On Bonus* - Top Earn $1,450 - $2,100/Week (Must have a valid CDL-A license and 3 months of experience.) Let U.S. Help Write Your Story Pay & More: Top 20% of our OTR Drivers earn $1,450 - $2,100 weekly* Earn up to $4,000 sign-on bonus* Earn 54 - 64 CPM* Drivers average 2,000 miles per week Choose the home time that works for you! Convenient home base terminals 401(k) match  stock purchase plan H…",Adzuna::API::Response::Job,113631.34,37.529659,2026-08-24T09:42:11Z,1,https://www.adzuna.com/land/ad/5854382163?se=ZGx6x8Of8RG-hMfJjn-2hA&utm_medium=api&utm_source=abfa41a4&v=79C4757AC5FCCE5FDBEFAB5AC207B28058A819C4,"['US', 'California', 'Alameda County', 'Newark']","Newark, Alameda County",Adzuna::API::Response::Location,U.S. Xpress,Adzuna::API::Response::Company,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,,
5854382162,Local CDL-A Truck Driver - Earn Up to 98k/Year,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1NDM4MjE2MiIsInMiOiJaR3g2eDhPZjhSRy1oTWZKam4tMmhBIn0.DGaB0JTF2UoD4RDSXmU-VKPql2QQL9SJgGaaFmA-P38,83226.16,-88.773926,"Job Description Job Description C.R. England is Now Urgently Hiring Local CDL-A Truck Drivers in Columbus, OH! Top Drivers Earn Up to $98,000 per Year* - Full Benefits Valid CDL-A and 3 months of current experience required This lane is not suitable for students, recent grads, or trainees This Local Dedicated Fleet Offers: Home daily - 6-day work week Average $78,000 annually - top 10% of drivers average $98,000 per year* CPM Bonus Opportunities Top-of-the-line automatic transmission trucks Ben…",Adzuna::API::Response::Job,83226.16,37.513836,2026-08-24T09:42:11Z,1,https://www.adzuna.com/land/ad/5854382162?se=ZGx6x8Of8RG-hMfJjn-2hA&utm_medium=api&utm_source=abfa41a4&v=773337DAD16098C0DC2B8B824BBD62F365CF6F9B,"['US', 'Illinois', 'Johnson County', 'Reynoldsburg']","Reynoldsburg, Johnson County",Adzuna::API::Response::Location,C.R. England,Adzuna::API::Response::Company,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,logistics-warehouse-jobs,,
5854382160,Pharmacy Technician Trainee,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkd4Nng4T2Y4UkctaE1mSmpuLTJoQSIsImkiOiI1ODU0MzgyMTYwIn0.kDoyvF-zDO2Tfu-XWhicC9Ye2UN6mplQQOfLmtSsR34,47674.32,-71.893683,"Job Description Job Description Pharmacy Technician Trainee Pharmacy Technician Trainee License Required Job Description The Pharmacy Technician plays a key role in the safe and accurate preparation and distribution of prescription medications in a fulfillment center. In this fast-paced, production-focused environment, you use a fulfillment system to prepare prescription drug products, support insurance claim processing, and assist members and prescribers, helping ensure that patients receive t…",Adzuna::API::Response::Job,47674.32,41.940098,2026-08-24T09:42:08Z,1,https://www.adzuna.com/land/ad/5854382160?se=ZGx6x8Of8RG-hMfJjn-2hA&utm_medium=api&utm_source=abfa41a4&v=4587F45D4F7833DAD5A449160EF0176C0B652360,"['US', 'Connecticut', 'Windham County', 'Mechanicsville']","Mechanicsville, Windham County",Adzuna::API::Response::Location,Actalent,Adzuna::API::Response::Company,Scientific & QA Jobs,Adzuna::API::Response::Category,scientific-qa-jobs,,
5854382159,Mendota North: Grain Dump Loader,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkd4Nng4T2Y4UkctaE1mSmpuLTJoQSIsImkiOiI1ODU0MzgyMTU5In0.VDBC2EMTYeaCABxIqxyinQcZVbI7PCVBQ6OPzYjhtRM,35360.0,-120.381557,"Job Description Job Description Dump Loader North Mendota, IL $17.00/hour Express Employment Professionals of Ottawa is partnered with a local grain facility in North Mendota, IL and is seeking dependable, hardworking individuals for a Dump Loader position. This is an excellent opportunity for candidates who enjoy working outdoors, staying active, and being part of a team-driven environment. Schedule Hours of operation range from 6:00 AM to 7:00 PM and are subject to change based on business ne…",Adzuna::API::Response::Job,35360.0,36.753561,2026-08-24T09:42:08Z,0,https://www.adzuna.com/land/ad/5854382159?se=ZGx6x8Of8RG-hMfJjn-2hA&utm_medium=api&utm_source=abfa41a4&v=51A349FC6D7A7AA7E1E3346E1975F055867B72E3,"['US', 'California', 'Fresno County', 'Mendota']","Mendota, Fresno County",Adzuna::API::Response::Location,Express Employment,Adzuna::API::Response::Company,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,logistics-warehouse-jobs,,
5854382157,Sales and Service Agent Remote,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1NDM4MjE1NyIsInMiOiJaR3g2eDhPZjhSRy1oTWZKam4tMmhBIn0.chq5Q69tPizmM7AhmXQxRJYa1qj-t78CRp0Kb2P31VM,76394.12,-97.441979,"Job Description Job Description Remote Insurance Sales Representative | Flexible Schedule | Commission-Based This position offers flexible work hours and clear paths for advancement into leadership and management. You will work remotely, serving clients by providing guidance and protection solutions for individuals and families. What We Offer Remote, work-from-home career Average first-year earnings of $69K through commissions and bonuses Increased earning potential in later years through perfo…",Adzuna::API::Response::Job,76394.12,39.569444,2026-08-24T09:42:05Z,1,https://www.adzuna.com/land/ad/5854382157?se=ZGx6x8Of8RG-hMfJjn-2hA&utm_medium=api&utm_source=abfa41a4&v=E3D6BE94E7DDA5B73F1A412AACB61E3029A008DB,"['US', 'Kansas', 'Cloud County', 'Ames']","Ames, Cloud County",Adzuna::API::Response::Location,HMG Careers,Adzuna::API::Response::Company,Sales Jobs,Adzuna::API::Response::Category,sales-jobs,,
5854382146,"Truck Driver Company - 2yrs EXP Required - Local - Dry Van - $1.35k - $1.87k per week - A N Webber, Inc.",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1NDM4MjE0NiIsInMiOiJaR3g2eDhPZjhSRy1oTWZKam4tMmhBIn0.Mkv-fW-wWOvBA8SidbEwjHF_jgVw0USi1tYXvfzYz9A,97240.0,-84.50376,"CDL Class A Truck Driver - Dry Van Only. A.N. WEBBER – SEEKING CDL A DRIVERS! WE HAVE GREAT PAY, EXCELLENT HOME TIME, FIRST CLASS EQUIPMENT and BENEFITS! Hiring in Multiple Locations: We Have OTR, Regional and Local Jobs available Must have at least 2 Years CDL-A experience to apply 70 MPH Trucks - Assigned late model Peterbilt 579’s and Volvo's! OTR $1,350 to $1,865 Weekly Average $70,000 to $97,000 Per Year Out 7 Days, Home 2 Days REGIONAL $1,300 to $1,500 Weekly Average $68,000 to $78,000 Pe…",Adzuna::API::Response::Job,70200.0,38.05516,2026-08-24T09:42:04Z,0,https://www.adzuna.com/details/5854382146?utm_medium=api&utm_source=abfa41a4,"['US', 'Kentucky', 'Fayette County', 'Lexington']","Lexington, Fayette County",Adzuna::API::Response::Location,"A N Webber, Inc.",Adzuna::API::Response::Company,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,full_time,
5854382140,"CDL-A Company Driver - 2yrs EXP Required - Local - Dry Van - $1.35k - $1.87k per week - A N Webber, Inc.",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1NDM4MjE0MCIsInMiOiJaR3g2eDhPZjhSRy1oTWZKam4tMmhBIn0.NJ5O34h1TUpU1ZFOUvD_BmF1K1Tim9MeDT0R3H3ZNyA,97240.0,-85.308214,"CDL Class A Truck Driver - Dry Van Only. A.N. WEBBER – SEEKING CDL A DRIVERS! WE HAVE GREAT PAY, EXCELLENT HOME TIME, FIRST CLASS EQUIPMENT and BENEFITS! Hiring in Multiple Locations: We Have OTR, Regional and Local Jobs available Must have at least 2 Years CDL-A experience to apply 70 MPH Trucks - Assigned late model Peterbilt 579’s and Volvo's! OTR $1,350 to $1,865 Weekly Average $70,000 to $97,000 Per Year Out 7 Days, Home 2 Days REGIONAL $1,300 to $1,500 Weekly Average $68,000 to $78,000 Pe…",Adzuna::API::Response::Job,70200.0,35.045291,2026-08-24T09:42:04Z,0,https://www.adzuna.com/details/5854382140?utm_medium=api&utm_source=abfa41a4,"['US', 'Tennessee', 'Hamilton County', 'Chickamauga']","Chickamauga, Hamilton County",Adzuna::API::Response::Location,"A N Webber, Inc.",Adzuna::API::Response::Company,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,full_time,
5854382145,"CDL-A Company Driver - 2yrs EXP Required - Local - Dry Van - $1.35k - $1.87k per week - A N Webber, Inc.",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkd4Nng4T2Y4UkctaE1mSmpuLTJoQSIsImkiOiI1ODU0MzgyMTQ1In0.dyvAE3H3esDOvYzy3nCMl89H2y_bVtasDpeNvDIGDsE,97240.0,-84.50376,"CDL Class A Truck Driver - Dry Van Only. A.N. WEBBER – SEEKING CDL A DRIVERS! WE HAVE GREAT PAY, EXCELLENT HOME TIME, FIRST CLASS EQUIPMENT and BENEFITS! Hiring in Multiple Locations: We Have OTR, Regional and Local Jobs available Must have at least 2 Years CDL-A experience to apply 70 MPH Trucks - Assigned late model Peterbilt 579’s and Volvo's! OTR $1,350 to $1,865 Weekly Average $70,000 to $97,000 Per Year Out 7 Days, Home 2 Days REGIONAL $1,300 to $1,500 Weekly Average $68,000 to $78,000 Pe…",Adzuna::API::Response::Job,70200.0,38.05516,2026-08-24T09:42:04Z,0,https://www.adzuna.com/details/5854382145?utm_medium=api&utm_source=abfa41a4,"['US', 'Kentucky', 'Fayette County', 'Lexington']","Lexington, Fayette County",Adzuna::API::Response::Location,"A N Webber, Inc.",Adzuna::API::Response::Company,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,full_time,
