__CLASS__,adref,latitude,contract_type,redirect_url,longitude,salary_min,id,contract_time,created,salary_is_predicted,salary_max,title,description,category.__CLASS__,category.tag,category.label,company.display_name,company.__CLASS__,location.display_name,location.__CLASS__,location.area
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4ODAzNDQ3MSIsInMiOiJlTnVpVkw2eThSR1dFUFZ1OThfNFlRIn0.CKZth6hm2fW_CloCqLrVhnDROFiSnqhVf7BJBaxnjwo,38.925195,permanent,https://www.adzuna.com/details/5888034471?utm_medium=api&utm_source=abfa41a4,-105.49903,90000.0,5888034471,full_time,2026-09-17T13:16:12Z,0,90000.0,"Sous Chef - San Luis Valley, CO","Job Title: Sous Chef (2) Location : San Luis Valley, Colorado Schedule : Full-time year round daily schedule varies Compensation: $80,000-$90,00 DOE  discretionary performance-based bonus  fully covered M/D/V insurance  401(k)  PTO  private house provided Transportation: Individuals must Job Purpose : We are looking for an experienced and talented Sous Chef for a private guest ranch in Southern CO. The Sous Chef is an essential member of the culinary team. This position requires strong skills a…",Adzuna::API::Response::Category,hospitality-catering-jobs,Hospitality & Catering Jobs,The Estate Agency,Adzuna::API::Response::Company,"Colorado, US",Adzuna::API::Response::Location,"['US', 'Colorado']"
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZU51aVZMNnk4UkdXRVBWdTk4XzRZUSIsImkiOiI1ODg4MDM0NDcyIn0.HkkDI5uWC1y9wFBm1Lu7L2lr2csDPhyfEkZhJbl2iIM,38.925195,contract,https://www.adzuna.com/details/5888034472?utm_medium=api&utm_source=abfa41a4,-105.49903,110000.0,5888034472,full_time,2026-09-17T13:16:12Z,0,110000.0,"Contract Head Chef - San Luis Valley, CO","Job Title: Contract Head Chef Contract Dates : August 15 - October 31 2026 Location : San Luis Valley, Colorado Schedule : Full-time schedule varies Compensation: $100,000-$110,00 DOE Accommodations : private house provided We are looking for an experienced and talented Contract Head Chef from August through October for a private guest ranch in Southern CO. The Head Chef is an essential member of the culinary team. This position requires strong skills across diverse cuisines, including wild gam…",Adzuna::API::Response::Category,hospitality-catering-jobs,Hospitality & Catering Jobs,The Estate Agency,Adzuna::API::Response::Company,"Colorado, US",Adzuna::API::Response::Location,"['US', 'Colorado']"
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZU51aVZMNnk4UkdXRVBWdTk4XzRZUSIsImkiOiI1ODg4MDM0NDY5In0.p4wpQDFtqJpprpD23KTufLfCRc2WKstrSlyr0iDwj9g,18.362063,permanent,https://www.adzuna.com/details/5888034469?utm_medium=api&utm_source=abfa41a4,-66.567142,120000.0,5888034469,full_time,2026-09-17T13:16:12Z,0,120000.0,"Family Assistant - Palm Beach, FL","Title : Family Assistant Location : Palm Beach, FL Schedule : 5 days on-2 days off rotating Salary : $95 -120,000 DOE  discretionary bonus  fully covered M/D/V  401(k)  10 days PTO Overview: This position is ideal for a highly analytical, systems-oriented Family Assistant who thrives in a dynamic, high-performance private service environment. The successful candidate possesses exceptional executive functioning, critical thinking, organizational, and interpersonal skills, with the ability to ant…",Adzuna::API::Response::Category,admin-jobs,Admin Jobs,The Estate Agency,Adzuna::API::Response::Company,Florida,Adzuna::API::Response::Location,"['US', 'Florida', 'Florida']"
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4ODAzNDQ2NCIsInMiOiJlTnVpVkw2eThSR1dFUFZ1OThfNFlRIn0.52bOMCKnggwmJ_wiWQlx-CIYTeEZCGtMlRQsQSTekwQ,39.014127,permanent,https://www.adzuna.com/details/5888034464?utm_medium=api&utm_source=abfa41a4,-77.399912,62400.0,5888034464,full_time,2026-09-17T13:16:11Z,0,79040.0,Commercial HVAC Service Technician,"Job Title: Commercial HVAC Service Technician This is a full-time permanent direct placement opportunity. We have a great opportunity for experienced HVAC service technicians for a local mechanical contractor. Our client specializes in service, maintenance and retrofit of commercial and industrial HVAC systems. This is a Direct Hire Position. The estimated pay range for this role is $30 - $38 per hour based on experience. Duties and Responsibilities: Analyze, plan and perform preventative maint…",Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,Blueprint Staffing,Adzuna::API::Response::Company,"Sterling, Loudoun County",Adzuna::API::Response::Location,"['US', 'Virginia', 'Loudoun County', 'Sterling']"
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4ODAzNDQ2MiIsInMiOiJlTnVpVkw2eThSR1dFUFZ1OThfNFlRIn0.A8JlY1he3milzxo8ppEpXQ18xRdBx8ahLll7j8LhpTs,39.41955,permanent,https://www.adzuna.com/details/5888034462?utm_medium=api&utm_source=abfa41a4,-76.780253,62400.0,5888034462,full_time,2026-09-17T13:16:11Z,0,83200.0,HVAC Technicians - Commercial / Multifamily,"Job Title: HVAC Technicians - Commercial/Multifamily This is a full-time permanent direct placement opportunity. Great Pay, Steady Hours, No Selling! We are looking for HVAC Technicians with previous light commercial and multifamily experience. Tired of upselling customers? Looking for a steady paycheck? Our client's techs average 40-50 hours weekly and are not required to upsell! The estimated pay range for this role is $30 - $40 per hour based on experience. Responsibilities: To perform maint…",Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,Blueprint Staffing,Adzuna::API::Response::Company,"Owings Mills, Baltimore County",Adzuna::API::Response::Location,"['US', 'Maryland', 'Baltimore County', 'Owings Mills']"
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZU51aVZMNnk4UkdXRVBWdTk4XzRZUSIsImkiOiI1ODg4MDM0NDY1In0.7rwuqCYe0Z7ZKNjMS-P3IbUi4BQtgLaBlcUauIQpsGI,39.020767,permanent,https://www.adzuna.com/details/5888034465?utm_medium=api&utm_source=abfa41a4,-77.004626,52000.0,5888034465,full_time,2026-09-17T13:16:11Z,0,72800.0,Service Plumber - Residential,Job Title: Service Plumber - Residential This is a full-time permanent direct placement opportunity. Job Description: Achieve company sales goals through active participation and proactive management. Assist in maintaining a smooth running operation while maximizing profitability. To build trust within the department and assist apprentices in reaching their professional and personal goals. The estimated pay range for this role is $25 - $35 per hour based on experience. Job Responsibilities: Pla…,Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,Blueprint Staffing,Adzuna::API::Response::Company,"Silver Spring, Montgomery County",Adzuna::API::Response::Location,"['US', 'Maryland', 'Montgomery County', 'Silver Spring']"
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg4ODAzNDQ2MSIsInMiOiJlTnVpVkw2eThSR1dFUFZ1OThfNFlRIn0.EA6TIXJmx4LX-0d7WYraoWdS6emHAWzsUbX8avw4DNA,37.56,permanent,https://www.adzuna.com/details/5888034461?utm_medium=api&utm_source=abfa41a4,-77.45,70000.0,5888034461,full_time,2026-09-17T13:16:11Z,0,80000.0,HVAC Construction Superintendent,"Job Title: HVAC Superintendent This is a full-time permanent direct placement opportunity. Overview of the Company: Our client is a reputable HVAC construction company known for executing high-quality projects in a timely and professional manner. They are seeking a skilled HVAC Superintendent to join their team and oversee the installation of HVAC systems in multi-family projects. The estimated pay range for this role is $70,000 - $80,000 based on experience. Responsibilities: Knowledge of job …",Adzuna::API::Response::Category,trade-construction-jobs,Trade & Construction Jobs,Blueprint Staffing,Adzuna::API::Response::Company,"Richmond, Richmond County",Adzuna::API::Response::Location,"['US', 'Virginia', 'Richmond County', 'Richmond']"
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZU51aVZMNnk4UkdXRVBWdTk4XzRZUSIsImkiOiI1ODg4MDMzODk5In0.doAK7f1SGrZQTAVoVG5RgM8Mgdv4TQocQCmupWEO09Q,32.589838,,https://www.adzuna.com/land/ad/5888033899?se=eNuiVL6y8RGWEPVu98_4YQ&utm_medium=api&utm_source=abfa41a4&v=5534B0324265F13E7B04BE4C58CCA85CB08822E6,-86.211719,74433.04,5888033899,,2026-09-17T13:14:40Z,1,74433.04,Mobile Associate - Retail Sales,"Job Description \n At T-Mobile, we invest in YOU! Our Total Rewards Package ensures that employees get the same big love we give our customers. All team members receive a competitive base salary and compensation package - this is Total Rewards. Employees enjoy multiple wealth-building opportunities through our annual stock grant, employee stock purchase plan, 401(k), and access to free, year-round money coaches. That’s how we’re UNSTOPPABLE for our employees! \n Job Overview\n \n This role supp…",Adzuna::API::Response::Category,accounting-finance-jobs,Accounting & Finance Jobs,"T-Mobile USA, Inc.",Adzuna::API::Response::Company,"Wetumpka, Elmore County",Adzuna::API::Response::Location,"['US', 'Alabama', 'Elmore County', 'Wetumpka']"
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZU51aVZMNnk4UkdXRVBWdTk4XzRZUSIsImkiOiI1ODg4MDMzODk4In0.mDcV1bqPjiVKj8Nnvy7ClTxArNTyiyFyJNMZalRB2-o,42.120836,,https://www.adzuna.com/land/ad/5888033898?se=eNuiVL6y8RGWEPVu98_4YQ&utm_medium=api&utm_source=abfa41a4&v=3BBFB096F526C47FCFF54C62779FB578FC0373D7,-72.605617,96200.0,5888033898,,2026-09-17T13:14:39Z,0,96200.0,"OTR CDL-A Truck Driver - Average $1,850/Week","Job Description Ryder is Now Hiring OTR CDL-A Truck Drivers in Albany, NY Average $1,850 per Week - Comprehensive Benefits $4,000 Loyalty Bonus - $1,000 Annual Safety Bonus* \n Pay, Home Time & More: \n \n Average $1,850 per Week \n Loyalty Bonus: Pays you $2,000 at 6 months and $2,000 at 1 year \n Safety Bonus: Pays you $250 four times a year (Every quarter)* \n Route: OTR \n Home at least every other weekend \n Medical, Dental & Vision after 30 days \n 80 hours PTO your first year, starting D…",Adzuna::API::Response::Category,travel-jobs,Travel Jobs,Ryder,Adzuna::API::Response::Company,"Brightwood, Hampden County",Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Hampden County', 'Brightwood']"
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZU51aVZMNnk4UkdXRVBWdTk4XzRZUSIsImkiOiI1ODg4MDMzODk3In0.Wu5W8mkzXiFPXl2JI9tfWrIXIAD5GsfYtX3i42y5qok,40.635072,,https://www.adzuna.com/land/ad/5888033897?se=eNuiVL6y8RGWEPVu98_4YQ&utm_medium=api&utm_source=abfa41a4&v=00C5E11FF2E3E2B83633DAFD897772D31FA4D8EC,-77.568748,66564.11,5888033897,,2026-09-17T13:14:39Z,1,66564.11,Instacart Shopper - Delivery Driver,"Job Description FULL-SERVICE SHOPPER \n Start earning quickly with a flexible schedule \n Shopping with Instacart is more than grocery delivery. Shoppers help make our world go round. They make money, make moves, and make shopping lists come true. They make good time, make life easier, and make people’s day. \n Shoppers make it all happen—sign up now to help create a world where everyone has access to the food they love. \n As a full-service shopper, you’ll receive orders through the Shopper ap…",Adzuna::API::Response::Category,domestic-help-cleaning-jobs,Domestic help & Cleaning Jobs,Instacart Shoppers,Adzuna::API::Response::Company,"Burnham, Mifflin County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Mifflin County', 'Burnham']"
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZU51aVZMNnk4UkdXRVBWdTk4XzRZUSIsImkiOiI1ODg4MDMzODg5In0.wJW0XMfo7GRtjc4ar5Uqn-PD4i4-HWDuDNdbBmQk9ZE,31.588421,,https://www.adzuna.com/land/ad/5888033889?se=eNuiVL6y8RGWEPVu98_4YQ&utm_medium=api&utm_source=abfa41a4&v=AB57A01027F153B7E0DAB118C1C0EDFFB69D2E6A,-97.191673,110686.81,5888033889,,2026-09-17T13:14:38Z,1,110686.81,Registered Dietitian - Part Time,"Job Description \n Sign On Bonus and Relocation Assistance May be Available! \n \n \n \n \n PURPOSE AND SCOPE: \n Provides nutritional services for the facility’s in-center and home patients as applicable in order to maximize the patient’s nutritional status and improve clinical outcomes. Functions as a member of the interdisciplinary healthcare team, supporting the FMCNA commitment to the Quality Enhancement Program (QEP) and Quality Assessment and Performance Improvement (QAI) activities. Act…",Adzuna::API::Response::Category,part-time-jobs,Part time Jobs,Fresenius Medical Care,Adzuna::API::Response::Company,"Bosqueville, McLennan County",Adzuna::API::Response::Location,"['US', 'Texas', 'McLennan County', 'Bosqueville']"
