salary_min,__CLASS__,salary_max,adref,description,latitude,created,id,salary_is_predicted,redirect_url,title,longitude,category.tag,category.label,category.__CLASS__,company.display_name,company.__CLASS__,location.__CLASS__,location.area,location.display_name,contract_time,contract_type
0.0,Adzuna::API::Response::Job,128180.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMzY4NjI1MiIsInMiOiJTby02YlM4NzhSR1Z0dHNkelZlWlV3In0.dLFB3TUBMJknTllQMgiWY23VJg4TOhRSV50riEPakS0,"Voca Healthcare is seeking a travel nurse RN PCU - Progressive Care Unit for a travel nursing job in Cleveland, Ohio. Job Description & Requirements Specialty: PCU - Progressive Care Unit Discipline: RN Start Date: 05/15/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights, rotating Employment Type: Travel Benefits available on 1st of the month after start: Holiday pay Weekly pay Retention bonus 401k retirement plan Medical benefits Dental benefits Vision benefits Referral bonus Pa…",41.49307,2026-04-18T09:57:49Z,5703686252,0,https://www.adzuna.com/land/ad/5703686252?se=So-6bS878RGVttsdzVeZUw&utm_medium=api&utm_source=abfa41a4&v=F9103C1BAECBC423C9A40F0A3FA258BB58FDCD55,"Travel Nurse RN - PCU - Progressive Care Unit - $2,465 per week",-81.66832,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Voca Healthcare,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Ohio', 'Cuyahoga County', 'Newburgh Heights']","Newburgh Heights, Cuyahoga County",,
0.0,Adzuna::API::Response::Job,114244.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMzY4NjI1MyIsInMiOiJTby02YlM4NzhSR1Z0dHNkelZlWlV3In0.kcxVKP6pXn6-ewXXfq3_n_4ukJKJf540YwxsmGbM8is,"TNAA TotalMed RN is seeking a travel nurse RN Cardiac Cath Lab for a travel nursing job in Racine, Wisconsin. Job Description & Requirements Specialty: Cardiac Cath Lab Discipline: RN Duration: 13 weeks 40 hours per week Shift: 8 hours, days Employment Type: Travel About TNAA TotalMed RN TotalMed is a Top Ten, travel nursing and healthcare staffing agency with the mission of igniting purpose in healthcare. The organization staffs nurses, therapists, pharmacists, and other clinicians of all spec…",42.75444,2026-04-18T09:57:49Z,5703686253,0,https://www.adzuna.com/land/ad/5703686253?se=So-6bS878RGVttsdzVeZUw&utm_medium=api&utm_source=abfa41a4&v=42B40687F3AF0F4D4C3A695D97B873FCF4DBF6B7,"Travel Nurse RN - Cardiac Cath Lab - $2,197 per week",-87.8376,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,TNAA TotalMed RN,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Wisconsin', 'Racine County', 'Racine']","Racine, Racine County",,
0.0,Adzuna::API::Response::Job,95160.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMzY4NjI1NCIsInMiOiJTby02YlM4NzhSR1Z0dHNkelZlWlV3In0.QLXF77wrNJcYAIy-vZiwWXQPhzlg7gQ5ECjUV0yw_Pw,"TNAA TotalMed RN is seeking a travel nurse RN ICU - Intensive Care Unit Med Surg for a travel nursing job in Jackson, Michigan. Job Description & Requirements Specialty: ICU - Intensive Care Unit Discipline: RN Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel We're looking for Intensive Care Unit RNs for an immediate travel nurse opening in Jackson, MI. The right nurse should have 1-2 years recent acute care experience. Read below for more requirements. As an…",42.225448,2026-04-18T09:57:49Z,5703686254,0,https://www.adzuna.com/land/ad/5703686254?se=So-6bS878RGVttsdzVeZUw&utm_medium=api&utm_source=abfa41a4&v=828AF8D5ADBA484AA811DA43C9A1C330D3F8ABFE,"Travel Registered Nurse Med Surg - $1,830 per week",-84.408712,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,TNAA TotalMed RN,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Michigan', 'Jackson County', 'Jackson']","Jackson, Jackson County",,
0.0,Adzuna::API::Response::Job,109252.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiU28tNmJTODc4UkdWdHRzZHpWZVpVdyIsImkiOiI1NzAzNjg2MjU1In0.YmwZb-9mAcVTp6aXbgwItJr4ohphec3eWgJkEzf2HQI,"Care Team Solutions is seeking a travel nurse RN Oncology for a travel nursing job in Rochester, New York. Job Description & Requirements Specialty: Oncology Discipline: RN Start Date: 05/12/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours Employment Type: Travel Registered Nurse must have 2 years of recent experience in particular specialty Details: Must Have 2 Years of recent Oncology experience. Specialty: Oncology Discipline: Registered Nurse Start Date: 2026-05-12 Duration: 16 Wee…",43.1315,2026-04-18T09:57:49Z,5703686255,0,https://www.adzuna.com/land/ad/5703686255?se=So-6bS878RGVttsdzVeZUw&utm_medium=api&utm_source=abfa41a4&v=13ADE406AA8A1145A4338B9694E238D68EECB65F,"Travel Oncology Registered Nurse - $2,101 per week",-77.6085,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Care Team Solutions,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'New York', 'Monroe County', 'Loehmanns Plaza']","Loehmanns Plaza, Monroe County",,
0.0,Adzuna::API::Response::Job,137696.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMzY4NjI0MiIsInMiOiJTby02YlM4NzhSR1Z0dHNkelZlWlV3In0.B8CEmkf2MQxOYdh_ViLUMjDVgfnG2M7qi0KytggEX30,"Supplemental Health Care is seeking a travel nurse RN OR - Operating Room for a travel nursing job in Oak Lawn, Illinois. Job Description & Requirements Specialty: OR - Operating Room Discipline: RN Start Date: ASAP Duration: 13 weeks 40 hours per week Shift: 8 hours, nights Employment Type: Travel Job Description: Supplemental Health Care is hiring OR RNs for contract assignments at partnering hospitals in Oak Lawn, Illinois. Whether you’re looking to travel or stay local, we’re committed to h…",41.70888,2026-04-18T09:57:48Z,5703686242,0,https://www.adzuna.com/land/ad/5703686242?se=So-6bS878RGVttsdzVeZUw&utm_medium=api&utm_source=abfa41a4&v=17B98CAA248445FF52D348A2EBD41B002F4AB226,"Travel Operating Room Registered Nurse - $2,648 per week",-87.8028,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Supplemental Health Care,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Illinois', 'Cook County', 'Palos Hills']","Palos Hills, Cook County",,
0.0,Adzuna::API::Response::Job,102024.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMzY4NjI1MCIsInMiOiJTby02YlM4NzhSR1Z0dHNkelZlWlV3In0.gqLLIa0n61UdvBe_AFV7euzrJdQ880prJlwv5oS-Ypc,"Fusion Medical Staffing-Nursing is seeking a travel nurse RN ED - Emergency Department for a travel nursing job in Lodi, California. Job Description & Requirements Specialty: ED - Emergency Department Discipline: RN Start Date: 05/18/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Travel ER RN Company: Fusion Medical Staffing Location: Facility in Lodi, California Job Details Fusion Medical Staffing is seeking a skilled ER RN for a 13-week travel assignme…",38.123496,2026-04-18T09:57:48Z,5703686250,0,https://www.adzuna.com/land/ad/5703686250?se=So-6bS878RGVttsdzVeZUw&utm_medium=api&utm_source=abfa41a4&v=C539725E8F17B9488E7790A9B5DDFB4460AB27B5,"Travel Nurse RN - ED - Emergency Department - $1,962 per week",-121.270043,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Fusion Medical Staffing-Nursing,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'California', 'San Joaquin County', 'Kettleman']","Kettleman, San Joaquin County",,
0.0,Adzuna::API::Response::Job,96408.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMzY4NjI0OCIsInMiOiJTby02YlM4NzhSR1Z0dHNkelZlWlV3In0.UVGqDw7HrF-DXBXRyAHXfMKMWbDKAUgwEZ6TojeMO5w,"Supplemental Health Care is seeking a travel nurse RN Telemetry for a travel nursing job in Tuscaloosa, Alabama. Job Description & Requirements Specialty: Telemetry Discipline: RN Start Date: ASAP Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Job Description: Supplemental Health Care is hiring Telemetry Registered Nurses for contract assignments at partnering hospitals in Tuscaloosa, Alabama. Whether you’re looking to travel or stay local, we’re committed to…",33.169073,2026-04-18T09:57:48Z,5703686248,0,https://www.adzuna.com/land/ad/5703686248?se=So-6bS878RGVttsdzVeZUw&utm_medium=api&utm_source=abfa41a4&v=8BD7E82F2072C15F550E26D554E1537B965D8998,"Travel Telemetry Registered Nurse - $1,854 per week",-87.63838,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Supplemental Health Care,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Alabama', 'Tuscaloosa County', 'Tuscaloosa']","Tuscaloosa, Tuscaloosa County",,
0.0,Adzuna::API::Response::Job,109252.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiU28tNmJTODc4UkdWdHRzZHpWZVpVdyIsImkiOiI1NzAzNjg2MjQ3In0.SFlN5XUOfg9y-P0ZBpI1Q3qZBLfw3YD3rcFdTkjMa_o,"Care Team Solutions is seeking a travel nurse RN Med Surg / Telemetry for a travel nursing job in Rochester, New York. Job Description & Requirements Specialty: Med Surg / Telemetry Discipline: RN Start Date: 05/12/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours Employment Type: Travel Registered Nurse must have 2 years of recent experience in particular specialty Details: Must Have 2 Years of recent Telemetry experience. Specialty: Telemetry Discipline: Registered Nurse Start Date: 2…",43.1315,2026-04-18T09:57:48Z,5703686247,0,https://www.adzuna.com/land/ad/5703686247?se=So-6bS878RGVttsdzVeZUw&utm_medium=api&utm_source=abfa41a4&v=8A468951CF2069BF8164176A7DF9210F43731EC1,"Travel Medical-Surgical Telemetry Registered Nurse - $2,101 per week",-77.6085,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Care Team Solutions,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'New York', 'Monroe County', 'Loehmanns Plaza']","Loehmanns Plaza, Monroe County",,
0.0,Adzuna::API::Response::Job,115908.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMzY4NjI0OSIsInMiOiJTby02YlM4NzhSR1Z0dHNkelZlWlV3In0.WUzx-VbF3P71h2aoCN3wPp6ylmcI1_grJmtea--npAo,"Care Team Solutions is seeking a travel nurse RN OR Circulate for a travel nursing job in Pontiac, Michigan. Job Description & Requirements Specialty: OR Circulate Discipline: RN Start Date: 05/04/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours Employment Type: Travel Registered Nurse must have 2 years of recent experience in particular specialty Details: Must Have 2 Years of recent Operating Room experience. Specialty: Operating Room Discipline: Registered Nurse Start Date: 2026-05-0…",42.670356,2026-04-18T09:57:48Z,5703686249,0,https://www.adzuna.com/land/ad/5703686249?se=So-6bS878RGVttsdzVeZUw&utm_medium=api&utm_source=abfa41a4&v=4114FAE18E5FF7989F79FEE140F93ADE3D682042,"Travel Operating Room Circulator RN - $2,229 per week",-83.291458,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Care Team Solutions,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Michigan', 'Oakland County', 'Pontiac']","Pontiac, Oakland County",,
0.0,Adzuna::API::Response::Job,114452.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMzY4NjI0MSIsInMiOiJTby02YlM4NzhSR1Z0dHNkelZlWlV3In0.Uy0KXfKXmPlyvUVFBVKT_iR4iouYjU2bbIggkUnDZHA,"Host Healthcare is seeking a travel nurse RN Rehabilitation for a travel nursing job in Sioux City, Iowa. Job Description & Requirements Specialty: Rehabilitation Discipline: RN Start Date: 05/11/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Host Healthcare Job ID a1fVX000003B2pZYAS. Pay package is based on 12 hour shifts and 36 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job title: RN - Rehab About Hos…",42.401,2026-04-18T09:57:47Z,5703686241,0,https://www.adzuna.com/land/ad/5703686241?se=So-6bS878RGVttsdzVeZUw&utm_medium=api&utm_source=abfa41a4&v=45D024941BDF14901A370FEC42428AC293B1DE27,"Travel Nurse RN - Rehabilitation - $2,201 per week",-96.373,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Host Healthcare,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Iowa', 'Woodbury County', 'Sergeant Bluff']","Sergeant Bluff, Woodbury County",,
