redirect_url,__CLASS__,salary_min,title,id,salary_is_predicted,description,latitude,adref,longitude,created,salary_max,category.tag,category.__CLASS__,category.label,company.display_name,company.__CLASS__,location.display_name,location.__CLASS__,location.area,contract_time,contract_type
https://www.adzuna.com/land/ad/5782253542?se=yP4htpl08RGeccqK7JssDw&utm_medium=api&utm_source=abfa41a4&v=34F0F252F9497D76617DDE645A508FCFF9AA1E7E,Adzuna::API::Response::Job,46759.31,Pool Service Technician (Experience Strongly Preferred),5782253542,1,"Job Description Job Description Job Description: WHAT WE OFFER? ● Competitive pay and bonus structure ● TONS of growth and advancement opportunities ● Incredible team culture and events ● Cool, branded company vehicle ● Full time hours with job security ● Paid training and career planning This position is for highly organized and customer centric individuals who have a passion for delivering outstanding results. Previous pool service experience is an asset but not required - basic maintenance a…",32.214792,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieVA0aHRwbDA4UkdlY2NxSzdKc3NEdyIsImkiOiI1NzgyMjUzNTQyIn0.sj75zXzILpxxAyuVQHThugAtzeya41ySzzDx4k9KUFg,-110.971527,2026-06-30T11:30:32Z,46759.31,trade-construction-jobs,Adzuna::API::Response::Category,Trade & Construction Jobs,Puddle Pools,Adzuna::API::Response::Company,"Tucson, Pima County",Adzuna::API::Response::Location,"['US', 'Arizona', 'Pima County', 'Tucson']",,
https://www.adzuna.com/land/ad/5782253510?se=yP4htpl08RGeccqK7JssDw&utm_medium=api&utm_source=abfa41a4&v=BB9C18EE84BAB2DBDEF83A811CFD02CFD354B2DD,Adzuna::API::Response::Job,21938.73,"Pool Cleaner/Technician - Wilmington, NC",5782253510,1,"Job Description Job Description Pool Service Technicians are responsible for cleaning and maintaining about 10-12 unstaffed pool facilities daily. Duties include checking and balancing chemicals, vacuuming and cleaning the pool, completing daily duties reports, ensuring pool equipment is in good repair, and performing minor pool repairs. Pool Service Technicians must be at least 19 years old and meet eligibility requirements to operate a company vehicle, including having a valid driver’s licens…",34.225726,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MjI1MzUxMCIsInMiOiJ5UDRodHBsMDhSR2VjY3FLN0pzc0R3In0.AsXn7yxF6yCRo5qqTfFfM77_ImB8DMLeSp_eru3kLqY,-77.94471,2026-06-30T11:30:30Z,21938.73,maintenance-jobs,Adzuna::API::Response::Category,Maintenance Jobs,Aqua Tech Pool Management,Adzuna::API::Response::Company,"Wilmington, New Hanover County",Adzuna::API::Response::Location,"['US', 'North Carolina', 'New Hanover County', 'Wilmington']",,
https://www.adzuna.com/land/ad/5782253511?se=yP4htpl08RGeccqK7JssDw&utm_medium=api&utm_source=abfa41a4&v=5F3407D2A77FF77152FFDDE0D9126D34B6545BD2,Adzuna::API::Response::Job,123979.31,Field Service Engineer - Web Handling & Tension Control,5782253511,1,"Job Description Job Description Field Service Engineer – Web Handling & Tension Control Responsibilities Provide hands-on field service support for industrial automation , controls systems , variable frequency drives , and manufacturing equipment in customer production environments. Troubleshoot, configure, and support Rockwell Automation platforms, including Studio 5000 , Logix Designer , ControlLogix , and CompactLogix . Perform diagnostics and adjustments for PLC programming , ladder logic ,…",41.735945,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieVA0aHRwbDA4UkdlY2NxSzdKc3NEdyIsImkiOiI1NzgyMjUzNTExIn0.tgIxk9oCOX97Pbu-mo7MkWcchTYnxSQrFkoEpV9G0dk,-71.115143,2026-06-30T11:30:30Z,123979.31,engineering-jobs,Adzuna::API::Response::Category,Engineering Jobs,All Engineering Recruitment Solutions,Adzuna::API::Response::Company,"Fall River, Bristol County",Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Bristol County', 'Fall River']",,
https://www.adzuna.com/land/ad/5782253505?se=yP4htpl08RGeccqK7JssDw&utm_medium=api&utm_source=abfa41a4&v=5555AAB2C1F980875060F52D5E50522C6672CE8E,Adzuna::API::Response::Job,60882.02,Carpenter,5782253505,1,"Job Description Job Description We are looking for journeyman all around carpenters who have a strong work ethic and a proven track record for our clients. Residential and commercial opportunities available. Carpenter responsibilities : Designing, building, installing and repairing structures, fixtures, furniture, and other items using different types of materials including wood and steel. Demolition, drywall repair, painting, trim work Carpenter qualifications: 3 years of construction experien…",47.660072,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MjI1MzUwNSIsInMiOiJ5UDRodHBsMDhSR2VjY3FLN0pzc0R3In0.DSA1eC0q_9yMGMtFEE9A0utKaT9-u1wom9p9IANdba0,-117.431627,2026-06-30T11:30:29Z,60882.02,trade-construction-jobs,Adzuna::API::Response::Category,Trade & Construction Jobs,Madden Industrial Craftsmen,Adzuna::API::Response::Company,"Spokane, Spokane County",Adzuna::API::Response::Location,"['US', 'Washington', 'Spokane County', 'Spokane']",,
https://www.adzuna.com/land/ad/5782253507?se=yP4htpl08RGeccqK7JssDw&utm_medium=api&utm_source=abfa41a4&v=B22A864067D9F89A2423789502EF2B6016ADA5A5,Adzuna::API::Response::Job,66480.43,Pipe fitter Plumber,5782253507,1,"Job Description Job Description Read and interpret isometric drawings to determine pipe layout, measurements, and installation requirements Install, assemble, and repair commercial and industrial piping systems Use and maintain all hand tools and power tools relevant to plumbing and mechanical work Perform pipe cutting, threading, fitting, and welding preparation as required Ensure proper alignment, grading, and support of piping systems Work in coordination with welders, HVAC technicians, and …",30.505198,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MjI1MzUwNyIsInMiOiJ5UDRodHBsMDhSR2VjY3FLN0pzc0R3In0.YBc9bm30GKAv8x2RTPcK-5kuPcTFX2P0vkMEXZUZm08,-97.820289,2026-06-30T11:30:29Z,66480.43,trade-construction-jobs,Adzuna::API::Response::Category,Trade & Construction Jobs,BROWNS LLC,Adzuna::API::Response::Company,"Cedar Park, Williamson County",Adzuna::API::Response::Location,"['US', 'Texas', 'Williamson County', 'Cedar Park']",,
https://www.adzuna.com/land/ad/5782253483?se=yP4htpl08RGeccqK7JssDw&utm_medium=api&utm_source=abfa41a4&v=0811B7645CCD20FDC19DEDD1C1D0E968F4FDBDCE,Adzuna::API::Response::Job,116841.81,Sales Representative,5782253483,1,"Job Description Job Description The Sales Representative will play a key role in driving revenue growth by engaging clients, delivering compelling sales presentations, and building lasting customer relationships. This position requires a proactive individual skilled in negotiation, market research, and providing excellent customer support to meet and exceed sales targets. Responsibilities Engage with clients to understand their needs and provide tailored solutions Deliver persuasive sales prese…",28.182515,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieVA0aHRwbDA4UkdlY2NxSzdKc3NEdyIsImkiOiI1NzgyMjUzNDgzIn0.3oceoLCtXUkNvpdSdK3wsS-pAfOTMbZapjoRAsV-wOo,-81.823968,2026-06-30T11:30:28Z,116841.81,sales-jobs,Adzuna::API::Response::Category,Sales Jobs,Ghoten Kitchen & Bath LLC,Adzuna::API::Response::Company,"Polk City, Polk County",Adzuna::API::Response::Location,"['US', 'Florida', 'Polk County', 'Polk City']",,
https://www.adzuna.com/land/ad/5782253476?se=yP4htpl08RGeccqK7JssDw&utm_medium=api&utm_source=abfa41a4&v=AADB3E856C462286A3E4DCB705EBA31AC05CD1AC,Adzuna::API::Response::Job,54542.76,FINISHER/POLISHER - 2nd Shift,5782253476,1,Job Description Job Description Garland Stainless Steel Manufacturing Company seeking an Experienced Finisher/Polisher Employment type: 2 nd Shift-Full-Time (4) 10-hour days Monday-Thursday 3:15pm-1:45am Duties include but not limited to: * First Piece approvals and Final part inspections * Finish and Polish Precision Metal stainless steel equipment using hand grinders/tools (18-14 gauge being the most common) *Capability of performing routine maintenance on hand tools as needed Job Requirement…,32.936887,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieVA0aHRwbDA4UkdlY2NxSzdKc3NEdyIsImkiOiI1NzgyMjUzNDc2In0.-wse1f1uvvEOKs1ZU5vX_Dxv-dUjfj3wO_K8bsVtIMQ,-96.631746,2026-06-30T11:30:28Z,54542.76,engineering-jobs,Adzuna::API::Response::Category,Engineering Jobs,AFB Manufacturing,Adzuna::API::Response::Company,"Garland, Dallas",Adzuna::API::Response::Location,"['US', 'Texas', 'Dallas', 'Garland']",,
https://www.adzuna.com/land/ad/5782253486?se=yP4htpl08RGeccqK7JssDw&utm_medium=api&utm_source=abfa41a4&v=FF759CB8BFBFF044CA5F0039E2497B9B8E4A25B5,Adzuna::API::Response::Job,81908.45,Field Operations Manager,5782253486,1,"Job Description Job Description Please note; this role is based in Mount Vernon! Job Summary The Field Operations Manager of the Rental Business is the equivalent of a General Superintendent in the mechanical contractor and steamfitter industries. This role carries full ownership of every job from initial quote through successful commissioning and is the single point of accountability for field execution, project delivery, and customer satisfaction across all active jobs. This is a senior leade…",,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieVA0aHRwbDA4UkdlY2NxSzdKc3NEdyIsImkiOiI1NzgyMjUzNDg2In0.GdUACSq_fx_b_jdWyj8v5wD3MQXdUpvMBsZGJ52xKFk,,2026-06-30T11:30:28Z,81908.45,engineering-jobs,Adzuna::API::Response::Category,Engineering Jobs,Mobile Steam Boiler Rental Corporation,Adzuna::API::Response::Company,"New York City, New York",Adzuna::API::Response::Location,"['US', 'New York', 'New York City']",,
https://www.adzuna.com/land/ad/5782253459?se=yP4htpl08RGeccqK7JssDw&utm_medium=api&utm_source=abfa41a4&v=7D40F4DB40074D303D84A52764EBD9FB29F95976,Adzuna::API::Response::Job,129023.98,Occupational Therapist - SOUTH HOUSTON,5782253459,1,"Job Description Job Description Home Health Occupational Therapist - PRN Location: Pearland, Friendswood, Pasadena, Webster, Alvin, Missouri City, Brazoria and Galveson Counties About the Role: As an Occupational Therapist, you will play a critical role in helping individuals of all ages regain independence and improve their quality of life through therapeutic interventions. You will assess patients' physical, emotional, and cognitive abilities to develop personalized treatment plans that addre…",,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieVA0aHRwbDA4UkdlY2NxSzdKc3NEdyIsImkiOiI1NzgyMjUzNDU5In0.axoGmAr59-QcTd_P1XEA7egd07t2dRJrtacrC4AHOEo,,2026-06-30T11:30:27Z,129023.98,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,FCM GROUP LLC,Adzuna::API::Response::Company,"Houston, Harris County",Adzuna::API::Response::Location,"['US', 'Texas', 'Harris County', 'Houston']",,
https://www.adzuna.com/land/ad/5782253474?se=yP4htpl08RGeccqK7JssDw&utm_medium=api&utm_source=abfa41a4&v=BD883DC5D9ED5579C4AF0C171EABD5ACB13C3969,Adzuna::API::Response::Job,73834.85,Licensed Massage Therapist,5782253474,1,"Job Description Job Description Benefits/Perks Competitive Hourly Pay Career Growth Opportunities Fun and Energetic Environment Discount on Products and Services Job Summary We are seeking a L icensed Massage Therapist to join our successful clinic. As a Massage Therapist, you will tailor massage treatments to your patient's individual needs and health goals. The successful candidate will be knowledgeable in a variety of massage styles, possess a deep knowledge of human anatomy and the musculos…",39.73126,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MjI1MzQ3NCIsInMiOiJ5UDRodHBsMDhSR2VjY3FLN0pzc0R3In0.fp7ATUq2KFFUnchf1cGBUkiyagpNkqNr6KZZO2PBDbE,-75.545138,2026-06-30T11:30:27Z,73834.85,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Synergy Integrated Health Center,Adzuna::API::Response::Company,"Wilmington, New Castle County",Adzuna::API::Response::Location,"['US', 'Delaware', 'New Castle County', 'Wilmington']",,
