redirect_url,salary_max,created,longitude,id,title,__CLASS__,latitude,salary_is_predicted,description,salary_min,adref,category.label,category.tag,category.__CLASS__,location.display_name,location.area,location.__CLASS__,company.display_name,company.__CLASS__,contract_time,contract_type
https://www.adzuna.com/details/5690610473?utm_medium=api&utm_source=abfa41a4,324546.34,2026-04-05T09:48:00Z,-72.2397,5690610473,Surg Tech - General,Adzuna::API::Response::Job,43.6365,1,"Our Client is currently seeking Surg Tech for positions in Lebanon, New Hampshire for a 8H 07:00-15:30 Day shift. The ideal candidate will possess a current New Hampshire license. This is a Surg Tech position in the OR. You must have a Nursing License and at least 2 years of recent experience as a Surg Tech – General. Requirements For Application: - Current Resume - Nursing License per state - Current BLS and/or ACLS and/or Specialty Certifications - 2 current clinical references Requirement Pr…",324546.34,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibmhnSWJQY3c4UkdyQlpOYlk1STBmQSIsImkiOiI1NjkwNjEwNDczIn0.Bc_r1QBoALt05KIfUSs-ai3Dxp_JMAv633zQlFwjLaI,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"West Lebanon, Grafton County","['US', 'New Hampshire', 'Grafton County', 'West Lebanon']",Adzuna::API::Response::Location,Dartmouth Hitchcock Medical Center,Adzuna::API::Response::Company,,
https://www.adzuna.com/details/5690610481?utm_medium=api&utm_source=abfa41a4,17475.56,2026-04-05T09:48:00Z,-107.904919,5690610481,Pharmacy Customer Service Associate,Adzuna::API::Response::Job,38.420953,1,"Models and delivers a distinctive and delightful customer experience. Registers sales on assigned cash register, provides customers with courteous, fair, friendly, and efficient checkout service. In accordance with state and federal regulations, assists the pharmacist, under direct supervision, in the practice of pharmacy. Responsible for using pharmacy systems to obtain patient and drug information and process prescriptions. Customer Experience Engages customers and patients by greeting them a…",17475.56,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MDYxMDQ4MSIsInMiOiJuaGdJYlBjdzhSR3JCWk5iWTVJMGZBIn0.C_QWuvRAdIlsT88HrlOWleVoWbong2TTT5TjIhpSi8Q,Retail Jobs,retail-jobs,Adzuna::API::Response::Category,"Montrose, Montrose County","['US', 'Colorado', 'Montrose County', 'Montrose']",Adzuna::API::Response::Location,Walgreens,Adzuna::API::Response::Company,,
https://www.adzuna.com/land/ad/5690610461?se=nhgIbPcw8RGrBZNbY5I0fA&utm_medium=api&utm_source=abfa41a4&v=C9A26971CB950971136D74135E402D15B8B50EB3,46842.54,2026-04-05T09:47:59Z,-121.932494,5690610461,Driver,Adzuna::API::Response::Job,37.315682,1,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",46842.54,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MDYxMDQ2MSIsInMiOiJuaGdJYlBjdzhSR3JCWk5iWTVJMGZBIn0.4QH1CVjzgnXCYWqRFQFCBnaAi5Vq7faT_k-H9yY7MkQ,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,"Santa Clara, Santa Clara County","['US', 'California', 'Santa Clara County', 'Santa Clara']",Adzuna::API::Response::Location,Uber,Adzuna::API::Response::Company,part_time,
https://www.adzuna.com/land/ad/5690610454?se=nhgIbPcw8RGrBZNbY5I0fA&utm_medium=api&utm_source=abfa41a4&v=9FE74D3894EDA370A26CD16F2AA2E383C97F01D2,56848.22,2026-04-05T09:47:59Z,-121.65606,5690610454,Driver - Get Paid Daily,Adzuna::API::Response::Job,36.667813,1,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",56848.22,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibmhnSWJQY3c4UkdyQlpOYlk1STBmQSIsImkiOiI1NjkwNjEwNDU0In0.jGpjujkIbg6hTdNzuuN7U83Zw2tRnnejccMMTIYdTSY,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,"Salinas, Monterey County","['US', 'California', 'Monterey County', 'Salinas']",Adzuna::API::Response::Location,Uber,Adzuna::API::Response::Company,part_time,
https://www.adzuna.com/land/ad/5690610466?se=nhgIbPcw8RGrBZNbY5I0fA&utm_medium=api&utm_source=abfa41a4&v=F835F423240152DCAE4C5C804C514509BE429D6F,73498.34,2026-04-05T09:47:59Z,-72.336568,5690610466,"Retirement Plan Consultant - Hartford, VT",Adzuna::API::Response::Job,43.659206,1,"Who We Are At Corebridge Financial, we believe action is everything. That’s why every day we partner with financial professionals and institutions to make it possible for more people to take action in their financial lives, for today and tomorrow. We align to a set of Values that are the core pillars that define our culture and help bring our brand purpose to life: We are stronger as one: We collaborate across the enterprise, scale what works and act decisively for our customers and partners. W…",73498.34,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MDYxMDQ2NiIsInMiOiJuaGdJYlBjdzhSR3JCWk5iWTVJMGZBIn0.BYfCtmUjJNWJN8olPJTdqjqorMJa79qVPyLGizWOl0A,Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Category,"Hartford, Windsor County","['US', 'Vermont', 'Windsor County', 'Hartford']",Adzuna::API::Response::Location,Corebridge Financial,Adzuna::API::Response::Company,full_time,
https://www.adzuna.com/details/5690610451?utm_medium=api&utm_source=abfa41a4,196400.0,2026-04-05T09:47:59Z,-81.036821,5690610451,Senior Requirements Analyst,Adzuna::API::Response::Job,33.987339,0,"In a world of possibilities, pursue one with endless opportunities. Imagine Next! At Parsons, you can imagine a career where you thrive, work with exceptional people, and be yourself. Guided by our leadership vision of valuing people, embracing agility, and fostering growth, we cultivate an innovative culture that empowers you to achieve your full potential. Unleash your talent and redefine what’s possible. Job Description: Parsons is looking for an amazingly talented Senior Requirement Analyst…",112200.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibmhnSWJQY3c4UkdyQlpOYlk1STBmQSIsImkiOiI1NjkwNjEwNDUxIn0.oTyCSX7Q0XnAd81gwWapH5t6rcWMkuOIKKrsTxfj6xU,Consultancy Jobs,consultancy-jobs,Adzuna::API::Response::Category,"Columbia, Richland County","['US', 'South Carolina', 'Richland County', 'Columbia']",Adzuna::API::Response::Location,Parsons,Adzuna::API::Response::Company,full_time,
https://www.adzuna.com/details/5690610458?utm_medium=api&utm_source=abfa41a4,84000.0,2026-04-05T09:47:59Z,-78.631362,5690610458,Federal Tax Associate (Fall 2027/Winter 2028),Adzuna::API::Response::Job,35.77443,0,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowher…",70400.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MDYxMDQ1OCIsInMiOiJuaGdJYlBjdzhSR3JCWk5iWTVJMGZBIn0.395WBhP_cG2-YLYdIZ4SyWZ52x23u05bsy39aNWqOd4,Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Category,"Raleigh, Wake County","['US', 'North Carolina', 'Wake County', 'Raleigh']",Adzuna::API::Response::Location,RSM,Adzuna::API::Response::Company,full_time,
https://www.adzuna.com/details/5690610456?utm_medium=api&utm_source=abfa41a4,37603.38,2026-04-05T09:47:59Z,-75.713801,5690610456,"Patient Concierge, Musculoskeletal; Lehighton/Palmerton",Adzuna::API::Response::Job,40.833703,1,"St. Luke's is proud of the skills, experience and compassion of its employees. The employees of St. Luke's are our most valuable asset! Individually and together, our employees are dedicated to satisfying the mission of our organization which is an unwavering commitment to excellence as we care for the sick and injured; educate physicians, nurses and other health care providers; and improve access to care in the communities we serve, regardless of a patient's ability to pay for health care. The…",37603.38,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibmhnSWJQY3c4UkdyQlpOYlk1STBmQSIsImkiOiI1NjkwNjEwNDU2In0.8llu3g9E5Tke0eB9PA7sHYLsWG5kB8nCCCflD9axEtI,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"Lehighton, Carbon County","['US', 'Pennsylvania', 'Carbon County', 'Lehighton']",Adzuna::API::Response::Location,St. Luke’s University Health Network,Adzuna::API::Response::Company,full_time,
https://www.adzuna.com/land/ad/5690610440?se=nhgIbPcw8RGrBZNbY5I0fA&utm_medium=api&utm_source=abfa41a4&v=F16BA58BBE1B3B9932052C91096E5E0296C28BD0,47321.09,2026-04-05T09:47:58Z,-122.480944,5690610440,Drive on Your Schedule,Adzuna::API::Response::Job,37.761523,1,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",47321.09,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MDYxMDQ0MCIsInMiOiJuaGdJYlBjdzhSR3JCWk5iWTVJMGZBIn0.o-FqPDEGTRBxXnFfGtnveUMwOxyp0tQvZiHeS1FVtpM,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,"Sunset, San Francisco","['US', 'California', 'San Francisco', 'Sunset']",Adzuna::API::Response::Location,Uber,Adzuna::API::Response::Company,part_time,
https://www.adzuna.com/land/ad/5690610441?se=nhgIbPcw8RGrBZNbY5I0fA&utm_medium=api&utm_source=abfa41a4&v=50671719770E951BE791D3C2A780C0992E712C5F,57016.31,2026-04-05T09:47:58Z,-121.984108,5690610441,Earn on Your Schedule - Drive with Uber,Adzuna::API::Response::Job,37.003783,1,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",57016.31,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MDYxMDQ0MSIsInMiOiJuaGdJYlBjdzhSR3JCWk5iWTVJMGZBIn0.lHYtTs_8XgF9vAo6BKQV_ml06O8RKwJ0f3G1dhN6r4M,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,"Soquel, Santa Cruz County","['US', 'California', 'Santa Cruz County', 'Soquel']",Adzuna::API::Response::Location,Uber,Adzuna::API::Response::Company,part_time,
