created,id,__CLASS__,title,longitude,description,salary_min,salary_is_predicted,salary_max,redirect_url,adref,latitude,company.__CLASS__,company.display_name,category.label,category.__CLASS__,category.tag,location.__CLASS__,location.display_name,location.area,contract_type,contract_time
2026-06-17T12:33:52Z,5766922763,Adzuna::API::Response::Job,"Travel Physical Therapist - Paying up to $2,366/week",-97.83624,"Vivian is looking for Travel Physical Therapist Therapys in Bowie, Texas paying up to $2,366/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover jobs most…",0.0,0,123032.0,https://www.adzuna.com/land/ad/5766922763?se=YGCjeGtq8RGJEN9EejDKcQ&utm_medium=api&utm_source=abfa41a4&v=6ABE87E55EB8895ACA511105FFC252806B4F804E,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUdDamVHdHE4UkdKRU45RWVqREtjUSIsImkiOiI1NzY2OTIyNzYzIn0.J-S-Qn7sBDdrRxTN8_z-vaePpzN7ZcsqmNFf-hE_wq4,33.56436,Adzuna::API::Response::Company,Vivian Health,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Location,"Bowie, Montague County","['US', 'Texas', 'Montague County', 'Bowie']",,
2026-06-17T12:33:52Z,5766922782,Adzuna::API::Response::Job,"Travel Level II - Physical Therapist - Paying up to $2,921/week",-108.277751,"Vivian is looking for Travel Physical Therapist Therapys in Silver City, New Mexico paying up to $2,921/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discove…",0.0,0,151892.0,https://www.adzuna.com/land/ad/5766922782?se=YGCjeGtq8RGJEN9EejDKcQ&utm_medium=api&utm_source=abfa41a4&v=334F50E2CDA69CF82446C722DABF80C05E006418,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUdDamVHdHE4UkdKRU45RWVqREtjUSIsImkiOiI1NzY2OTIyNzgyIn0.7l8hfh9fMXy8cj22GZUPoLo9BzgxRhYWIypLiLCI_1c,32.779072,Adzuna::API::Response::Company,Vivian Health,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Location,"Silver, Grant County","['US', 'New Mexico', 'Grant County', 'Silver']",,
2026-06-17T12:33:52Z,5766922767,Adzuna::API::Response::Job,"Travel Occupational Therapist - Paying up to $2,206/week",-85.773183,"Vivian is looking for Travel Occupational Therapist Therapys in North Manchester, Indiana paying up to $2,206/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and d…",0.0,0,114712.0,https://www.adzuna.com/land/ad/5766922767?se=YGCjeGtq8RGJEN9EejDKcQ&utm_medium=api&utm_source=abfa41a4&v=37DCBEFE170510E69BC7E40886576761E9011159,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2NjkyMjc2NyIsInMiOiJZR0NqZUd0cThSR0pFTjlFZWpES2NRIn0.Aoug-9xmi1P2En-zR9-whDxPdrfXJSQSfMrL7ai34qE,41.004617,Adzuna::API::Response::Company,Vivian Health,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Location,"North Manchester, Wabash County","['US', 'Indiana', 'Wabash County', 'North Manchester']",,
2026-06-17T12:33:52Z,5766922758,Adzuna::API::Response::Job,"Travel Occupational Therapist - Paying up to $2,366/week",-97.83624,"Vivian is looking for Travel Occupational Therapist Therapys in Bowie, Texas paying up to $2,366/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover jobs …",0.0,0,123032.0,https://www.adzuna.com/land/ad/5766922758?se=YGCjeGtq8RGJEN9EejDKcQ&utm_medium=api&utm_source=abfa41a4&v=540CFB432332DF05D743E3EEB2C23CA62CE57040,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2NjkyMjc1OCIsInMiOiJZR0NqZUd0cThSR0pFTjlFZWpES2NRIn0.thWAX_QOkTLX2psp69IhncAlLK-uuaKwrRZZe6xbLrE,33.56436,Adzuna::API::Response::Company,Vivian Health,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Location,"Bowie, Montague County","['US', 'Texas', 'Montague County', 'Bowie']",,
2026-06-17T12:33:38Z,5766922739,Adzuna::API::Response::Job,"Travel Physical Therapist - $1,583 per week",-95.465547,"Uniti Med is seeking a travel Physical Therapist for a travel job in Crockett, Texas. Job Description & Requirements Specialty: Physical Therapist Discipline: Therapy Start Date: ASAP Duration: 13 weeks 35 hours per week Shift: 12 hours Employment Type: Travel Benefits: Day 1 Insurance Cigna medical, MetLife dental and vision insurance License reimbursement for new licenses needed for each assignment Discounts with hotels and rental cars A dedicated recruiter and support team that will help you…",0.0,0,82316.0,https://www.adzuna.com/land/ad/5766922739?se=YGCjeGtq8RGJEN9EejDKcQ&utm_medium=api&utm_source=abfa41a4&v=1FA1D67D5C8D281009EA392A928B976413EBA26D,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2NjkyMjczOSIsInMiOiJZR0NqZUd0cThSR0pFTjlFZWpES2NRIn0.PmwSYM5DdIWuxRyr4-WizvtemrAPmFPRCWWaxCDGmdo,31.316314,Adzuna::API::Response::Company,Uniti Med,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Location,"Crockett, Houston County","['US', 'Texas', 'Houston County', 'Crockett']",,
2026-06-17T12:33:01Z,5766922722,Adzuna::API::Response::Job,Financial Planning & Analysis Manager,-81.163168,"The Financial Planning and Analysis (FP&A) Manager is responsible for all issues related to strategic financial analysis and business analysis. They will create and use complex financial modeling and partner with key stakeholders to provide insight into financial and operating trends in support of the company's continued growth, financial support of business cases and decisions, and play a key role in annual budgeting and forecasting. The FP&A Manager will deliver value-added financial analysis…",138706.9,1,138706.9,https://www.adzuna.com/land/ad/5766922722?se=YGCjeGtq8RGJEN9EejDKcQ&utm_medium=api&utm_source=abfa41a4&v=76C1FCAFA7A87385B499805D21FEBF73F6FC3E32,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2NjkyMjcyMiIsInMiOiJZR0NqZUd0cThSR0pFTjlFZWpES2NRIn0.JtByRFpVV0jkX6p-o9BIDpzeOvnaVVCT7vOwQlAlxbM,32.149092,Adzuna::API::Response::Company,Parker's Kitchen,Accounting & Finance Jobs,Adzuna::API::Response::Category,accounting-finance-jobs,Adzuna::API::Response::Location,"Port Wentworth, Chatham County","['US', 'Georgia', 'Chatham County', 'Port Wentworth']",,
2026-06-17T12:33:01Z,5766922719,Adzuna::API::Response::Job,Returning District Sales Manager - Spirit,-77.969283,"Weekly rate ranges from $1,050 - $1,075 per week and is dependent upon qualifications and experience. Brand: Spirit Halloween This position is for any person who has previously worked for Spencer's / Spirit Halloween in a District Sales Manager position. ? The District Sales Manager is a seasonal position, which starts in July and typically ends in November. The District Sales Manager is responsible for all aspects of the store operation (average 3 stores) including, sales, payroll recruiting, …",53156.86,1,53156.86,https://www.adzuna.com/land/ad/5766922719?se=YGCjeGtq8RGJEN9EejDKcQ&utm_medium=api&utm_source=abfa41a4&v=EA54422963BB8968ABE8D3054C4D1F9155889B96,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUdDamVHdHE4UkdKRU45RWVqREtjUSIsImkiOiI1NzY2OTIyNzE5In0.qYPnx4ZVg-W1ZfbS9QHy-wfaPmF7s6bl6lznxoIIt-4,39.460281,Adzuna::API::Response::Company,Spencer Gifts,Sales Jobs,Adzuna::API::Response::Category,sales-jobs,Adzuna::API::Response::Location,"Martinsburg, Berkeley County","['US', 'West Virginia', 'Berkeley County', 'Martinsburg']",,
2026-06-17T12:33:01Z,5766922714,Adzuna::API::Response::Job,SAP Developer / Global Support Manager (SAP Senior Technical Support Engineer),,"Job Title: SAP Developer / Global Support Manager (SAP Senior Technical Support Engineer) ( 11133) Location: Columbia, South Carolina Work Mode: Fully Onsite Duration: 12 Months Extension Possible: Yes Interview Process: One Round Virtual Interview Candidate Requirement: Must currently reside in South Carolina or relocate prior to start date at own expense. About the Environment: SCEIS manages statewide SAP enterprise systems supporting: Finance Budgeting Grants Management Materials Management …",150449.81,1,150449.81,https://www.adzuna.com/land/ad/5766922714?se=YGCjeGtq8RGJEN9EejDKcQ&utm_medium=api&utm_source=abfa41a4&v=C08163332A5E410F462F43AC0A70896EF421D8F4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUdDamVHdHE4UkdKRU45RWVqREtjUSIsImkiOiI1NzY2OTIyNzE0In0.JggSoYb58DMAcEXatzbDkXiwaYh5XLE5DqTcTN-XALI,,Adzuna::API::Response::Company,InterSources,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,US,['US'],contract,
2026-06-17T12:33:01Z,5766922716,Adzuna::API::Response::Job,"Cook - Fry, Salad, Grill",-118.26348,"Line cooks at Islands provide the most important part of the guest experience- the food! Join our Glendale team at 117 W Broadway, Glendale CA 91204 NOW HIRING! Cooks receive an average of $2.00 more per hour with tips! Who We Are: For over 40 years, Islands has provided guests with craveable bites and great service. Our fresh cut fries, juicy burgers, and the coldest beer in town are served in an upbeat, social environment that encourages connection among guests and team members. It is our peo…",27854.53,1,27854.53,https://www.adzuna.com/land/ad/5766922716?se=YGCjeGtq8RGJEN9EejDKcQ&utm_medium=api&utm_source=abfa41a4&v=0571DA7F242BF316B4C0AD50771946317CB65CA4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2NjkyMjcxNiIsInMiOiJZR0NqZUd0cThSR0pFTjlFZWpES2NRIn0.QRSXqsFAu7Ls22sG8k3ZisKGY4_i_0SzM5gdOR1NeZ8,34.15998,Adzuna::API::Response::Company,Islands Restaurants,Hospitality & Catering Jobs,Adzuna::API::Response::Category,hospitality-catering-jobs,Adzuna::API::Response::Location,"Glendale, Los Angeles County","['US', 'California', 'Los Angeles County', 'Glendale']",,
2026-06-17T12:33:01Z,5766922710,Adzuna::API::Response::Job,Registered Nurse (RN),-81.2988,"Job Description PRIMARY FUNCTION The Registered Nurse, RN, is a member of the interdisciplinary team who work together to meet the physical, medical, psychosocial, emotional and spiritual needs of hospice patients and families facing terminal illness and bereavement. The Registered Nurse, RN, is designated to provide coordination of care, ensure continuous assessment of each patients and family's needs and implementation of the interdisciplinary plan of care. JOB RESPONSIBILITIES a. Case Manage…",60495.63,1,60495.63,https://www.adzuna.com/land/ad/5766922710?se=YGCjeGtq8RGJEN9EejDKcQ&utm_medium=api&utm_source=abfa41a4&v=C11153AA2771AC1DE8607C919469AD91B692D1A4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUdDamVHdHE4UkdKRU45RWVqREtjUSIsImkiOiI1NzY2OTIyNzEwIn0._CHlAfzl69pXBGyDDZYMzp1bOsjzRFNF5KJ8D5BQFV8,28.94862,Adzuna::API::Response::Company,VITAS Healthcare,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Location,"Orange City, Volusia County","['US', 'Florida', 'Volusia County', 'Orange City']",,
