__CLASS__,title,redirect_url,longitude,salary_max,latitude,id,created,salary_is_predicted,salary_min,description,adref,location.area,location.display_name,location.__CLASS__,category.label,category.tag,category.__CLASS__,company.__CLASS__,company.display_name,contract_time,contract_type
Adzuna::API::Response::Job,Travel ER RN,https://www.adzuna.com/land/ad/5865078144?se=1MQDLSmm8RGCdb4UItyNCQ&utm_medium=api&utm_source=abfa41a4&v=52DA77ABA07FC07FCB2506E05131F06CC38E5E2B,-90.881566,24728.96,40.410933,5865078144,2026-09-01T13:14:13Z,1,24728.96,"Travel ER RN Company: Fusion Medical Staffing Location: Facility in Carthage, IL Job Details Fusion Medical Staffing is seeking a skilled ER RN for a 13-week travel assignment in Carthage, IL. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent experience as an ER RN Valid RN license in compliance wi…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMU1RRExTbW04UkdDZGI0VUl0eU5DUSIsImkiOiI1ODY1MDc4MTQ0In0.uU6S4ieJe2tPjHtZq1vRv36kNTy-O_HyFapf19CZNmg,"['US', 'Illinois', 'McDonough County', 'Tennessee']","Tennessee, McDonough County",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Fusion Medical Staffing,,
Adzuna::API::Response::Job,Project Manager-Construction,https://www.adzuna.com/land/ad/5865078141?se=1MQDLSmm8RGCdb4UItyNCQ&utm_medium=api&utm_source=abfa41a4&v=47D266141CDE0275A3FE707E06537DA250BAD8A8,-117.322653,167579.78,47.793225,5865078141,2026-09-01T13:13:00Z,1,167579.78,"JLL empowers you to shape a brighter way . Our people at JLL are shaping the future of real estate for a better world by combining world class services, advisory and technology for our clients. We are committed to hiring the best, most talented people and empowering them to thrive, grow meaningful careers and to find a place where they belong. Whether you’ve got deep experience in commercial real estate, skilled trades or technology, or you’re looking to apply your relevant experience to a new …",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2NTA3ODE0MSIsInMiOiIxTVFETFNtbThSR0NkYjRVSXR5TkNRIn0.c_fHmUo9B-6UkeKssCmTzC2axaDAGpv4dYOoz27wepM,"['US', 'Washington', 'Spokane County', 'Colbert']","Colbert, Spokane County",Adzuna::API::Response::Location,Engineering Jobs,engineering-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,"*US AMR-Jones Lang LaSalle Americas, Inc.",,
Adzuna::API::Response::Job,"Physical Therapy Assistant (PTA)- $5,000 Sign-On Bonus- Bushwick",https://www.adzuna.com/land/ad/5865078139?se=1MQDLSmm8RGCdb4UItyNCQ&utm_medium=api&utm_source=abfa41a4&v=3C7332F297815D20527E756AB1DA519A326EDEB1,-73.895866,83191.41,40.670816,5865078139,2026-09-01T13:13:00Z,1,83191.41,"We are currently offering a $5,000 Sign-On Bonus for this position. Sigma Health Rehab is excited to offer a Full-time Physical Therapy Assistant (PTA) position to join our team of skilled therapists in a Skilled Nursing Facility . PTA Requirements Include: Graduate of an accredited Physical Therapy Assistant Program Current New York State Physical Therapy Assistant (PTA) License Experience in a skilled nursing or geriatric care setting is preferred, but new graduates with relevant fieldwork ex…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2NTA3ODEzOSIsInMiOiIxTVFETFNtbThSR0NkYjRVSXR5TkNRIn0.miWe8g_kb8fuRrG6Wq2rF2k7zzv-KvL_pYDDX8uyLTA,"['US', 'New York', 'New York City', 'Brooklyn', 'East New York and New Lots']","East New York and New Lots, Brooklyn",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Sigma Rehab,,
Adzuna::API::Response::Job,Physical Therapy Assistant (PTA)- Holliswood,https://www.adzuna.com/land/ad/5865078140?se=1MQDLSmm8RGCdb4UItyNCQ&utm_medium=api&utm_source=abfa41a4&v=BCE47799695018F1607BEC4451F88B317DB0E513,-73.76814,78594.39,40.71786,5865078140,2026-09-01T13:13:00Z,1,78594.39,"Sigma Health Rehab is excited to offer a Full-time Physical Therapy Assistant (PTA) position to join our team of skilled therapists in a Skilled Nursing Facility . PTA Requirements Include: Graduate of an accredited Physical Therapy Assistant Program Current New York State Physical Therapy Assistant (PTA) License Experience in a skilled nursing or geriatric care setting is preferred, but new graduates with relevant fieldwork experience are encouraged to apply K ey Responsibilities: Follow the p…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMU1RRExTbW04UkdDZGI0VUl0eU5DUSIsImkiOiI1ODY1MDc4MTQwIn0.nuMFw7h_YxRUjf1kfNWtgCm-Zc_pv9-IUs0TLhKEdhU,"['US', 'New York', 'New York City', 'Queens', 'Jamaica Est']","Jamaica Est, Queens",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Sigma Rehab,,
Adzuna::API::Response::Job,"Physical Therapist (PT)- $6,000 Sign-On Bonus- Boro Park",https://www.adzuna.com/land/ad/5865078118?se=1MQDLSmm8RGCdb4UItyNCQ&utm_medium=api&utm_source=abfa41a4&v=EE3C0188ACCB186CA2290BAE585B347EBFD9F35D,-73.99769,187260.67,40.632726,5865078118,2026-09-01T13:12:59Z,1,187260.67,"We are currently offering a $6,000 Sign-On Bonus for this position. Sigma Health Rehab is actively seeking a Full-time Physical Therapist (PT) to work in a Skilled Nursing Facility. PT Requirements Include: Graduate of an accredited Physical Therapy Program Current New York State PT License Experience in a skilled nursing or geriatric care setting is preferred, but new graduates with relevant fieldwork experience are encouraged to apply Key Responsibilities Include: Evaluate residents’ conditio…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2NTA3ODExOCIsInMiOiIxTVFETFNtbThSR0NkYjRVSXR5TkNRIn0.rGXpkdbwr2g5GzL7L6NuIW5FqBNDO7YdT9EzVUnhChM,"['US', 'New York', 'New York City', 'Brooklyn', 'Borough Park']","Borough Park, Brooklyn",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Sigma Rehab,,
Adzuna::API::Response::Job,"Physical Therapist (PT)- $6,000 Sign-On Bonus- Brooklyn Center",https://www.adzuna.com/land/ad/5865078130?se=1MQDLSmm8RGCdb4UItyNCQ&utm_medium=api&utm_source=abfa41a4&v=8909CC0C4180CE6BE28CE2B85CABBB52928EA9A1,-73.936224,183605.45,40.671312,5865078130,2026-09-01T13:12:59Z,1,183605.45,"We are currently offering a $6,000 Sign-On Bonus for this position. Sigma Health Rehab is actively seeking a Full-time Physical Therapist (PT) to work in a Skilled Nursing Facility. PT Requirements Include: Graduate of an accredited Physical Therapy Program Current New York State PT License Experience in a skilled nursing or geriatric care setting is preferred, but new graduates with relevant fieldwork experience are encouraged to apply Key Responsibilities Include: Evaluate residents’ conditio…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMU1RRExTbW04UkdDZGI0VUl0eU5DUSIsImkiOiI1ODY1MDc4MTMwIn0.EU7CugRmqctazoEr0dPjrdpCjyfx2QozpB7wogWUVPc,"['US', 'New York', 'New York City', 'Brooklyn', 'Flatbush']","Flatbush, Brooklyn",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Sigma Rehab,,
Adzuna::API::Response::Job,"Physical Therapist (PT)- $6,000 Sign-On Bonus -Holliswood",https://www.adzuna.com/land/ad/5865078129?se=1MQDLSmm8RGCdb4UItyNCQ&utm_medium=api&utm_source=abfa41a4&v=B3543F74CE2BB919FF6A9D8E7C90385C5DDA4EE6,-73.76814,151561.7,40.71786,5865078129,2026-09-01T13:12:59Z,1,151561.7,"We are currently offering a $6,000 Sign-On Bonus for this position. Sigma Health Rehab is actively seeking a Full-time Physical Therapist (PT) to work in a Skilled Nursing Facility. PT Requirements Include: Graduate of an accredited Physical Therapy Program Current New York State PT License Experience in a skilled nursing or geriatric care setting is preferred, but new graduates with relevant fieldwork experience are encouraged to apply Key Responsibilities Include: Evaluate residents’ conditio…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMU1RRExTbW04UkdDZGI0VUl0eU5DUSIsImkiOiI1ODY1MDc4MTI5In0.se8WCdmIrMXw44_abeocopAH1OBzvznYJ_wg8EPi_ps,"['US', 'New York', 'New York City', 'Queens', 'Jamaica Est']","Jamaica Est, Queens",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Sigma Rehab,,
Adzuna::API::Response::Job,Physical Therapist (PT)- Williamsbridge,https://www.adzuna.com/land/ad/5865078122?se=1MQDLSmm8RGCdb4UItyNCQ&utm_medium=api&utm_source=abfa41a4&v=7F9B103E7AB6CF0CFC8900FEDDB80AA6F446D7B6,-73.841571,179732.69,40.844934,5865078122,2026-09-01T13:12:59Z,1,179732.69,"Sigma Health Rehab is actively seeking a Full-time Physical Therapist (PT) to work in a Skilled Nursing Facility. PT Requirements Include: Graduate of an accredited Physical Therapy Program Current New York State PT License Experience in a skilled nursing or geriatric care setting is preferred, but new graduates with relevant fieldwork experience are encouraged to apply Key Responsibilities Include: Evaluate residents’ conditions & develop appropriate physical rehabilitation plans Relieve resid…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2NTA3ODEyMiIsInMiOiIxTVFETFNtbThSR0NkYjRVSXR5TkNRIn0.PlhFRHuhb_HheUgeMIa1JrYo0CWqWM1ZRSDSc_vuHmM,"['US', 'New York', 'New York City', 'Bronx', 'Pilgrim']","Pilgrim, Bronx",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Sigma Rehab,,
Adzuna::API::Response::Job,"Physical Therapy Assistant (PTA)-$5,000 Sign-On Bonus- Boro Park",https://www.adzuna.com/land/ad/5865078136?se=1MQDLSmm8RGCdb4UItyNCQ&utm_medium=api&utm_source=abfa41a4&v=89366FA128E76014796C7911FEDE4B88BFE2EE80,-73.99769,95199.85,40.632726,5865078136,2026-09-01T13:12:59Z,1,95199.85,"We are currently Offering a $5,000 Sign-On Bonus for this position. Sigma Health Rehab is excited to offer a Full-time Physical Therapy Assistant (PTA) position to join our team of skilled therapists in a Skilled Nursing Facility . PTA Requirements Include: Graduate of an accredited Physical Therapy Assistant Program Current New York State Physical Therapy Assistant (PTA) License Experience in a skilled nursing or geriatric care setting is preferred, but new graduates with relevant fieldwork ex…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMU1RRExTbW04UkdDZGI0VUl0eU5DUSIsImkiOiI1ODY1MDc4MTM2In0.x8aOYkzUgaJYPiz3hER58jXM7CxbNp8Shy4BhW_l0J4,"['US', 'New York', 'New York City', 'Brooklyn', 'Borough Park']","Borough Park, Brooklyn",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Sigma Rehab,,
Adzuna::API::Response::Job,Occupational Therapy Assistant (COTA),https://www.adzuna.com/land/ad/5865078116?se=1MQDLSmm8RGCdb4UItyNCQ&utm_medium=api&utm_source=abfa41a4&v=6022C18E5C05C4D51AB8FF22AB42C5556E8A0986,-73.906874,94744.73,40.88224,5865078116,2026-09-01T13:12:59Z,1,94744.73,"We are currently offering a $5,000 Sign-On Bonus for this position. Sigma Health Rehab is actively seeking a Full-time Occupational Therapy Assistant (OTA/COTA) to work in a Skilled Nursing Facility. COTA Requirements Include: Graduate of an accredited OTA Program Current New York State OTA License Experience in a skilled nursing or geriatric care setting is preferred, but new graduates with relevant experience Key Responsibilities Include: Select therapy activities that follow the plan of care…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2NTA3ODExNiIsInMiOiIxTVFETFNtbThSR0NkYjRVSXR5TkNRIn0.NOUuzT0nROEPS6oXbMnaW_KWVJ_oWPTO0SfYoRcRF2o,"['US', 'New York', 'New York City', 'Bronx', 'Kingsbridge and Riverdale']","Kingsbridge and Riverdale, Bronx",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Sigma Rehab,,
