redirect_url,description,latitude,salary_min,longitude,__CLASS__,salary_max,title,id,adref,created,salary_is_predicted,location.area,location.__CLASS__,location.display_name,category.label,category.__CLASS__,category.tag,company.__CLASS__,company.display_name,contract_time,contract_type
https://www.adzuna.com/details/5765759339?utm_medium=api&utm_source=abfa41a4,"Would you like to be part of a team that delivers the latest technology in the Energy Industry • Do you like working in collaborative teams and solving technical problems • Join Baker Hughes Drill Bit Team We are the leader in well construction and production, our innovative physical and digital solutions improve efficiency, production and maximize reservoir value. We provide cutting-edge tools and technologies for use in downhole drilling activities. Partner with the best As a Application Engi…",35.4678,132976.78,-97.5164,Adzuna::API::Response::Job,132976.78,Application Engineer,5765759339,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRUFUc1hhNXA4UkdlMDlJRXNhb2xqdyIsImkiOiI1NzY1NzU5MzM5In0.Hp3fm_2y7fsv8htRLFgiOoooQ0MROqt929Uj69qSEhs,2026-06-16T14:04:56Z,1,"['US', 'Oklahoma', 'Oklahoma County', 'Oklahoma City']",Adzuna::API::Response::Location,"Oklahoma City, Oklahoma County",Engineering Jobs,Adzuna::API::Response::Category,engineering-jobs,Adzuna::API::Response::Company,Baker Hughes,,
https://www.adzuna.com/details/5765759337?utm_medium=api&utm_source=abfa41a4,"Senior Software Development Engineer in Test (SDET) - Embedded Systems Are you passionate about designing and scaling automated test frameworks for embedded systems that bridge hardware and software • Do you thrive in debugging complex hardware-software issues and collaborating with cross-functional teams to ensure reliable, high-quality product delivery • Partnering with the best Baker Hughes is a global energy technology company serving customers in more than 120 countries. We design, manufac…",42.947011,214974.06,-76.429102,Adzuna::API::Response::Job,214974.06,"Senior Engineer, Embedded Software Testing and Qualification",5765759337,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2NTc1OTMzNyIsInMiOiJFQVRzWGE1cDhSR2UwOUlFc2FvbGp3In0.aN2vq13z6DKewXkE5tnWWiabn9dd_h6xDQyeXmxXrds,2026-06-16T14:04:56Z,1,"['US', 'New York', 'Onondaga County', 'Skaneateles']",Adzuna::API::Response::Location,"Skaneateles, Onondaga County",Engineering Jobs,Adzuna::API::Response::Category,engineering-jobs,Adzuna::API::Response::Company,Baker Hughes,full_time,
https://www.adzuna.com/details/5765759338?utm_medium=api&utm_source=abfa41a4,"Do you enjoy driving growth and building strategic relationships within the pharmaceutical and biotech industry • Are you passionate about combining technical expertise with commercial strategy to deliver impactful customer solutions • Join our Team! Baker Hughes is a global energy technology company operating in over 120 countries. Through our Continental Disc Corporation and Groth Corporation businesses, we deliver advanced pressure relief solutions that enhance safety, reliability, and perfo…",39.246114,153860.53,-94.419118,Adzuna::API::Response::Job,153860.53,Sales Manager - Pharmaceutical Market,5765759338,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRUFUc1hhNXA4UkdlMDlJRXNhb2xqdyIsImkiOiI1NzY1NzU5MzM4In0.DJnv09-VvASJr8bMRp3pjn96xsY4L2nvLy8eOMIXniQ,2026-06-16T14:04:56Z,1,"['US', 'Missouri', 'Clay County', 'Liberty']",Adzuna::API::Response::Location,"Liberty, Clay County",Sales Jobs,Adzuna::API::Response::Category,sales-jobs,Adzuna::API::Response::Company,Baker Hughes,,
https://www.adzuna.com/details/5765759334?utm_medium=api&utm_source=abfa41a4,"Arcadia Home Care & Staffing, part of the Addus Homecare family of companies, is a national provider of home care and staffing with over 40 years of experience and dedication to enhancing the quality of life. Apply today and learn more about our current opportunities Why work for Arcadia? Offering Daily Pay for select positions! Your schedule is based on YOUR availability! Full-time or Part-time hours! Weekly pay & direct deposit! Mileage Reimbursement! Premium Holiday Pay! Referral Bonuses- Se…",44.842169,52761.6,-85.29171,Adzuna::API::Response::Job,52761.6,Home Health Aide,5765759334,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2NTc1OTMzNCIsInMiOiJFQVRzWGE1cDhSR2UwOUlFc2FvbGp3In0.U4mcunn4hsMi4mXFdmSO9k0EiEnaig50eph768sZNt8,2026-06-16T14:04:47Z,1,"['US', 'Michigan', 'Kalkaska County', 'Rapid City']",Adzuna::API::Response::Location,"Rapid City, Kalkaska County",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Company,Arcadia Home Care and Staffing – an Addus family company,part_time,
https://www.adzuna.com/details/5765759330?utm_medium=api&utm_source=abfa41a4,"Arcadia Home Care & Staffing, part of the Addus Homecare family of companies, is a national provider of home care and staffing with over 40 years of experience and dedication to enhancing the quality of life. Apply today and learn more about our current opportunities Why work for Arcadia? Now offering Daily Pay for select positions! Your schedule is based on YOUR availability! Full-time or Part-time hours! Weekly pay & direct deposit! Mileage Reimbursement! Premium Holiday Pay! Referral Bonuses…",44.67067,59914.24,-84.679559,Adzuna::API::Response::Job,59914.24,Home Health Aide,5765759330,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRUFUc1hhNXA4UkdlMDlJRXNhb2xqdyIsImkiOiI1NzY1NzU5MzMwIn0.ASKYwfOGwj-NJbgnOQyLGpYLNCqPNwTLOo2BGmNWjEQ,2026-06-16T14:04:46Z,1,"['US', 'Michigan', 'Crawford County', 'Grayling']",Adzuna::API::Response::Location,"Grayling, Crawford County",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Company,Arcadia Home Care and Staffing – an Addus family company,part_time,
https://www.adzuna.com/details/5765759333?utm_medium=api&utm_source=abfa41a4,"Arcadia Home Care & Staffing, part of the Addus Homecare family of companies, is a national provider of home care and staffing with over 40 years of experience and dedication to enhancing the quality of life. Apply today and learn more about our current opportunities Why work for Arcadia? Now offering Daily Pay for select positions! Your schedule is based on YOUR availability! Full-time or Part-time hours! Weekly pay & direct deposit! Mileage Reimbursement! Premium Holiday Pay! Referral Bonuses…",45.403047,49323.84,-84.08701,Adzuna::API::Response::Job,49323.84,Home Health Aide,5765759333,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2NTc1OTMzMyIsInMiOiJFQVRzWGE1cDhSR2UwOUlFc2FvbGp3In0.axHdEWd4EYzVoWea1XaLyySf6vusVA0rHfvU9OaaUyI,2026-06-16T14:04:46Z,1,"['US', 'Michigan', 'Presque Isle County', 'Millersburg']",Adzuna::API::Response::Location,"Millersburg, Presque Isle County",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Company,Arcadia Home Care and Staffing – an Addus family company,part_time,
https://www.adzuna.com/details/5765759302?utm_medium=api&utm_source=abfa41a4,"Hourly rate ranges from $20.50 - $20.75 per hour and is dependent upon qualifications and experience. Benefits include: Arizona Paid Sick Time, Year End Bonus, Tear Down Premium Pay Program, Retention Pay Program. All Bonus and Pay Programs subject to qualifications. The Store Manager oversees and is accountable for the total operation of a store ensuring maximum sales and profitability by establishing and maintaining Guest Services and, controlling expenses. The Store Manager is responsible fo…",33.511525,44370.44,-112.055538,Adzuna::API::Response::Job,44370.44,Store Manager - Spirit,5765759302,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRUFUc1hhNXA4UkdlMDlJRXNhb2xqdyIsImkiOiI1NzY1NzU5MzAyIn0.cwqNe92OpxyXQ48GNuxM1-fuRsSxdWzWH_YQ53813WQ,2026-06-16T14:02:29Z,1,"['US', 'Arizona', 'Maricopa County', 'Phoenix']",Adzuna::API::Response::Location,"Phoenix, Maricopa County",Retail Jobs,Adzuna::API::Response::Category,retail-jobs,Adzuna::API::Response::Company,Spencer Gifts - Spirit Halloween,,
https://www.adzuna.com/land/ad/5765759290?se=EATsXa5p8RGe09IEsaoljw&utm_medium=api&utm_source=abfa41a4&v=F878E2480719C030131BFE92AD2BD7ECC93772F0,"Location: On site at location listed in job posting. SUMMARY Provide quality, accurate and timely customer service involving daily processing of financial transactions in a retail banking environment. Often serving as the first point of contact to the client, may have responsibility for recommending bank products or referring clients to other areas of the Bank. Develop and retain long-term and profitable client relationships to maximize revenue growth. Responsible for maintaining high customer …",30.165601,43325.66,-93.248497,Adzuna::API::Response::Job,43325.66,Teller,5765759290,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2NTc1OTI5MCIsInMiOiJFQVRzWGE1cDhSR2UwOUlFc2FvbGp3In0.2NB7fVwFoqLLvRNnxD6vnHyOBqariKc42OWHdWQOBxM,2026-06-16T14:02:26Z,1,"['US', 'Louisiana', 'Calcasieu Parish', 'Lake Charles']",Adzuna::API::Response::Location,"Lake Charles, Calcasieu Parish",Accounting & Finance Jobs,Adzuna::API::Response::Category,accounting-finance-jobs,Adzuna::API::Response::Company,First Horizon Bank,,
https://www.adzuna.com/details/5765759282?utm_medium=api&utm_source=abfa41a4,"Hourly rate ranges from $19.50 - $20.50 per hour and is dependent upon qualifications and experience. Benefits include: Year End Bonus, Tear Down Premium Pay Program, Retention Pay Program. All Bonus and Pay Programs subject to qualifications. The Store Manager oversees and is accountable for the total operation of a store ensuring maximum sales and profitability by establishing and maintaining Guest Services and, controlling expenses. The Store Manager is responsible for shrink, merchandising,…",42.072633,44345.99,-80.063688,Adzuna::API::Response::Job,44345.99,Store Manager - Spirit,5765759282,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRUFUc1hhNXA4UkdlMDlJRXNhb2xqdyIsImkiOiI1NzY1NzU5MjgyIn0.4EUTA9z9cydW8S41SryiUsHQjTFuE0Ke-qCuqxAtjMM,2026-06-16T14:02:22Z,1,"['US', 'Pennsylvania', 'Perry County', 'Perry Village']",Adzuna::API::Response::Location,"Perry Village, Perry County",Retail Jobs,Adzuna::API::Response::Category,retail-jobs,Adzuna::API::Response::Company,Spencer Gifts - Spirit Halloween,,
https://www.adzuna.com/details/5765759260?utm_medium=api&utm_source=abfa41a4,"Hourly rate ranges from $23.42 - $23.67 per hour and is dependent upon qualifications and experience. Benefits include: California Paid Sick Time, Year End Bonus, Tear Down Premium Pay Program, Retention Pay Program. All Bonus and Pay Programs subject to qualifications. The Store Manager oversees and is accountable for the total operation of a store ensuring maximum sales and profitability by establishing and maintaining Guest Services and, controlling expenses. The Store Manager is responsible…",34.155131,39001.29,-118.602117,Adzuna::API::Response::Job,39001.29,Store Manager - Spirit,5765759260,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2NTc1OTI2MCIsInMiOiJFQVRzWGE1cDhSR2UwOUlFc2FvbGp3In0.n3suHDDm0ATBmP5IMLYPPtaEJdnPLOezFhKKvX8mEgQ,2026-06-16T14:02:18Z,1,"['US', 'California', 'Los Angeles County', 'Woodland Hills']",Adzuna::API::Response::Location,"Woodland Hills, Los Angeles County",Retail Jobs,Adzuna::API::Response::Category,retail-jobs,Adzuna::API::Response::Company,Spencer Gifts - Spirit Halloween,,
