id,salary_min,salary_max,created,longitude,salary_is_predicted,title,description,redirect_url,__CLASS__,adref,latitude,location.display_name,location.area,location.__CLASS__,category.tag,category.label,category.__CLASS__,company.__CLASS__,company.display_name,contract_time,contract_type
5738868158,0.0,101764.0,2026-05-23T10:38:13Z,-89.41651,0,"Travel Nurse RN - Med Surg - $1,957 per week","GetMed Staffing, Inc. is seeking a travel nurse RN Med Surg for a travel nursing job in Madison, Wisconsin. Job Description & Requirements Specialty: Med Surg Discipline: RN Start Date: 06/22/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel GetMed Staffing is searching for a strong MedSurg RN to assist our traveler-friendly client. A minimum of 1-2 years of experience is required. Traveling with GetMed Staffing offers the unique opportunity to gain diver…",https://www.adzuna.com/land/ad/5738868158?se=ZEKsnrVW8RGWQvEe2bTbLw&utm_medium=api&utm_source=abfa41a4&v=039844A0A4420C3DA92F37D6C5840AEC29B194D2,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczODg2ODE1OCIsInMiOiJaRUtzbnJWVzhSR1dRdkVlMmJUYkx3In0.gfYCnzL0yKPWNESQLjG_slBKTeV0Pjcyzo8XFmFEi44,43.0358,"Fitchburg, Dane County","['US', 'Wisconsin', 'Dane County', 'Fitchburg']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,"GetMed Staffing, Inc.",,
5738868105,19912.69,19912.69,2026-05-23T10:37:30Z,-102.354195,1,RN - Med-Surg/Tele,"Join the Medical Talent Team! Join our dynamic team and embark on a rewarding journey with us! We are Joint Commission certified and known for our commitment to excellence and ethical practices in the industry. Offering some of the most competitive pay packages available, we prioritize the well-being and flexibility of our travelers! As a Traveler with Medical Talent, you`ll have the opportunity to work in diverse settings, expand your skill set, and make a difference in the lives of patients a…",https://www.adzuna.com/details/5738868105?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkVLc25yVlc4UkdXUXZFZTJiVGJMdyIsImkiOiI1NzM4ODY4MTA1In0.A2KL-kV-fBxvp-woxVi3QUgRKSL2O7Yn6qXZLlm25S4,31.854991,"Odessa, Ector County","['US', 'Texas', 'Ector County', 'Odessa']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Medical Center Health System,,
5738868102,31705.23,31705.23,2026-05-23T10:37:28Z,-90.16609,1,Member Services Representative,"Description THE PLANET FITNESS MISSION We at Planet Fitness are here to provide a unique environment in which anyone, and we mean anyone, can be comfortable in a diverse, judgment free zone where a lasting, active lifestyle is built. Our product is a tool. A means to an end. Not a brand name or a mold maker, but a tool that can be used by anyone. In the end, it’s all about you. As we evolve and educate ourselves, we will seek to perfect this safe, energetic environment, where everyone feels acc…",https://www.adzuna.com/details/5738868102?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkVLc25yVlc4UkdXUXZFZTJiVGJMdyIsImkiOiI1NzM4ODY4MTAyIn0._UFhB-HldBmnopRmjNGuaniJXpzlaqDfBc8fB82YpIw,29.984451,"Metairie Terrace, Metairie","['US', 'Louisiana', 'Jefferson Parish', 'Metairie', 'Metairie Terrace']",Adzuna::API::Response::Location,hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Planet Fitness-United Fitness Partners,,
5738868081,44366.0,57782.0,2026-05-23T10:37:03Z,-93.090184,0,Nursing Assistant Float Pool,"Location Address: 333 Smith Ave N&xa;Saint Paul, MN 55102-2344&xa; Date Posted: April 21, 2026 Department: 34003820 Patient Care Floats Shift: Day/Evening (United States of America) Shift Length: 8 hour shift Hours Per Week: 32 Union Contract: SEIU-4-United Service Workers-SUH Weekend Rotation: Every Other Job Summary: Allina Health is a not-for-profit health system that cares for individuals, families and communities throughout Minnesota and western Wisconsin. If you value putting patients fir…",https://www.adzuna.com/details/5738868081?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkVLc25yVlc4UkdXUXZFZTJiVGJMdyIsImkiOiI1NzM4ODY4MDgxIn0.2n-wJu1SGQK8FYxnhLBqJFkfTQJl45el_Cev1-qvxZs,44.951319,"Saint Paul, Ramsey County","['US', 'Minnesota', 'Ramsey County', 'Saint Paul']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Allina Health System,part_time,
5738867893,0.0,112372.0,2026-05-23T10:35:58Z,-89.56409,0,"Travel Radiology Technician - $2,161 per week","Advantis Medical is seeking a travel Radiology Technician for a travel job in Peoria, Illinois. Job Description & Requirements Specialty: Radiology Technician Discipline: Allied Health Professional Duration: 13 weeks 32 hours per week Shift: 8 hours, days Employment Type: Travel Advantis Medical, the 1 rated travel nurse agency, is currently seeking an experienced Rad Tech clinician for an exciting new travel job in Peoria, IL 61637. This rewarding travel job operates on 4 shifts per week, 8 ho…",https://www.adzuna.com/land/ad/5738867893?se=ZEKsnrVW8RGWQvEe2bTbLw&utm_medium=api&utm_source=abfa41a4&v=971722B4D68065780252B537438816D86AD3A7C2,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkVLc25yVlc4UkdXUXZFZTJiVGJMdyIsImkiOiI1NzM4ODY3ODkzIn0.w-zBd-H0QElymHy_lqbkD-ndAAZ7LgbUJBidVEsXoR0,40.70923,"Vets Row, Peoria County","['US', 'Illinois', 'Peoria County', 'Vets Row']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Advantis Medical,,
5738867853,0.0,103272.0,2026-05-23T10:35:57Z,-94.221751,0,"Travel Physical Therapist - Paying up to $1,986/week","Vivian is looking for Travel Physical Therapist Therapys in Bentonville, Arkansas paying up to $1,986/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover …",https://www.adzuna.com/land/ad/5738867853?se=ZEKsnrVW8RGWQvEe2bTbLw&utm_medium=api&utm_source=abfa41a4&v=76DEC2D85BE2820D0F2266BAA340F828BD708A22,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkVLc25yVlc4UkdXUXZFZTJiVGJMdyIsImkiOiI1NzM4ODY3ODUzIn0.sSZwYV41plCi1hTrpfYIzhIoaGeKKCkwKoizJ8aGIaQ,36.3645,"Bentonville, Benton County","['US', 'Arkansas', 'Benton County', 'Bentonville']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Vivian Health,,
5738867829,0.0,103480.0,2026-05-23T10:35:56Z,-90.20634,0,"Travel PACU Registered Nurse - $1,990 per week","American Traveler is seeking a travel nurse RN PACU - Post Anesthesia Care for a travel nursing job in New Orleans, Louisiana. Job Description & Requirements Specialty: PACU - Post Anesthesia Care Discipline: RN Start Date: 06/15/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Assignment Overview Shift: Days, 3x12hrs Hours: 36 hrs/wk Start Date: Jun 15, 2026 Length: 13 weeks Openings: 1 Description American Traveler is seeking an experienced RN for a PACU…",https://www.adzuna.com/land/ad/5738867829?se=ZEKsnrVW8RGWQvEe2bTbLw&utm_medium=api&utm_source=abfa41a4&v=C91E5AF2155846BF0B6DF132D89C3044A94889C3,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczODg2NzgyOSIsInMiOiJaRUtzbnJWVzhSR1dRdkVlMmJUYkx3In0.lB45wp3cleNXpYLNCXrQ8zHozTXIVPuNc8DivhmjHEw,29.95056,"Harahan, Jefferson Parish","['US', 'Louisiana', 'Jefferson Parish', 'Harahan']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,American Traveler,,
5738867848,0.0,122200.0,2026-05-23T10:35:56Z,-118.343021,0,"Travel Rehabilitation Therapist - Paying up to $2,350/week","Vivian is looking for Travel Rehabilitation Therapist Therapys in Walla Walla, Washington paying up to $2,350/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and d…",https://www.adzuna.com/land/ad/5738867848?se=ZEKsnrVW8RGWQvEe2bTbLw&utm_medium=api&utm_source=abfa41a4&v=A6226B49C92A2D97D72A1E35F9517BA92555D550,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkVLc25yVlc4UkdXUXZFZTJiVGJMdyIsImkiOiI1NzM4ODY3ODQ4In0.4Dpysm4xomqi0E28C0V85XxQQtDsaqW0WDfGe1BRKn4,46.064581,"Walla Walla, Walla Walla County","['US', 'Washington', 'Walla Walla County', 'Walla Walla']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Vivian Health,,
5738867092,41600.0,62400.0,2026-05-23T10:35:13Z,-73.470367,0,Logistics Coordinator,"LOGISTICS COORDINATOR JOB DESCRIPTION At Total Fire Protection, our MISSION is simple, “Embracing Relationships, while keeping you safe, and delivering First Class Service.” You won’t just be a team member at Total Fire Protection, but a valuable contributor. Our diverse team members support one another as we work towards our common goal of bringing Fire and Life Safety to our customers nationwide. Our Company culture has been built on the foundation of our CORE VALUES that define “Who We Are” …",https://www.adzuna.com/details/5738867092?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczODg2NzA5MiIsInMiOiJaRUtzbnJWVzhSR1dRdkVlMmJUYkx3In0.CpNaZ9e2nMxYscWTlVKNEslicRCNKPOGl3n33J7l1R8,40.814795,"Woodbury, Nassau County","['US', 'New York', 'Nassau County', 'Woodbury']",Adzuna::API::Response::Location,customer-services-jobs,Customer Services Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Tfp1 Inc Dba Total Fire Protection Inc,full_time,
5738867032,38188.0,39353.0,2026-05-23T10:34:11Z,-120.380194,0,Taquero PT,"PAYSCALE: $18.36 - $18.92 Join the Vallarta Supermarkets Family! At Vallarta Supermarkets, we�re more than just a grocery store, we�re a vibrant part of the communities we serve. We�re seeking friendly, service-oriented individuals who take pride in delivering extraordinary customer experiences and thrive in a fast-paced, festive environment. If you�re passionate about fresh, quality baked goods and love making people smile, we�d love to meet you! About the Role The Taquero prepares food orders…",https://www.adzuna.com/details/5738867032?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczODg2NzAzMiIsInMiOiJaRUtzbnJWVzhSR1dRdkVlMmJUYkx3In0.xxzqPJhAzA2pJwWuLmfCs0gT8JzK5wgp6_6dM47fRvE,37.375415,"Merced, Merced County","['US', 'California', 'Merced County', 'Merced']",Adzuna::API::Response::Location,hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Vallarta Supermarkets,part_time,
