latitude,salary_max,id,description,__CLASS__,created,title,redirect_url,longitude,salary_is_predicted,adref,salary_min,category.tag,category.label,category.__CLASS__,company.display_name,company.__CLASS__,location.display_name,location.area,location.__CLASS__,contract_time,contract_type
42.661823,153438.53,5798896766,"SOC Base Software Developer - Cyber Security Solid experience in C++ for embedded systems hands-on work in Yocto/BitBake, including recipe development and securing Yocto-based distributions (e.g. configuring access control mechanisms such as SELinux, MAC/DAC). A good understanding of cryptography is also required, including experience with RSA, ECDSA/ECC, as well as X.509 certificates and PKI. familiarity with automotive security topics such as Secure Boot, SOME/IP, MACsec and intrusion detecti…",Adzuna::API::Response::Job,2026-07-13T11:34:04Z,Embedded software Engineer,https://www.adzuna.com/land/ad/5798896766?se=QIIuAtJ-8RGgX8pGgfOrZg&utm_medium=api&utm_source=abfa41a4&v=0582CE495A19A75ECCD357A2CA8D8BC1A864AF6B,-83.237959,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5ODg5Njc2NiIsInMiOiJRSUl1QXRKLThSR2dYOHBHZ2ZPclpnIn0.lenLMDHef21sg9vmMmvuhdQOZ854NXbPd8MT8FVwx4Q,153438.53,it-jobs,IT Jobs,Adzuna::API::Response::Category,Tachyon Technologies,Adzuna::API::Response::Company,"Auburn Hills, Oakland County","['US', 'Michigan', 'Oakland County', 'Auburn Hills']",Adzuna::API::Response::Location,,
,168463.81,5798896767,"Ten years of experience working as a systems analyst in technology with investments, risk, compliance, middle office, operations, accounting at a buy side institutional firm. Experience with JavaScript frameworks and Microsoft technologies, specifically leveraging .NET and SQL server for database development. Ten  years of experience in enterprise architecture, system integration and cloud technologies Experience working with Jira or Target Process software development management software. Five…",Adzuna::API::Response::Job,2026-07-13T11:34:04Z,Sr. Simcorp Dimension SME,https://www.adzuna.com/land/ad/5798896767?se=QIIuAtJ-8RGgX8pGgfOrZg&utm_medium=api&utm_source=abfa41a4&v=5BC1560ED26869DF8DE61DA39DC2CCBDA5866FF0,,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5ODg5Njc2NyIsInMiOiJRSUl1QXRKLThSR2dYOHBHZ2ZPclpnIn0._bJ-8eWN1YwHglemG78vNn4dHvaay_ynOIxk3_saLL0,168463.81,it-jobs,IT Jobs,Adzuna::API::Response::Category,Boston Associate Software Systems,Adzuna::API::Response::Company,US,['US'],Adzuna::API::Response::Location,,
36.172489,88573.09,5798896763,"Role: Image Annotation Support - Drone Operations Duration: 5 Months (Contract) Location: Nashville, TN (On-Site) Key Skills: Image Annotation; Image Labeling; Visual Observation (Drone Visual Observer), Airport Pavement Inspection Seeking a contract worker to support airport pavement data, drone operations, and general office tasks. The main duty of this position will be tracing pavement cracks from airfield pavement images. This work will help the Division develop a machine-learning tool to b…",Adzuna::API::Response::Job,2026-07-13T11:34:03Z,Image Annotation Support - Drone Operations,https://www.adzuna.com/land/ad/5798896763?se=QIIuAtJ-8RGgX8pGgfOrZg&utm_medium=api&utm_source=abfa41a4&v=8F817EA020D9AD61FB6D7C030B048D840FFBAD8C,-86.780596,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5ODg5Njc2MyIsInMiOiJRSUl1QXRKLThSR2dYOHBHZ2ZPclpnIn0.kOLJKYYL40ZkA42SPC-O2sZHNAacgmCGwozVwTX1IgE,88573.09,it-jobs,IT Jobs,Adzuna::API::Response::Category,"Mavensoft Technologies, LLC",Adzuna::API::Response::Company,"Nashville, Davidson County","['US', 'Tennessee', 'Davidson County', 'Nashville']",Adzuna::API::Response::Location,,
,86754.38,5798896762,"Title : Workday Time Tracking & Absence Specialist Location : Remote Duration : 4months  ( Will go up to 8-12 months ) Interview: Video Client is implementing Workday Time Tracking and Absence across 20 Countries, and they are looking for someone with Workday Absence OR Time Tracking module implementation, configuration and optimization. This project is replacing UKG as their current product. Need to have active certifications and strong communication skills. Skills/ Qualifications: Time tracki…",Adzuna::API::Response::Job,2026-07-13T11:34:03Z,Workday Time Tracking & Absence Specialist,https://www.adzuna.com/land/ad/5798896762?se=QIIuAtJ-8RGgX8pGgfOrZg&utm_medium=api&utm_source=abfa41a4&v=7A2AF2DA9E39D16C9FB9AA1BBC055B40E3B19728,,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5ODg5Njc2MiIsInMiOiJRSUl1QXRKLThSR2dYOHBHZ2ZPclpnIn0.INUhfATILs2LNLniRVabzvFe5bNKtcm_fGFFLGRMwGY,86754.38,it-jobs,IT Jobs,Adzuna::API::Response::Category,Spear Staffing,Adzuna::API::Response::Company,US,['US'],Adzuna::API::Response::Location,,
26.879782,69462.38,5798896764,"Self-motivated professional capable of independently driving projects from concept to production with minimal supervision. Strong Python and SQL skills required, including experience with complex queries, multi-table joins, and large-scale datasets across multiple systems. Experience with software development best practices, source control, CI/CD, GitHub Actions, testing, and managing development and production environments preferred. Knowledge of cloud-based data platforms and modern analytics…",Adzuna::API::Response::Job,2026-07-13T11:34:03Z,IT Business Systems Analyst - locals only,https://www.adzuna.com/land/ad/5798896764?se=QIIuAtJ-8RGgX8pGgfOrZg&utm_medium=api&utm_source=abfa41a4&v=D4377EF1DD11E8BE294610769E17B6F102152687,-80.053374,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUUlJdUF0Si04UkdnWDhwR2dmT3JaZyIsImkiOiI1Nzk4ODk2NzY0In0.3HXHaWMnh1ZmaHI5wqTqcbcFfi2RJ5ZjirJU2Og924c,69462.38,it-jobs,IT Jobs,Adzuna::API::Response::Category,Naztec International Group LLC,Adzuna::API::Response::Company,"Juno Beach, Palm Beach County","['US', 'Florida', 'Palm Beach County', 'Juno Beach']",Adzuna::API::Response::Location,,
40.790013,114007.45,5798896761,"We are seeking an experienced Workday HCM Functional Consultant for a 12-month contract to support and enhance our Workday platform across Core HR, Recruiting, Compensation, Benefits, Absence, and Time Tracking. This role involves hands-on configuration, troubleshooting, and partnering with HR stakeholders to deliver high-quality solutions. Key Responsibilities Configure and optimize Talent Optimization, Learning, Core HCM, Recruiting, Compensation, Benefits, Absence, and Time Tracking modules …",Adzuna::API::Response::Job,2026-07-13T11:34:03Z,Workday HCM Functional Consultant,https://www.adzuna.com/land/ad/5798896761?se=QIIuAtJ-8RGgX8pGgfOrZg&utm_medium=api&utm_source=abfa41a4&v=09EA13210DD93F1AB7BD64231E2D084A8769FDE1,-74.062078,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUUlJdUF0Si04UkdnWDhwR2dmT3JaZyIsImkiOiI1Nzk4ODk2NzYxIn0.n7U6b-ukztzBhtQKUJkvNfoE-ttQ-tLMt8GGSekOWZI,114007.45,hr-jobs,HR & Recruitment Jobs,Adzuna::API::Response::Category,New York Technology Partners,Adzuna::API::Response::Company,"Secaucus, Hudson County","['US', 'New Jersey', 'Hudson County', 'Secaucus']",Adzuna::API::Response::Location,,
,170136.34,5798896758,"Health cloud developers provide declarative, programmatic development tools to deliver configuration and customization requirements including, but not limited to: Apex Triggers, Classes, LWC components along with Flows and OmniStudio suite ( Datarapters, Integration Procedures, Omni cards) REST, SOAP based Integrations, custom apex coding and third party software integrations. Responsibilities for this position include: •Develops Health Cloud software solutions using Apex classes, triggers, Flo…",Adzuna::API::Response::Job,2026-07-13T11:34:02Z,Senior Salesforce Health Cloud Developer,https://www.adzuna.com/land/ad/5798896758?se=QIIuAtJ-8RGgX8pGgfOrZg&utm_medium=api&utm_source=abfa41a4&v=9FC3351C9A4DBDE1F81254A04C42B39CA6B2F895,,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUUlJdUF0Si04UkdnWDhwR2dmT3JaZyIsImkiOiI1Nzk4ODk2NzU4In0.DP8zbww6XLyVQj0PTMGM8cj2S2SJkPCURQZmjb-6Y5s,170136.34,it-jobs,IT Jobs,Adzuna::API::Response::Category,Shrive Technologies LLC,Adzuna::API::Response::Company,US,['US'],Adzuna::API::Response::Location,,
44.9462,142772.28,5798896713,"Title: Northstar Sr App Lead Location: Minneapolis, MN Onsite Contract Job Description: Key Responsibilities: Analysis & Design Gather and translate business requirements into technical specifications Lead design phases, resolve technical issues, and ensure solution alignment Perform SQL-based data, impact, and ad-hoc analysis Identify risks and recommend mitigation strategies Support database design and optimization across systems Implementation & Support Act as liaison between business, IT, a…",Adzuna::API::Response::Job,2026-07-13T11:34:00Z,Northstar Sr App Lead,https://www.adzuna.com/land/ad/5798896713?se=QIIuAtJ-8RGgX8pGgfOrZg&utm_medium=api&utm_source=abfa41a4&v=DDBE9EB7CF5499D37E09EDA912006CA5525D6D4B,-93.2,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5ODg5NjcxMyIsInMiOiJRSUl1QXRKLThSR2dYOHBHZ2ZPclpnIn0.XG9-KZ4WteXUpB5t2P3mCm-een2FRHtpTmHJDvmf42k,142772.28,it-jobs,IT Jobs,Adzuna::API::Response::Category,"Lorven Technologies, Inc.",Adzuna::API::Response::Company,"Lauderdale, Ramsey County","['US', 'Minnesota', 'Ramsey County', 'Lauderdale']",Adzuna::API::Response::Location,,
40.75284,158434.7,5798896702,"Exp. Required: 12 Years of exp Description : Agentic AI architecture; spec-driven development; agent harness design and evaluation; multi-agent orchestration patterns; Retrieval-Augmented Reasoning; semantic enrichment and knowledge graph integration; prompt engineering; identity-as-code and policy-as-code; design-time and runtime governance; cloud platforms (AWS and Google Cloud Platform); enterprise security architecture patterns. End-to-end agentic AI architecture, design-to-code conversion,…",Adzuna::API::Response::Job,2026-07-13T11:33:59Z,Engagement Architect (Agentic AI / RAG),https://www.adzuna.com/land/ad/5798896702?se=QIIuAtJ-8RGgX8pGgfOrZg&utm_medium=api&utm_source=abfa41a4&v=EF984F89B6B5497B622F7EEE59255930077D812A,-73.97528,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUUlJdUF0Si04UkdnWDhwR2dmT3JaZyIsImkiOiI1Nzk4ODk2NzAyIn0.WF3vWkLtrNnp-K4pmlQ-ocYirM5_RWV4mMmy61kvwew,158434.7,it-jobs,IT Jobs,Adzuna::API::Response::Category,W3Global,Adzuna::API::Response::Company,"Grand Central, Manhattan","['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']",Adzuna::API::Response::Location,,
39.165778,133371.0,5798896577,"Hello, Zenosys is looking PeopleSoft/Workday Senior Business Analyst client Dover, DE If you are available and interested in the below opportunity, please send me updated resume. Thanks Job Title PeopleSoft/Workday Senior Business Analyst Location- Dover, DE Hybrid) Duration 12 Months Contracts Highly Chance to Extend If you are interested, please provide the following details along with the updated resume to speed up the interview process. Full Legal Name as mentioned in Drivers' license: Full…",Adzuna::API::Response::Job,2026-07-13T11:33:54Z,PeopleSoft/Workday Senior Business Analyst Must be Local,https://www.adzuna.com/land/ad/5798896577?se=QIIuAtJ-8RGgX8pGgfOrZg&utm_medium=api&utm_source=abfa41a4&v=524F20C834AC64147BCA315ACBC23F17EC5138EB,-75.566083,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5ODg5NjU3NyIsInMiOiJRSUl1QXRKLThSR2dYOHBHZ2ZPclpnIn0.yyRkMtpQnovrjGAx27LDQv3iOzIrNkHZZEPyCGFC3eg,133371.0,it-jobs,IT Jobs,Adzuna::API::Response::Category,Zenosys,Adzuna::API::Response::Company,"Wyoming, Kent County","['US', 'Delaware', 'Kent County', 'Wyoming']",Adzuna::API::Response::Location,,
