latitude,description,created,contract_type,salary_is_predicted,__CLASS__,salary_max,longitude,adref,id,contract_time,title,redirect_url,salary_min,location.area,location.__CLASS__,location.display_name,category.tag,category.__CLASS__,category.label,company.__CLASS__,company.display_name
35.915401,"Electrician Technician Maintenance Spruce Pine, NC Onsite, Permanent/Direct Hire, Full Benefits Relocation Assistance Available The Electrician Technician Maintenance is responsible for the installation, troubleshooting, and repair of electrical and electronic components . You will play a vital role in ensuring that all electrical systems—from heavy industrial 480V power distribution to sensitive PLC controls—operate at peak efficiency to minimize downtime. Key Responsibilities Troubleshooting …",2026-04-26T09:56:57Z,permanent,0,Adzuna::API::Response::Job,68640.0,-82.064561,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNHZLc1EzbEI4Ukc2MHBfZlVTZFlsQSIsImkiOiI1NzExMDY0NTkzIn0.04-xxExnbm5FP-i8jNvvu0oVIxln5oiYAfi-zfLZFWk,5711064593,full_time,Electrician Technician Maintenance,https://www.adzuna.com/details/5711064593?utm_medium=api&utm_source=abfa41a4,62400.0,"['US', 'North Carolina', 'Mitchell County', 'Spruce Pine']",Adzuna::API::Response::Location,"Spruce Pine, Mitchell County",engineering-jobs,Adzuna::API::Response::Category,Engineering Jobs,Adzuna::API::Response::Company,Nationwide Technical & Executive Search
33.732052,"CDL-A Drivers Villa Rica, GA - PART-TIME/CASUAL FirstFleet Villa Rica, GA has local operation, dedicated transport of bakery goods within a 250-mile radius. Home Daily . 20  year customer Flowers Baking. Average Daily part-time $250-300, start time 7AM-12PM, common workdays Tuesday, Saturday and Sunday. Call/Text/Pulse Msg @ 629-295-5475 Please submit a complete application @ FirstFleetinc.com or application link: APPLICATION LINK: https://bit.ly/2Z2MFec PAY Stop Pay Detention Pay after 1 hour …",2026-04-26T09:40:56Z,,1,Adzuna::API::Response::Job,76886.59,-84.919108,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNHZLc1EzbEI4Ukc2MHBfZlVTZFlsQSIsImkiOiI1NzExMDY0NTUzIn0.Tlg9P14cXv6mBmyqvRl_IbjSN_k-x3f7EO1UilGgDwM,5711064553,,CDL-A Local Truck Driver PART-TIME,https://www.adzuna.com/land/ad/5711064553?se=4vKsQ3lB8RG60p_fUSdYlA&utm_medium=api&utm_source=abfa41a4&v=8257C62817C12E5B3C75E1A4BD1FA06B0929F442,76886.59,"['US', 'Georgia', 'Carroll County', 'Villa Rica']",Adzuna::API::Response::Location,"Villa Rica, Carroll County",part-time-jobs,Adzuna::API::Response::Category,Part time Jobs,Adzuna::API::Response::Company,FirstFleet Inc
41.064475,"CDL CLASS A TRUCK DRIVER - LOCAL | HOME DAILY | NO-TOUCH FREIGHT FirstFleet: Fort Wayne, IN is seeking reliable CDL Class A drivers for local routes hauling corrugated paper products. This is a local position with daily home time and 100% no-touch freight. PAY $1200 Weekly Minimum SHIFT / JOB DETAILS 1st Shift (Monday - Friday) Home Daily Drop and Hook No Touch Freight Complete an application at www.firstfleetinc.com BENEFITS Medical, Dental, Vision and Hearing BCBS starting at $15.00 a week wi…",2026-04-26T09:40:56Z,,0,Adzuna::API::Response::Job,62400.0,-85.173858,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMTA2NDU0NiIsInMiOiI0dktzUTNsQjhSRzYwcF9mVVNkWWxBIn0.LNM34DdUKlrAVonHzpKrp3jFnt2qO0VmWexWtaIMsTo,5711064546,,CDL A Local Truck Driver - Home Daily,https://www.adzuna.com/land/ad/5711064546?se=4vKsQ3lB8RG60p_fUSdYlA&utm_medium=api&utm_source=abfa41a4&v=95D17595A409DBAFEC57C68E6FCAC9D8821CE409,62400.0,"['US', 'Indiana', 'Allen County', 'Fort Wayne']",Adzuna::API::Response::Location,"Fort Wayne, Allen County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,FirstFleet Inc
36.278882,"CDL-A PROFESSIONAL TRUCK DRIVER FirstFleet Inc. Lebanon has an opening Regional CDL Driver. Very Demanding but highly rewarding with great pay and benefits. Pay: Starts at .56 cents per mile. Monday through Friday, could work up to 14 hours a day but most drivers average 9-10 hours a day. Occasional switching in Yard 22.50/hour  overtime. Excellent Benefits Quarterly Safety & Fuel Bonus program Paid Weekly - direct deposit JOB OTR Driving Occasionally filling in for Yard Switcher BENEFITS Medic…",2026-04-26T09:40:56Z,,1,Adzuna::API::Response::Job,93842.24,-86.27368,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMTA2NDU1MSIsInMiOiI0dktzUTNsQjhSRzYwcF9mVVNkWWxBIn0.n0HYLpVOjNaX6aeLcm0X8wbXd1mwNO_N1FWebzEv9Ak,5711064551,,CDL A Regional Driver,https://www.adzuna.com/land/ad/5711064551?se=4vKsQ3lB8RG60p_fUSdYlA&utm_medium=api&utm_source=abfa41a4&v=46D4FD7FE08A77E9CF23C607C31B4C739C13F926,93842.24,"['US', 'Tennessee', 'Wilson County', 'Lebanon']",Adzuna::API::Response::Location,"Lebanon, Wilson County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,FirstFleet Inc
34.759532,"JOB DESCRIPTION CDL A LOCAL drivers needed FirstFleet Dalton GA operation delivers corrugated sheets to NC, SC, GA, TN, and AL. No touch freight. LIMITED WAIT TIME. Looking for: HOME DAILY Drivers working Monday- Friday will be assigned a Day Cab. JOB $230 / min per day conditional guaranteed pay Local Operation Home Daily Drop & Hook at most locations Limited wait time Late model Volvo, International, and Pete's For immediate consideration contact Melissa at 615-590-5475 FirstFleet Careers (fi…",2026-04-26T09:40:56Z,,1,Adzuna::API::Response::Job,77753.59,-85.005494,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMTA2NDU1NiIsInMiOiI0dktzUTNsQjhSRzYwcF9mVVNkWWxBIn0.5GeimAmem9Emvl6Jbd4FkQSMZ5nGkcWhQlKQnq-sOQA,5711064556,,CDL A Local Truck Driver Home Everyday,https://www.adzuna.com/land/ad/5711064556?se=4vKsQ3lB8RG60p_fUSdYlA&utm_medium=api&utm_source=abfa41a4&v=B609A04974AD1AA150031F71256C0667AFF6D047,77753.59,"['US', 'Georgia', 'Whitfield County', 'Dalton']",Adzuna::API::Response::Location,"Dalton, Whitfield County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,FirstFleet Inc
38.840281,"CDL A Relay Driver - Home Daily. FirstFleet is a dedicated operation that delivers loads of Essential Palletized Grocery Loads. Looking for Drivers in Salina-Salina Based PAY $1300 Weekly Average .50cpm Pick up a 6th day and earn a $100 bonus Quarterly Safety & Fuel Bonus program JOB Home Daily EARLY AM Dispatch Times (00:00-04:00) Store Deliveries (Topeka, Lawrence, Omaha) Late Model Equipment Call/Text Sheri 319-465-9135 for Immediate Consideration. BENEFITS Medical, Dental, Vision and Hearin…",2026-04-26T09:40:56Z,,0,Adzuna::API::Response::Job,67600.0,-97.611424,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMTA2NDU1MiIsInMiOiI0dktzUTNsQjhSRzYwcF9mVVNkWWxBIn0.VCAiNZO2Tqx0LL_rJ1Lq5tS_FV9j_QbM9PZeGG29dkI,5711064552,,CDL A Truck Driver - $1300/week,https://www.adzuna.com/land/ad/5711064552?se=4vKsQ3lB8RG60p_fUSdYlA&utm_medium=api&utm_source=abfa41a4&v=CD559E1EBBCF32C792D402A41C43BFF04B744864,67600.0,"['US', 'Kansas', 'Saline County', 'Salina']",Adzuna::API::Response::Location,"Salina, Saline County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,FirstFleet Inc
43.66663,"CDL CLASS A TRUCK DRIVER - LOCAL | HOME DAILY | NO-TOUCH FREIGHT FirstFleet: Austin, MN is seeking reliable CDL Class A drivers for local routes hauling corrugated paper products. This is a local position with daily home time and 100% no-touch freight. PAY / DETAILS $1,200 Weekly Average Monday - Friday $0.51 plus Stop Pay $0.58 on Loads less than 150 Miles Roundtrip Hourly Pay on Certain Loads ($20.75) Complete an application at www.firstfleetinc.com BENEFITS Medical, Dental, Vision and Hearin…",2026-04-26T09:40:56Z,,0,Adzuna::API::Response::Job,62400.0,-92.974637,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMTA2NDU1MCIsInMiOiI0dktzUTNsQjhSRzYwcF9mVVNkWWxBIn0.N-LpM6ErhRlehrmwtEGrK4gD97O0BV3DUGNkUojAAtg,5711064550,,CDL A Local Driver - HOME DAILY,https://www.adzuna.com/land/ad/5711064550?se=4vKsQ3lB8RG60p_fUSdYlA&utm_medium=api&utm_source=abfa41a4&v=1D46F7F520EDA6244FB096E2509768DFF89ED5F8,62400.0,"['US', 'Minnesota', 'Mower County', 'Austin']",Adzuna::API::Response::Location,"Austin, Mower County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,FirstFleet Inc
41.429773,"CDL A LOCAL TRUCK DRIVER: $1200 - $1300 Per Week ($1200 Minimum) FirstFleet in Butler, IN is a local operation delivering essential paper products within a 250 mile radius. Home Daily PAY Weekly Avg $1200 - $1300 JOB Deliveries within 250 mile radius Local operation - Home daily 1st Shift Mainly drop and hook No Touch Freight Monday - Friday operation (Saturday's on a rotational basis) Complete an application at www.firstfleetinc.com BENEFITS Medical, Dental, Vision and Hearing Starting at $15.…",2026-04-26T09:40:56Z,,0,Adzuna::API::Response::Job,62400.0,-84.87135,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNHZLc1EzbEI4Ukc2MHBfZlVTZFlsQSIsImkiOiI1NzExMDY0NTQ3In0.OXSaRhvoCh12z7aV7aSvESWvSwIzzcPvIiha-l9QQLY,5711064547,,CDL A Local Truck Driver - Home Daily,https://www.adzuna.com/land/ad/5711064547?se=4vKsQ3lB8RG60p_fUSdYlA&utm_medium=api&utm_source=abfa41a4&v=8CB9950C7E8C8E6C3757556B2B770D1058A67A32,62400.0,"['US', 'Indiana', 'DeKalb County', 'Butler']",Adzuna::API::Response::Location,"Butler, DeKalb County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,FirstFleet Inc
44.798019,CDL CLASS A TRUCK DRIVER - LOCAL | HOME DAILY | NO-TOUCH FREIGHT FirstFleet: Shakopee & Fridley is seeking reliable CDL Class A drivers for local routes hauling corrugated paper products. This is a local position with daily home time and 100% no-touch freight. PAY $1400 to $1700 Weekly Average FRIDLEY OPENING Monday - Friday (Home Daily) $25 Per Hour and $37.50 OT No Touch Freight SHAKOPEE OPENING Monday - Friday (Home Daily) $0.55 plus $15 Stop Pay after 1st Stop No Touch Freight Complete an a…,2026-04-26T09:40:56Z,,0,Adzuna::API::Response::Job,72800.0,-93.526899,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMTA2NDU1NCIsInMiOiI0dktzUTNsQjhSRzYwcF9mVVNkWWxBIn0.GSG-DfW7xaOlD0XeSCF-jVb4ZEAFDHo71fXVv34N_T0,5711064554,,CDL A Local Truck Driver - Home Daily,https://www.adzuna.com/land/ad/5711064554?se=4vKsQ3lB8RG60p_fUSdYlA&utm_medium=api&utm_source=abfa41a4&v=B63A9402B1624CDA3E6C29A138163191D9DDC00F,72800.0,"['US', 'Minnesota', 'Scott County', 'Shakopee']",Adzuna::API::Response::Location,"Shakopee, Scott County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,FirstFleet Inc
32.570157,"CDL A Truck Driver FirstFleet's West Monroe, LA location is a dedicated operation, delivering essential corrugated paper products, has a spotter/shuttle driver opening. Pay: $19.00 per hour Quarterly Safety Bonuses Job Responsibilities/Schedule: Monday-Friday - 3PM- 1AM. Please note must have yard spotting experience. Sometimes Saturday work for over time Must live within 35 miles of the operation at: 400 CENTRAL ST WEST MONROE 71292. Benefits: Medical, Dental, Vision, and Hearing 40 hours Paid…",2026-04-26T09:40:56Z,,0,Adzuna::API::Response::Job,39520.0,-92.189907,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMTA2NDU0OCIsInMiOiI0dktzUTNsQjhSRzYwcF9mVVNkWWxBIn0.iwnR4t59A46oHp4LlnyAuPM4a_mNHikonjw0M0ZgpVo,5711064548,,CDL A SPOTTER/SHUTTLE DRIVER,https://www.adzuna.com/land/ad/5711064548?se=4vKsQ3lB8RG60p_fUSdYlA&utm_medium=api&utm_source=abfa41a4&v=2F25FDAB1E6CD6491F981B0064D066EBED30EDE1,39520.0,"['US', 'Louisiana', 'Ouachita Parish', 'West Monroe']",Adzuna::API::Response::Location,"West Monroe, Ouachita Parish",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,FirstFleet Inc
