contract_time,salary_max,salary_is_predicted,created,adref,__CLASS__,description,title,salary_min,latitude,redirect_url,longitude,id,company.__CLASS__,company.display_name,category.__CLASS__,category.tag,category.label,location.area,location.display_name,location.__CLASS__,contract_type
part_time,41600.0,0,2026-05-03T10:11:37Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicHYyVlJ2cEc4UkdwXzdkTU1xNUtKQSIsImkiOiI1NzE3ODk0MDkxIn0.Ns6CMSiFdqqDu8EfSOOb7E9yD1ms_MEzYE8WNTAz7x0,Adzuna::API::Response::Job,"Part-time Description Healthy Kids Programs is seeking a passionate and organized early childhood professional to join our team as a Director / Lead Teacher for our Before and/or After School Pre-K program at Kendall Elementary School in Kendall, NY In this role, you’ll combine leadership and teaching , helping guide a high-quality early childhood program while supporting children’s development through engaging learning experiences. If you enjoy mentoring staff, partnering with families, and cr…",Pre-K Director and Lead Teacher – Before & After School,35360.0,43.328367,https://www.adzuna.com/details/5717894091?utm_medium=api&utm_source=abfa41a4,-78.03641,5717894091,Adzuna::API::Response::Company,Healthy Kids Programs,Adzuna::API::Response::Category,teaching-jobs,Teaching Jobs,"['US', 'New York', 'Monroe County', 'Morton']","Morton, Monroe County",Adzuna::API::Response::Location,
,77441.9,1,2026-05-03T10:11:35Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNzg5NDA3OSIsInMiOiJwdjJWUnZwRzhSR3BfN2RNTXE1S0pBIn0.VpQtdk_25NM001dZYdJ63buMe6RYxQLie7LLYkno29c,Adzuna::API::Response::Job,"Description Messer Construction Co. is a construction manager and general contractor that provides leadership for complex commercial building projects. An employee-owned company, Messer builds better lives for its customers, communities and employees, and delivers value through quality construction and client experiences. Founded in 1932, Messer’s footprint has grown to eleven regional offices located across the Midwest and Southeast: Greenville, South Carolina; Raleigh and Charlotte, North Car…","Sr. Safety Manager - Charlotte, NC",77441.9,35.127361,https://www.adzuna.com/land/ad/5717894079?se=pv2VRvpG8RGp_7dMMq5KJA&utm_medium=api&utm_source=abfa41a4&v=1ABE9E871A458A344E61C8B427D595E67AB52BB6,-80.95486,5717894079,Adzuna::API::Response::Company,Messer Construction,Adzuna::API::Response::Category,trade-construction-jobs,Trade & Construction Jobs,"['US', 'North Carolina', 'Mecklenburg County', 'Pineville']","Pineville, Mecklenburg County",Adzuna::API::Response::Location,
,74517.84,1,2026-05-03T10:11:35Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNzg5NDA4MCIsInMiOiJwdjJWUnZwRzhSR3BfN2RNTXE1S0pBIn0.t-9BR0wdvRlNzE83XInWyubZzPRqf8XNIB8pGTkNaeI,Adzuna::API::Response::Job,"Description Messer Construction Co. is a construction manager and general contractor that provides leadership for complex commercial building projects. An employee-owned company, Messer builds better lives for its customers, communities and employees, and delivers value through quality construction and client experiences. Founded in 1932, Messer’s footprint has grown to eleven regional offices located across the Midwest and Southeast: Greenville, South Carolina; Raleigh and Charlotte, North Car…","Sr. Safety Manager - Charlotte, NC",74517.84,35.190729,https://www.adzuna.com/land/ad/5717894080?se=pv2VRvpG8RGp_7dMMq5KJA&utm_medium=api&utm_source=abfa41a4&v=A27C0D856AD5F616D503BDDBCDD67087CBE83EF1,-80.743933,5717894080,Adzuna::API::Response::Company,Messer Construction,Adzuna::API::Response::Category,trade-construction-jobs,Trade & Construction Jobs,"['US', 'North Carolina', 'Mecklenburg County', 'Matthews']","Matthews, Mecklenburg County",Adzuna::API::Response::Location,
,78715.53,1,2026-05-03T10:11:35Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicHYyVlJ2cEc4UkdwXzdkTU1xNUtKQSIsImkiOiI1NzE3ODk0MDc4In0.-1q6_84JTaa5v7WfVxFUIZmWVOsL2FR_3UhZKXb0oZs,Adzuna::API::Response::Job,"Description Messer Construction Co. is a construction manager and general contractor that provides leadership for complex commercial building projects. An employee-owned company, Messer builds better lives for its customers, communities and employees, and delivers value through quality construction and client experiences. Founded in 1932, Messer’s footprint has grown to eleven regional offices located across the Midwest and Southeast: Greenville, South Carolina; Raleigh and Charlotte, North Car…","Sr. Safety Manager - Charlotte, NC",78715.53,35.16072,https://www.adzuna.com/land/ad/5717894078?se=pv2VRvpG8RGp_7dMMq5KJA&utm_medium=api&utm_source=abfa41a4&v=3690012A7793FE87B3DF76D412BF79C0B81A4FA2,-80.89852,5717894078,Adzuna::API::Response::Company,Messer Construction,Adzuna::API::Response::Category,trade-construction-jobs,Trade & Construction Jobs,"['US', 'North Carolina', 'Mecklenburg County', 'Pineville']","Pineville, Mecklenburg County",Adzuna::API::Response::Location,
,68954.82,1,2026-05-03T10:11:35Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNzg5NDA4NCIsInMiOiJwdjJWUnZwRzhSR3BfN2RNTXE1S0pBIn0.BWcbAdX6rEfxrQuB72Z3FQLY-zDcSdGtSrRGekrDRM0,Adzuna::API::Response::Job,"Description Messer Construction Co. is a construction manager and general contractor that provides leadership for complex commercial building projects. An employee-owned company, Messer builds better lives for its customers, communities and employees, and delivers value through quality construction and client experiences. Founded in 1932, Messer’s footprint has grown to eleven regional offices located across the Midwest and Southeast: Greenville, South Carolina; Raleigh and Charlotte, North Car…","Sr. Safety Manager - Charlotte, NC",68954.82,35.304797,https://www.adzuna.com/land/ad/5717894084?se=pv2VRvpG8RGp_7dMMq5KJA&utm_medium=api&utm_source=abfa41a4&v=183CBBE13EF6934078F6B7F008150C9630917B50,-80.878886,5717894084,Adzuna::API::Response::Company,Messer Construction,Adzuna::API::Response::Category,trade-construction-jobs,Trade & Construction Jobs,"['US', 'North Carolina', 'Mecklenburg County', 'Paw Creek']","Paw Creek, Mecklenburg County",Adzuna::API::Response::Location,
,19950.1,1,2026-05-03T10:11:15Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNzg5NDA1OSIsInMiOiJwdjJWUnZwRzhSR3BfN2RNTXE1S0pBIn0.r8nvideWOG5lbbQiiU2Db7HnWmBVj9vDFntUAcWcm_8,Adzuna::API::Response::Job,"Student success coach and mentor (entry level, paid, full-time) City Year AmeriCorps Member About City Year City Year, an AmeriCorps program, helps students across schools succeed. Teams of City Year AmeriCorps members provide support to students, classrooms and the whole school, helping to ensure that students in schools receive a high-quality education that prepares them with the skills and mindset to thrive and contribute to their community. What You’ll Do As a City Year AmeriCorps member, y…","Academic Tutor & Mentor (Entry Level, Paid, Full-time)",19950.1,36.095485,https://www.adzuna.com/land/ad/5717894059?se=pv2VRvpG8RGp_7dMMq5KJA&utm_medium=api&utm_source=abfa41a4&v=AFCA04BD1D1DE86D365C8DD69AB383E69F6F8B53,-95.884034,5717894059,Adzuna::API::Response::Company,City Year,Adzuna::API::Response::Category,teaching-jobs,Teaching Jobs,"['US', 'Oklahoma', 'Tulsa County', 'Williams']","Williams, Tulsa County",Adzuna::API::Response::Location,
part_time,55189.16,1,2026-05-03T10:11:12Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNzg5NDA1MyIsInMiOiJwdjJWUnZwRzhSR3BfN2RNTXE1S0pBIn0.ys6TlwJwgMrtH-LxYHE_U3wWmn5cThrSITE0fUQdvWM,Adzuna::API::Response::Job,"GetMed Staffing is searching for a strong Physical Therapist-Home Health to assist our traveler-friendly client. A minimum of 1-2 years of experience is required. Traveling with GetMed Staffing offers the unique opportunity to gain diverse experiences, both personally and professionally. Gain experience that matters.",Therapy - PT - Home Health,55189.16,37.754697,https://www.adzuna.com/details/5717894053?utm_medium=api&utm_source=abfa41a4,-121.952908,5717894053,Adzuna::API::Response::Company,CVH Care Home Health,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"['US', 'California', 'Contra Costa County', 'San Ramon']","San Ramon, Contra Costa County",Adzuna::API::Response::Location,
,65000.0,0,2026-05-03T10:11:05Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicHYyVlJ2cEc4UkdwXzdkTU1xNUtKQSIsImkiOiI1NzE3ODk0MDI3In0.ZmGcm-KulXo8gWkN08BcIV3ZLkHMQoWOJrS55AIGQkU,Adzuna::API::Response::Job,"CDL CLASS A TRUCK DRIVER - LOCAL | HOME DAILY | NO-TOUCH FREIGHT FirstFleet: Jeffersonville, IN is seeking reliable CDL Class A drivers for local routes hauling corrugated paper. This is a local position with daily home time and 100% no-touch freight. PAY $1250 Weekly Average JOB Home Daily 1st Shift Monday - Friday No Touch Complete an application at www.firstfleetinc.com BENEFITS Medical, Dental, Vision and Hearing Blue Cross Blue Shield Plan starting at $15.00 a week with Company Contributio…",CDL A Truck Driver - Home Daily,65000.0,38.309063,https://www.adzuna.com/details/5717894027?utm_medium=api&utm_source=abfa41a4,-85.771791,5717894027,Adzuna::API::Response::Company,FirstFleet Inc,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,"['US', 'Indiana', 'Clark County', 'Jeffersonville']","Jeffersonville, Clark County",Adzuna::API::Response::Location,
,62400.0,0,2026-05-03T10:11:05Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicHYyVlJ2cEc4UkdwXzdkTU1xNUtKQSIsImkiOiI1NzE3ODk0MDE0In0.T4Okx3wG5EOBolyCYV8hwcTMz8455WCZG9U1WzX9Unw,Adzuna::API::Response::Job,"CDL A LOCAL TRUCK DRIVER: $1200 - $1300 Per Week ($1200 Minimum) FirstFleet in Butler, IN is a local operation delivering essential paper products within a 250 mile radius. Home Daily PAY Weekly Avg $1200 - $1300 JOB Deliveries within 250 mile radius Local operation - Home daily 1st Shift Mainly drop and hook No Touch Freight Monday - Friday operation (Saturday's on a rotational basis) Complete an application at www.firstfleetinc.com BENEFITS Medical, Dental, Vision and Hearing Starting at $15.…",CDL A Local Truck Driver - Home Daily,62400.0,41.429773,https://www.adzuna.com/details/5717894014?utm_medium=api&utm_source=abfa41a4,-84.87135,5717894014,Adzuna::API::Response::Company,FirstFleet Inc,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,"['US', 'Indiana', 'DeKalb County', 'Butler']","Butler, DeKalb County",Adzuna::API::Response::Location,
,52000.0,0,2026-05-03T10:11:05Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNzg5NDAwMSIsInMiOiJwdjJWUnZwRzhSR3BfN2RNTXE1S0pBIn0.YXKRgGzrpTF3ONybjidFo7ACQ4TbTpF6Nl84npfes7M,Adzuna::API::Response::Job,"CDL-A LOCAL DRIVER POSITION FirstFleet Inc. Mooresville, NC operation is looking for drivers to deliver ESSENTIAL paper products, NO TOUCH FREIGHT and HOME EVERY DAY Day shift and Night shift available. For more details call Corey @ 704-798-8450 PAY $1100.00 - 1300 Gross Weekly Average Home Daily Scheduled Increases Quarterly Safety & Fuel Bonus program JOB Mostly Drop and Hook No Touch Freight Local - home daily delivering within 200 mile radius Late model Volvo, International & Peterbilt trac…",CDL A Local Truck Driver,52000.0,35.232678,https://www.adzuna.com/details/5717894001?utm_medium=api&utm_source=abfa41a4,-80.846082,5717894001,Adzuna::API::Response::Company,FirstFleet Inc,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,"['US', 'North Carolina', 'Mecklenburg County', 'Charlotte']","Charlotte, Mecklenburg County",Adzuna::API::Response::Location,
