salary_is_predicted,id,adref,created,contract_time,salary_min,__CLASS__,salary_max,description,redirect_url,latitude,longitude,title,location.__CLASS__,location.area,location.display_name,category.tag,category.__CLASS__,category.label,company.__CLASS__,company.display_name,contract_type
1,5840327821,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0MDMyNzgyMSIsInMiOiJVS1dIMVNLWDhSRzdQYWtpVTYwOGRRIn0.qxY2zkhTa1f1xKQZiAXekjbnrkWOdbUZBIT6zV3hWfY,2026-08-13T10:12:56Z,full_time,73445.02,Adzuna::API::Response::Job,73445.02,"Horizon Air Our airport teams work together to move guests and their belongings from curb to cabin, creating remarkable experiences along the way. Whether customer-facing or behind the scenes, we want to hear from you if you can be welcoming to people from all walks of life, think on your feet, and manage a flexible schedule. In return, you’ll receive a competitive total rewards package, professional development opportunities, and other benefits that are all designed to take you places. The Dut…",https://www.adzuna.com/details/5840327821?utm_medium=api&utm_source=abfa41a4,45.562502,-122.599712,Duty Manager Station Operations,Adzuna::API::Response::Location,"['US', 'Oregon', 'Multnomah County', 'Maywood Park']","Maywood Park, Multnomah County",travel-jobs,Adzuna::API::Response::Category,Travel Jobs,Adzuna::API::Response::Company,Alaska Airlines,
1,5840327812,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVUtXSDFTS1g4Ukc3UGFraVU2MDhkUSIsImkiOiI1ODQwMzI3ODEyIn0.1-WEtg9t1iz1jD0gBgArsJ5zyQi3iccMkDtvuhP_gLI,2026-08-13T10:12:56Z,part_time,51124.06,Adzuna::API::Response::Job,51124.06,"Horizon Air Our airport teams work together to move guests and their belongings from curb to cabin, creating remarkable experiences along the way. Whether customer-facing or behind the scenes, we want to hear from you if you can be welcoming to people from all walks of life, think on your feet, and manage a flexible schedule. In return, you’ll receive a competitive total rewards package, professional development opportunities, and other benefits that are all designed to take you places. The Gro…",https://www.adzuna.com/details/5840327812?utm_medium=api&utm_source=abfa41a4,45.562502,-122.599712,Ground/Ramp Service Agent,Adzuna::API::Response::Location,"['US', 'Oregon', 'Multnomah County', 'Maywood Park']","Maywood Park, Multnomah County",travel-jobs,Adzuna::API::Response::Category,Travel Jobs,Adzuna::API::Response::Company,Alaska Airlines,
1,5840327792,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVUtXSDFTS1g4Ukc3UGFraVU2MDhkUSIsImkiOiI1ODQwMzI3NzkyIn0.S7jXMNrkECz3sdaa-ZPmB3b8kEkzPLL_7A7FP1iavjI,2026-08-13T10:12:54Z,full_time,103038.91,Adzuna::API::Response::Job,103038.91,"Are you an experienced Maintenance Technician who enjoys troubleshooting, solving problems, and helping residents? We are looking for a dependable and motivated Apartment Maintenance Technician to join our team at a Class A luxury apartment community. The ideal candidate will have hands-on experience with HVAC, plumbing, electrical, appliances, and general apartment maintenance . HVAC certification is preferred, but we are willing to provide training for the right candidate. Responsibilities Re…",https://www.adzuna.com/details/5840327792?utm_medium=api&utm_source=abfa41a4,40.785665,-96.652208,"Maintenance Technician – Apartment/Multifamily- Lincoln, Nebraska",Adzuna::API::Response::Location,"['US', 'Nebraska', 'Lancaster County', 'State House']","State House, Lancaster County",trade-construction-jobs,Adzuna::API::Response::Category,Trade & Construction Jobs,Adzuna::API::Response::Company,Richdale Apartments,
1,5840327780,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVUtXSDFTS1g4Ukc3UGFraVU2MDhkUSIsImkiOiI1ODQwMzI3NzgwIn0.2ht3_jURGEBknW_Gpp19xCARk7g4C-tfBd1mYADD990,2026-08-13T10:12:54Z,full_time,147074.98,Adzuna::API::Response::Job,147074.98,Endodontist (Full Time) Miami-Dade County and Broward County We are seeking a skilled and patient-focused Endodontist to join our established and growing practices in Miami-Dade County and Broward County. This is an excellent opportunity for a specialist seeking consistent full-time coverage in a well-supported clinical environment with strong internal referrals and high patient demand. Position Overview The Endodontist will provide high-quality endodontic care across both locations while colla…,https://www.adzuna.com/details/5840327780?utm_medium=api&utm_source=abfa41a4,25.96488,-80.14374,Endodontist,Adzuna::API::Response::Location,"['US', 'Florida', 'Miami-Dade County', 'Aventura']","Aventura, Miami-Dade County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Dental Care Alliance,
1,5840327778,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVUtXSDFTS1g4Ukc3UGFraVU2MDhkUSIsImkiOiI1ODQwMzI3Nzc4In0.11GNp_WRE6a9zw1eFIM7sOEBha-q8yeL9ADUXSCddgo,2026-08-13T10:12:54Z,full_time,93875.72,Adzuna::API::Response::Job,93875.72,"Dental One Associates of Woodbridge is looking f or a f ull- t ime Dental Hygienist in Woodbridge, Virginia to join our clinical team by providing a high level of patient care and satisfaction while operating in a team-based environment. We are committed to providing comprehensive, personalized care in a warm and welcoming environment, prioritizing patient comfort and advanced treatments for optimal oral health. As a Dental Hygienist at Dental One Associates of Woodbridge , you'll provide excep…",https://www.adzuna.com/details/5840327778?utm_medium=api&utm_source=abfa41a4,38.67798,-77.31516,Dental Hygienist,Adzuna::API::Response::Location,"['US', 'Virginia', 'Prince William County', 'Lake Ridge']","Lake Ridge, Prince William County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Dental Care Alliance,
1,5840327790,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVUtXSDFTS1g4Ukc3UGFraVU2MDhkUSIsImkiOiI1ODQwMzI3NzkwIn0.MJ4G1QO1ho4Y2jLqHkTh-dqGTdgOM1JDrvhcLxteRQ4,2026-08-13T10:12:54Z,full_time,46267.81,Adzuna::API::Response::Job,46267.81,"Diamond Spring Dental is looking for a Patient Service Representative in Denville, New Jersey, to join our clinical team by providing a high level of patient care and satisfaction while operating team-based environment. We take pride in providing comprehensive, personalized care in warm and welcoming environment, prioritizing patient comfort and advanced treatments for optimal oral health. Position Overview: This position is perfect for someone with a passion for providing outstanding customer …",https://www.adzuna.com/details/5840327790?utm_medium=api&utm_source=abfa41a4,40.87776,-74.4918,Patient Service Representative,Adzuna::API::Response::Location,"['US', 'New Jersey', 'Morris County', 'Denville']","Denville, Morris County",customer-services-jobs,Adzuna::API::Response::Category,Customer Services Jobs,Adzuna::API::Response::Company,Dental Care Alliance,
1,5840327783,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0MDMyNzc4MyIsInMiOiJVS1dIMVNLWDhSRzdQYWtpVTYwOGRRIn0.mKTsCrb8NN825ckrLhWs1ge5q3yhT7XkC6RYwULrW0E,2026-08-13T10:12:54Z,full_time,134225.14,Adzuna::API::Response::Job,134225.14,"Pediatric Dentist (Full Time) Main Street Children’s Dentistry & Orthodontics – Waterford Lakes and Winter Park (Orlando, FL) Main Street Children’s Dentistry & Orthodontics of Waterford Lakes and Winter Parkis seeking a skilled and patient-focused Pediatric Dentist to join our established practice in Orlando, Florida , on a full time basis . This is an excellent opportunity for a specialist looking for consistent, high-producing days in a well-supported, pediatric-focused clinical environment …",https://www.adzuna.com/details/5840327783?utm_medium=api&utm_source=abfa41a4,28.541023,-81.245384,Pediatric Dentist,Adzuna::API::Response::Location,"['US', 'Florida', 'Orange County', 'Union Park']","Union Park, Orange County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Dental Care Alliance,
1,5840327794,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVUtXSDFTS1g4Ukc3UGFraVU2MDhkUSIsImkiOiI1ODQwMzI3Nzk0In0.X8LxjVOC6nwpKXzNCXE13kPUhSiZ-gp6yhklap2Y6SE,2026-08-13T10:12:54Z,full_time,62120.59,Adzuna::API::Response::Job,62120.59,"Baystate Dental is looking for a Dental Assistant in Springfield , Massachusetts to assist our clinical team by providing a high level of patient care and satisfaction while operating in a team-based environment. Position Overview: As a Dental Assistant you are an integral part of care team in providing support to the office and assisting the professional dental staff with treatment. Support our mission to providing excellent dental care in the community and help us create more smiles and memor…",https://www.adzuna.com/details/5840327794?utm_medium=api&utm_source=abfa41a4,42.102801,-72.590265,Dental Assistant,Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Hampden County', 'Springfield']","Springfield, Hampden County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Dental Care Alliance,
1,5840327769,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVUtXSDFTS1g4Ukc3UGFraVU2MDhkUSIsImkiOiI1ODQwMzI3NzY5In0.2zwltHkuhNGtAMG7_jSvS4rbAnPHjMzo1asqSUBzpto,2026-08-13T10:12:53Z,part_time,175299.5,Adzuna::API::Response::Job,175299.5,"Job Title: Part-Time Pediatric Dentist Location: Middletown, NY Schedule: Part-Time | 1 day per week Why This Opportunity Stands Out Dolson Avenue Dental is seeking a skilled and compassionate Pediatric Dentist to join our established practice in Middletown, NY. This opportunity allows you to step directly into an existing, active one-day-per-week schedule and provide high-quality pediatric dental care in a supportive, patient-focused environment. This role is ideal for a Pediatric Dentist who …",https://www.adzuna.com/details/5840327769?utm_medium=api&utm_source=abfa41a4,41.448185,-74.432179,Pediatric Dentist,Adzuna::API::Response::Location,"['US', 'New York', 'Orange County', 'Scotchtown Branch']","Scotchtown Branch, Orange County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Dental Care Alliance,
1,5840327768,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVUtXSDFTS1g4Ukc3UGFraVU2MDhkUSIsImkiOiI1ODQwMzI3NzY4In0.g9lyHThAhtfo9OLroRMbuyydnbZ-foUV1UACG1t5CZE,2026-08-13T10:12:53Z,part_time,89795.37,Adzuna::API::Response::Job,89795.37,"Job Title: Part-Time Oral Surgeon Location: Haines City, FL Schedule: Part-Time | 2-3 day per week Why This Opportunity Stands Out Dental Specialty Center is seeking a skilled and experienced Oral Surgeon to join our brand-new practice in Haines City, FL . This opportunity allows you to help establish specialty care from the ground up in a modern, patient-focused environment. About Us Dental Specialty Center is committed to redefining the dental experience through advanced technology, collabora…",https://www.adzuna.com/details/5840327768?utm_medium=api&utm_source=abfa41a4,28.198376,-81.621308,Oral Surgeon,Adzuna::API::Response::Location,"['US', 'Florida', 'Polk County', 'Davenport']","Davenport, Polk County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Dental Care Alliance,
