redirect_url,id,title,salary_is_predicted,latitude,salary_max,salary_min,created,adref,description,longitude,__CLASS__,category.__CLASS__,category.label,category.tag,company.display_name,company.__CLASS__,location.__CLASS__,location.display_name,location.area,contract_time,contract_type
https://www.adzuna.com/details/5855404802?utm_medium=api&utm_source=abfa41a4,5855404802,Clearance Center Associate (PT),1,34.2285,102651.29,102651.29,2026-08-25T09:54:27Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1NTQwNDgwMiIsInMiOiJ1R2I0eDR5ZzhSR2FaS1RlVUpkd2JnIn0.QRLRwcUhWIOqyjda8tbwh10EJFkOcF56MN-cDttCDRw,"Goodwill is one of the leading non-profit brands in the world and one of the largest non-profits in Southern California. We are a rapidly evolving organization and yet we have never been more focused on our Mission, on our people, and on our future. It’s always a GOOD day in SoCal! Keep Goodwill Moving. Make an Impact Behind the Scenes. Goodwill Southern California is hiring Clearance Center Associates to support our mission of transforming lives through the power of work. In this role, you’ll …",-118.44348,Adzuna::API::Response::Job,Adzuna::API::Response::Category,Legal Jobs,legal-jobs,Goodwill Southern California,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Panorama City, Los Angeles County","['US', 'California', 'Los Angeles County', 'Panorama City']",,
https://www.adzuna.com/details/5855404796?utm_medium=api&utm_source=abfa41a4,5855404796,Trusts & Estates Tax Manager / Sr. Manager (cpa firm) - hybrid,1,42.354856,99697.45,99697.45,2026-08-25T09:54:22Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidUdiNHg0eWc4UkdhWktUZVVKZHdiZyIsImkiOiI1ODU1NDA0Nzk2In0.JjCYwxFBxGR79ejdVCJtQI1cik5Olw232LTKg7Bt6Gg,CPA firm seeking Trusts & Estates Tax Manager / Sr. Manager to take full responsibility for directing multiple engagements.,-71.066119,Adzuna::API::Response::Job,Adzuna::API::Response::Category,Accounting & Finance Jobs,accounting-finance-jobs,CPA firm,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Boston, Suffolk County","['US', 'Massachusetts', 'Suffolk County', 'Boston']",,
https://www.adzuna.com/land/ad/5855404790?se=uGb4x4yg8RGaZKTeUJdwbg&utm_medium=api&utm_source=abfa41a4&v=BDFC77E0BD57F87AD94C7E8016B33B5DE9E7792C,5855404790,"Travel Long Term Care RN - $2,079 per week",0,44.215261,108108.0,0.0,2026-08-25T09:54:20Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidUdiNHg0eWc4UkdhWktUZVVKZHdiZyIsImkiOiI1ODU1NDA0NzkwIn0.nr7WpeYTFcp9v9fiieaBy9GVzoecjNvMubWUgcnD8k0,"Care Team Solutions is seeking a travel nurse RN Long Term Care (LTC) Long Term Care for a travel nursing job in Berlin, Vermont. Job Description & Requirements Specialty: Long Term Care Discipline: RN Start Date: 09/28/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours Employment Type: Travel Registered Nurse must have 2 years of recent experience in particular specialty Details: Must Have 2 Years of recent Long Term Care experience. Specialty: Long Term Care Discipline: Registered Nurs…",-72.586162,Adzuna::API::Response::Job,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Care Team Solutions,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Berlin, Washington County","['US', 'Vermont', 'Washington County', 'Berlin']",,
https://www.adzuna.com/land/ad/5855404786?se=uGb4x4yg8RGaZKTeUJdwbg&utm_medium=api&utm_source=abfa41a4&v=951985C8087D0632F687E3FD43976804B73D2A92,5855404786,"Travel SICU RN - $2,308 per week",0,39.984926,120016.0,0.0,2026-08-25T09:54:19Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1NTQwNDc4NiIsInMiOiJ1R2I0eDR5ZzhSR2FaS1RlVUpkd2JnIn0.wkjXCDqNKGMFiHG7R-OjSYqj0VkLqlieVsnZNJ0kMW8,"Assured Nursing is seeking a travel nurse RN SICU - Surgical Intensive Care for a travel nursing job in York, Pennsylvania. Job Description & Requirements Specialty: SICU - Surgical Intensive Care Discipline: RN Start Date: 09/21/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Assured Nursing Job ID 37916723. Pay package is based on 12 hour shifts and 36.0 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job…",-76.761165,Adzuna::API::Response::Job,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Assured Nursing,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Hershey Heights, York County","['US', 'Pennsylvania', 'York County', 'Hershey Heights']",,
https://www.adzuna.com/land/ad/5855404779?se=uGb4x4yg8RGaZKTeUJdwbg&utm_medium=api&utm_source=abfa41a4&v=BE15AF976DCEB76F14D70A0B92C905F89B955970,5855404779,"Travel Certified Occupational Therapy Assistant - Paying up to $1,776/week",0,30.665351,92352.0,0.0,2026-08-25T09:54:18Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1NTQwNDc3OSIsInMiOiJ1R2I0eDR5ZzhSR2FaS1RlVUpkd2JnIn0.oenhBE1ayBNl9Z9Bybvti33kZ72DonrvxMsk0KbkEEQ,"Vivian is looking for Travel Certified Occupational Therapy Assistant Therapys in Kirbyville, Texas paying up to $1,776/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, e…",-93.921971,Adzuna::API::Response::Job,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Vivian Health,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Kirbyville, Jasper County","['US', 'Texas', 'Jasper County', 'Kirbyville']",,
https://www.adzuna.com/land/ad/5855404784?se=uGb4x4yg8RGaZKTeUJdwbg&utm_medium=api&utm_source=abfa41a4&v=439F4B3D0A9C1EAF8D08CD50EB76326E6343465C,5855404784,"Travel Outpatient Physical Therapist - Paying up to $2,586/week",0,36.650669,134472.0,0.0,2026-08-25T09:54:18Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1NTQwNDc4NCIsInMiOiJ1R2I0eDR5ZzhSR2FaS1RlVUpkd2JnIn0.YMrXqtHhXcWzSblRFOefXOgWxtxrRhMzOqA31OkZyyQ,"Vivian is looking for Travel Physical Therapist Therapys in Suffolk, Virginia paying up to $2,586/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover jobs…",-76.788703,Adzuna::API::Response::Job,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Vivian Health,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Holland, Suffolk City","['US', 'Virginia', 'Suffolk City', 'Holland']",,
https://www.adzuna.com/land/ad/5855404780?se=uGb4x4yg8RGaZKTeUJdwbg&utm_medium=api&utm_source=abfa41a4&v=72F80BF9BA1517F2EC5373D1AECCAA5890B5AE7B,5855404780,"Travel Telemetry RN - $1,942 per week",0,35.741598,100984.0,0.0,2026-08-25T09:54:18Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidUdiNHg0eWc4UkdhWktUZVVKZHdiZyIsImkiOiI1ODU1NDA0NzgwIn0.tC46InViEdzT1SyhQK9ss5iaO3nuGZrPHrYSc9ADhYQ,"PRN Healthcare is seeking a travel nurse RN Telemetry for a travel nursing job in Morganton, North Carolina. Job Description & Requirements Specialty: Telemetry Discipline: RN Start Date: 09/14/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel PRN Healthcare Job ID 1579096. Pay package is based on 12 hour shifts and 36 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job title: TELE RN About PRN Healthcare Our…",-81.698417,Adzuna::API::Response::Job,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,PRN Healthcare,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Morganton, Burke County","['US', 'North Carolina', 'Burke County', 'Morganton']",,
https://www.adzuna.com/land/ad/5855404769?se=uGb4x4yg8RGaZKTeUJdwbg&utm_medium=api&utm_source=abfa41a4&v=52CE13915501FF3E3A62BBD6AF37F9D0B6BA4BC1,5855404769,"Travel Certified Occupational Therapy Assistant - Paying up to $1,528/week",0,45.34746,79456.0,0.0,2026-08-25T09:54:17Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidUdiNHg0eWc4UkdhWktUZVVKZHdiZyIsImkiOiI1ODU1NDA0NzY5In0.xid8ZjN8lBSIYdRD7B03NV1mI8AuzWnLmHIPSB0SvXU,"Vivian is looking for Travel Certified Occupational Therapy Assistant Therapys in Petoskey, Michigan paying up to $1,528/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, …",-84.91512,Adzuna::API::Response::Job,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Vivian Health,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Bay View, Emmet County","['US', 'Michigan', 'Emmet County', 'Bay View']",,
https://www.adzuna.com/land/ad/5855404765?se=uGb4x4yg8RGaZKTeUJdwbg&utm_medium=api&utm_source=abfa41a4&v=F66C4579FA3772F4E3F61CB591A494E41A58F63C,5855404765,"Travel Physical Therapist - Paying up to $1,971/week",0,26.02704,102492.0,0.0,2026-08-25T09:54:17Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidUdiNHg0eWc4UkdhWktUZVVKZHdiZyIsImkiOiI1ODU1NDA0NzY1In0.k6VZxQnvvGhL9lQrgu2u99TXCm-Qivr4U1ksq5wHaP0,"Vivian is looking for Travel Physical Therapist Therapys in Hollywood, Florida paying up to $1,971/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover job…",-80.25156,Adzuna::API::Response::Job,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Vivian Health,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"West Hollywood, Broward County","['US', 'Florida', 'Broward County', 'West Hollywood']",,
https://www.adzuna.com/land/ad/5855404763?se=uGb4x4yg8RGaZKTeUJdwbg&utm_medium=api&utm_source=abfa41a4&v=D0A438187DAEF45A166C915115B132C7FF0CF235,5855404763,"Travel Occupational Therapist - Paying up to $2,736/week",0,36.043425,142272.0,0.0,2026-08-25T09:54:17Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1NTQwNDc2MyIsInMiOiJ1R2I0eDR5ZzhSR2FaS1RlVUpkd2JnIn0._BjCVFYPvpfH9qE-dhfezRbeAMTaF83Rtgc9jV4vFyM,"Vivian is looking for Travel Occupational Therapist Therapys in Broken Arrow, Oklahoma paying up to $2,736/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and disc…",-95.791033,Adzuna::API::Response::Job,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Vivian Health,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Broken Arrow, Tulsa County","['US', 'Oklahoma', 'Tulsa County', 'Broken Arrow']",,
