latitude,description,id,longitude,redirect_url,__CLASS__,created,adref,salary_max,title,salary_min,salary_is_predicted,location.area,location.__CLASS__,location.display_name,category.tag,category.__CLASS__,category.label,company.__CLASS__,company.display_name,contract_time,contract_type
39.399999,"Wellspring Nurse Source is seeking a travel nurse RN Med Surg / Telemetry for a travel nursing job in Towson, Maryland. Job Description & Requirements Specialty: Med Surg / Telemetry Discipline: RN Start Date: 08/10/2026 Duration: 10 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Wellspring Nurse Source Job ID 37577115. Pay package is based on 12 hour shifts and 36.0 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job title…",5808180738,-76.585786,https://www.adzuna.com/land/ad/5808180738?se=7kenG06E8RGtsJmdS9THBg&utm_medium=api&utm_source=abfa41a4&v=91360F520C83A3483330269956F07ABBC0D6C437,Adzuna::API::Response::Job,2026-07-20T11:13:36Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN2tlbkcwNkU4Ukd0c0ptZFM5VEhCZyIsImkiOiI1ODA4MTgwNzM4In0.8bylkVS0gxdWaoAi9OCLfMEyBVsY2jaeGWSJzzT9ayQ,109928.0,"Travel MS/Tele RN - $2,114 per week",0.0,0,"['US', 'Maryland', 'Baltimore County', 'Eudowood']",Adzuna::API::Response::Location,"Eudowood, Baltimore County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Wellspring Nurse Source,,
33.49846,"LanceSoft is seeking a travel nurse RN Med Surg / Telemetry for a travel nursing job in Orangeburg, South Carolina. Job Description & Requirements Specialty: Med Surg / Telemetry Discipline: RN Start Date: 08/03/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel About LanceSoft Established in 2000, LanceSoft is a Certified MBE and Woman-Owned organization. Lancesoft Inc. is one of the highest rated companies in the industry. We have been recognized as one of…",5808180734,-80.84702,https://www.adzuna.com/land/ad/5808180734?se=7kenG06E8RGtsJmdS9THBg&utm_medium=api&utm_source=abfa41a4&v=762841DBF718C29705B773D589086843C55F094E,Adzuna::API::Response::Job,2026-07-20T11:13:34Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN2tlbkcwNkU4Ukd0c0ptZFM5VEhCZyIsImkiOiI1ODA4MTgwNzM0In0.AXg0F_k_9_cyB1Is6Nfziprbt5s53qvxrQJUyfy485E,93860.0,"Travel Med-Surg/Telemetry Registered Nurse - $1,805 per week",0.0,0,"['US', 'South Carolina', 'Orangeburg County', 'Pecan Way Terrace']",Adzuna::API::Response::Location,"Pecan Way Terrace, Orangeburg County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,LanceSoft,,
27.716667,"Perm Staff Jobs is seeking a Registered Nurse (RN) ED - Emergency Department for a nursing job in Sun City Center, Florida. Job Description & Requirements Specialty: ED - Emergency Department Discipline: RN Duration: Ongoing Employment Type: Staff Charge Registered Nurse ER As a Charge Registered Nurse ER, your voice to influence patient care is valued and empowered at every turn –whether through open, collaborative relationships with your direct manager or more formal opportunities through hos…",5808180735,-82.35,https://www.adzuna.com/land/ad/5808180735?se=7kenG06E8RGtsJmdS9THBg&utm_medium=api&utm_source=abfa41a4&v=96570497D99583CE1768B3F895130C3EA9A673F0,Adzuna::API::Response::Job,2026-07-20T11:13:34Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN2tlbkcwNkU4Ukd0c0ptZFM5VEhCZyIsImkiOiI1ODA4MTgwNzM1In0.u8MYhOduD4AEAs1SH4-lE0X07yIIttf-XGKBDynWb_4,93600.0,staff - Registered Nurse (RN) - ED - Emergency Department - $43-45 per hour,89440.0,0,"['US', 'Florida', 'Hillsborough County', 'Sun']",Adzuna::API::Response::Location,"Sun, Hillsborough County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Perm Staff Jobs,,
47.705331,"Assured Nursing is seeking a travel CT Technologist for a travel job in Sidney, Montana. Job Description & Requirements Specialty: CT Technologist Discipline: Allied Health Professional Start Date: ASAP Duration: 13 weeks 40 hours per week Shift: 10 hours, days Employment Type: Travel Assured Nursing Job ID 37577193. Pay package is based on 10 hour shifts and 40.0 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job title: CT Tech:CT Tech,07:00:00-1…",5808180737,-104.165259,https://www.adzuna.com/land/ad/5808180737?se=7kenG06E8RGtsJmdS9THBg&utm_medium=api&utm_source=abfa41a4&v=42647D8F004E66F3DC3FA579656C4C7F5E5EE70F,Adzuna::API::Response::Job,2026-07-20T11:13:34Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwODE4MDczNyIsInMiOiI3a2VuRzA2RThSR3RzSm1kUzlUSEJnIn0.VS__J3CNlszdJMvffB2cqnLZaFpj3rQV-WduLwALbx4,159380.0,"Travel CT Technologist - $3,065 per week",0.0,0,"['US', 'Montana', 'Richland County', 'Sidney']",Adzuna::API::Response::Location,"Sidney, Richland County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Assured Nursing,,
40.041105,"Host Healthcare is seeking a local contract nurse RN PCU - Progressive Care Unit for a local contract nursing job in Columbus, Ohio. Job Description & Requirements Specialty: PCU - Progressive Care Unit Discipline: RN Start Date: 09/08/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Local Contract Host Healthcare Job ID La1fVX000003idITYAY. Pay package is based on 12 hour shifts and 36 hours per week (subject to confirmation) with tax-free stipend amount to be d…",5808180733,-82.965488,https://www.adzuna.com/land/ad/5808180733?se=7kenG06E8RGtsJmdS9THBg&utm_medium=api&utm_source=abfa41a4&v=296DBC4052C79AD7FD576DDDF2875CFF9A1DDD29,Adzuna::API::Response::Job,2026-07-20T11:13:33Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwODE4MDczMyIsInMiOiI3a2VuRzA2RThSR3RzSm1kUzlUSEJnIn0.GnUSrsdMJgbiW-PN27zAN36DdTVEW001aC6x9s3Uc14,93600.0,Local Contract ER Holding RN - $41-45 per hour,85280.0,0,"['US', 'Ohio', 'Franklin County', 'Minerva Park']",Adzuna::API::Response::Location,"Minerva Park, Franklin County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Host Healthcare,,
37.640644,"Supplemental Health Care is seeking a travel nurse RN Preoperative for a travel nursing job in Wichita, Kansas. Job Description & Requirements Specialty: Preoperative Discipline: RN Start Date: ASAP Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Job Description: Supplemental Health Care is connecting Pre-operative Registered Nurses with top-tier hospital contracts in Wichita, Kansas. Travel or stay local, either way, we’ll guide you to an opportunity that mat…",5808180732,-97.166562,https://www.adzuna.com/land/ad/5808180732?se=7kenG06E8RGtsJmdS9THBg&utm_medium=api&utm_source=abfa41a4&v=044C49EEE51B2645DEDCA8E48DBCF3C95571D9D2,Adzuna::API::Response::Job,2026-07-20T11:13:33Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN2tlbkcwNkU4Ukd0c0ptZFM5VEhCZyIsImkiOiI1ODA4MTgwNzMyIn0.o25gZN9Vy1EEiztM1jzISxTnczD3_iEgZyCpAoX7VG8,98228.0,"Travel Pre-Operative RN - $1,889 per week",0.0,0,"['US', 'Kansas', 'Butler County', 'Andover']",Adzuna::API::Response::Location,"Andover, Butler County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Supplemental Health Care,,
42.401,"LanceSoft is seeking a travel nurse RN OR - Operating Room for a travel nursing job in Sioux City, Iowa. Job Description & Requirements Specialty: OR - Operating Room Discipline: RN Start Date: 08/17/2026 Duration: 13 weeks 40 hours per week Shift: 10 hours, days Employment Type: Travel BLS [required] Mandatory reporter [required] 2 years experience [required] First time traveler Okay. EPIC experience [required] CNOR [preferred] Iowa license [required] About LanceSoft Established in 2000, Lance…",5808180731,-96.373,https://www.adzuna.com/land/ad/5808180731?se=7kenG06E8RGtsJmdS9THBg&utm_medium=api&utm_source=abfa41a4&v=AB616E3450D1B127DF7F0A4696FC512BBC5F3EEE,Adzuna::API::Response::Job,2026-07-20T11:13:32Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN2tlbkcwNkU4Ukd0c0ptZFM5VEhCZyIsImkiOiI1ODA4MTgwNzMxIn0.jZYQZgoX8DpGj6TRr-HQRumwvZq8SxnW6DcfMqZvZt8,145080.0,"Travel Nurse RN - OR - Operating Room - $2,790 per week",0.0,0,"['US', 'Iowa', 'Woodbury County', 'Sergeant Bluff']",Adzuna::API::Response::Location,"Sergeant Bluff, Woodbury County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,LanceSoft,,
40.34774,"Assured Nursing is seeking a travel nurse RN ICU - Intensive Care Unit for a travel nursing job in Greensburg, Pennsylvania. Job Description & Requirements Specialty: ICU - Intensive Care Unit Discipline: RN Start Date: 08/17/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days, nights, rotating Employment Type: Travel Assured Nursing Job ID 37577123. Pay package is based on 12 hour shifts and 36.0 hours per week (subject to confirmation) with tax-free stipend amount to be determined…",5808180730,-79.51842,https://www.adzuna.com/land/ad/5808180730?se=7kenG06E8RGtsJmdS9THBg&utm_medium=api&utm_source=abfa41a4&v=40D8D0B14630FC14E578162A097E6AEAF63641DD,Adzuna::API::Response::Job,2026-07-20T11:13:32Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwODE4MDczMCIsInMiOiI3a2VuRzA2RThSR3RzSm1kUzlUSEJnIn0.KDX-twakWsnSTcQejQzdEvP-QNFiea0uB_B6DfbjJz8,102232.0,"Travel ICU RN - $1,966 per week",0.0,0,"['US', 'Pennsylvania', 'Westmoreland County', 'Bovard']",Adzuna::API::Response::Location,"Bovard, Westmoreland County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Assured Nursing,,
37.640644,"Revolution Healthcare Services is seeking a travel nurse RN Acute Care Case Management for a travel nursing job in Wichita, Kansas. Job Description & Requirements Specialty: Acute Care Case Management Discipline: RN Start Date: ASAP Duration: 13 weeks 40 hours per week Shift: 8 hours, days Employment Type: Travel Job Opportunity – Registered Nurse (RN) Case Manager – KansasStart Date: July 20, 2026Location: Wichita, KansasCompensation: Details provided to qualified applicantsSchedule: Monday th…",5808180729,-97.166562,https://www.adzuna.com/land/ad/5808180729?se=7kenG06E8RGtsJmdS9THBg&utm_medium=api&utm_source=abfa41a4&v=3BF3A85E5E23A90AA32C59FA79C7472CED8E19BE,Adzuna::API::Response::Job,2026-07-20T11:13:31Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN2tlbkcwNkU4Ukd0c0ptZFM5VEhCZyIsImkiOiI1ODA4MTgwNzI5In0.uUNpRHygR-CC6VffGuQ97zelQkW3ou2Rpgv0AHQMvo0,138632.0,"Travel RN Case Manager - $2,666 per week",0.0,0,"['US', 'Kansas', 'Butler County', 'Andover']",Adzuna::API::Response::Location,"Andover, Butler County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Revolution Healthcare Services,,
27.716667,"Perm Staff Jobs is seeking a Registered Nurse (RN) ICU - Intensive Care Unit for a nursing job in Sun City Center, Florida. Job Description & Requirements Specialty: ICU - Intensive Care Unit Discipline: RN Duration: Ongoing Employment Type: Staff Registered Nurse ICU As a Registered Nurse ICU, your voice to influence patient care is valued and empowered at every turn –whether through open, collaborative relationships with your direct manager or more formal opportunities through hospital counci…",5808180728,-82.35,https://www.adzuna.com/land/ad/5808180728?se=7kenG06E8RGtsJmdS9THBg&utm_medium=api&utm_source=abfa41a4&v=9E7505A1150270C41FFE28FCD07D13BD73CBC0EF,Adzuna::API::Response::Job,2026-07-20T11:13:30Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN2tlbkcwNkU4Ukd0c0ptZFM5VEhCZyIsImkiOiI1ODA4MTgwNzI4In0.1wJC5cl6Oiom0wxBrM3gvmOMLUM1sPPt_5iiuiiBbPw,89440.0,staff - Registered Nurse (RN) - ICU - Intensive Care Unit - $39-43 per hour,81120.0,0,"['US', 'Florida', 'Hillsborough County', 'Sun']",Adzuna::API::Response::Location,"Sun, Hillsborough County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Company,Perm Staff Jobs,,
