latitude,title,salary_max,salary_is_predicted,adref,id,created,longitude,__CLASS__,description,salary_min,redirect_url,category.tag,category.__CLASS__,category.label,company.display_name,company.__CLASS__,location.__CLASS__,location.display_name,location.area,contract_type,contract_time
42.62722,"CDL-A Regional OTR Flatbed Truck Drivers - (Earn $80k - $95,000/ Yr!) (53808)",95000.0,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxNjU3Mzc4MCIsInMiOiJxRk5FUGdDSjhSR0VvcGJ5ZDBmOEh3In0.4Bt2E1jyWTVmy0GDJ6jvTbQX8oD8T9K3_8TNIDJfRrQ,5816573780,2026-07-26T10:30:46Z,-90.59207,Adzuna::API::Response::Job,"REGIONAL OTR CDL-A FLATBED TRUCK DRIVERS - HOME EVERY WEEKEND - RECENT GRADS WITH NO EXPERIENCE WELCOME Gypsum Express is now hiring for Regional OTR CDL-A Flatbed Truck Drivers. Recent grads with no experience are welcome to apply! Our Regional OTR CDL-A Flatbed Truck Driver Benefits: - Top Industry Pay - $80,000 to $95,000 - Home EVERY Weekend (34 hour reset) - High Miles - Mileage pay (practical miles) - 100% No Touch Freight - Orientation Pay $750.00/4 days - In Cab Training Pay $750.00/wee…",80000.0,https://www.adzuna.com/land/ad/5816573780?se=qFNEPgCJ8RGEopbyd0f8Hw&utm_medium=api&utm_source=abfa41a4&v=C9475A96F4B07ACDE347679D63E8E74D1EED87B8,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Gypsum Express,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Dickeyville, Grant County","['US', 'Wisconsin', 'Grant County', 'Dickeyville']",,
42.602814,"CDL-A Regional OTR Flatbed Truck Drivers - (Earn $80k - $95,000/ Yr!) (49073)",95000.0,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUZORVBnQ0o4UkdFb3BieWQwZjhIdyIsImkiOiI1ODE2NTczNzc4In0.25F-6-GdzxoZol4_wvJyyqo_D02sztYzbxVx2Bd7jfw,5816573778,2026-07-26T10:30:43Z,-85.093054,Adzuna::API::Response::Job,"REGIONAL OTR CDL-A FLATBED TRUCK DRIVERS - HOME EVERY WEEKEND - RECENT GRADS WITH NO EXPERIENCE WELCOME Gypsum Express is now hiring for Regional OTR CDL-A Flatbed Truck Drivers. Recent grads with no experience are welcome to apply! Our Regional OTR CDL-A Flatbed Truck Driver Benefits: - Top Industry Pay - $80,000 to $95,000 - Home EVERY Weekend (34 hour reset) - High Miles - Mileage pay (practical miles) - 100% No Touch Freight - Orientation Pay $750.00/4 days - In Cab Training Pay $750.00/wee…",80000.0,https://www.adzuna.com/land/ad/5816573778?se=qFNEPgCJ8RGEopbyd0f8Hw&utm_medium=api&utm_source=abfa41a4&v=CB3DA33406A9CB34F507CC5C729D9CF69F36106F,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Gypsum Express,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Nashville, Barry County","['US', 'Michigan', 'Barry County', 'Nashville']",,
41.661128,"CDL-A Regional OTR Flatbed Truck Drivers - (Earn $80k - $95,000/ Yr!) (52240)",95000.0,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxNjU3Mzc3NiIsInMiOiJxRk5FUGdDSjhSR0VvcGJ5ZDBmOEh3In0.ZLA6NqmQQngKIVvqeh-OyiAwngXmOQ8AkqYrBlg5bwU,5816573776,2026-07-26T10:30:40Z,-91.530168,Adzuna::API::Response::Job,"REGIONAL OTR CDL-A FLATBED TRUCK DRIVERS - HOME EVERY WEEKEND - RECENT GRADS WITH NO EXPERIENCE WELCOME Gypsum Express is now hiring for Regional OTR CDL-A Flatbed Truck Drivers. Recent grads with no experience are welcome to apply! Our Regional OTR CDL-A Flatbed Truck Driver Benefits: - Top Industry Pay - $80,000 to $95,000 - Home EVERY Weekend (34 hour reset) - High Miles - Mileage pay (practical miles) - 100% No Touch Freight - Orientation Pay $750.00/4 days - In Cab Training Pay $750.00/wee…",80000.0,https://www.adzuna.com/land/ad/5816573776?se=qFNEPgCJ8RGEopbyd0f8Hw&utm_medium=api&utm_source=abfa41a4&v=D919DDB029AFC5E05D05727597033C1F04CBADDE,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Gypsum Express,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Iowa City, Johnson County","['US', 'Iowa', 'Johnson County', 'Iowa City']",,
35.401471,"CDL-A Regional OTR Flatbed Truck Drivers - (Earn $80k - $95,000/ Yr!) (52036)",95000.0,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxNjU3Mzc3NSIsInMiOiJxRk5FUGdDSjhSR0VvcGJ5ZDBmOEh3In0.vM0sWO1QZkNDm0AkfElNH2bcT15mNORDIzHOeqcT8jI,5816573775,2026-07-26T10:30:40Z,-93.114341,Adzuna::API::Response::Job,"REGIONAL OTR CDL-A FLATBED TRUCK DRIVERS - HOME EVERY WEEKEND - RECENT GRADS WITH NO EXPERIENCE WELCOME Gypsum Express is now hiring for Regional OTR CDL-A Flatbed Truck Drivers. Recent grads with no experience are welcome to apply! Our Regional OTR CDL-A Flatbed Truck Driver Benefits: - Top Industry Pay - $80,000 to $95,000 - Home EVERY Weekend (34 hour reset) - High Miles - Mileage pay (practical miles) - 100% No Touch Freight - Orientation Pay $750.00/4 days - In Cab Training Pay $750.00/wee…",80000.0,https://www.adzuna.com/land/ad/5816573775?se=qFNEPgCJ8RGEopbyd0f8Hw&utm_medium=api&utm_source=abfa41a4&v=1A155B7AF499833547347D37ED642808AA62604C,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Gypsum Express,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Dover, Pope County","['US', 'Arkansas', 'Pope County', 'Dover']",,
41.756,"CDL-A Regional OTR Flatbed Truck Drivers - (Earn $80k - $95,000/ Yr!) (52251)",95000.0,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxNjU3Mzc3MyIsInMiOiJxRk5FUGdDSjhSR0VvcGJ5ZDBmOEh3In0.X9dj9WInen5jZHa9kpcmGwlQF7VEnJ0zHBiRxSqVBu0,5816573773,2026-07-26T10:30:37Z,-92.187,Adzuna::API::Response::Job,"REGIONAL OTR CDL-A FLATBED TRUCK DRIVERS - HOME EVERY WEEKEND - RECENT GRADS WITH NO EXPERIENCE WELCOME Gypsum Express is now hiring for Regional OTR CDL-A Flatbed Truck Drivers. Recent grads with no experience are welcome to apply! Our Regional OTR CDL-A Flatbed Truck Driver Benefits: - Top Industry Pay - $80,000 to $95,000 - Home EVERY Weekend (34 hour reset) - High Miles - Mileage pay (practical miles) - 100% No Touch Freight - Orientation Pay $750.00/4 days - In Cab Training Pay $750.00/wee…",80000.0,https://www.adzuna.com/land/ad/5816573773?se=qFNEPgCJ8RGEopbyd0f8Hw&utm_medium=api&utm_source=abfa41a4&v=7C1802B1C60F59A34DBC3807CB61BB6B4503C3EE,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Gypsum Express,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Ladora, Iowa County","['US', 'Iowa', 'Iowa County', 'Ladora']",,
43.043,"CDL-A Regional OTR Flatbed Truck Drivers - (Earn $80k - $95,000/ Yr!) (52171)",95000.0,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxNjU3Mzc3MCIsInMiOiJxRk5FUGdDSjhSR0VvcGJ5ZDBmOEh3In0.wJGFgM4QSXXTFk6-2xp3WpV6EGDSS6r_qbiEmB4ixI8,5816573770,2026-07-26T10:30:33Z,-92.03,Adzuna::API::Response::Job,"REGIONAL OTR CDL-A FLATBED TRUCK DRIVERS - HOME EVERY WEEKEND - RECENT GRADS WITH NO EXPERIENCE WELCOME Gypsum Express is now hiring for Regional OTR CDL-A Flatbed Truck Drivers. Recent grads with no experience are welcome to apply! Our Regional OTR CDL-A Flatbed Truck Driver Benefits: - Top Industry Pay - $80,000 to $95,000 - Home EVERY Weekend (34 hour reset) - High Miles - Mileage pay (practical miles) - 100% No Touch Freight - Orientation Pay $750.00/4 days - In Cab Training Pay $750.00/wee…",80000.0,https://www.adzuna.com/land/ad/5816573770?se=qFNEPgCJ8RGEopbyd0f8Hw&utm_medium=api&utm_source=abfa41a4&v=CDA81816064854F351339320097C98C6FCF06D66,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Gypsum Express,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Waucoma, Fayette County","['US', 'Iowa', 'Fayette County', 'Waucoma']",,
41.461,"CDL-A Regional OTR Flatbed Truck Drivers - (Earn $80k - $95,000/ Yr!) (50136)",95000.0,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUZORVBnQ0o4UkdFb3BieWQwZjhIdyIsImkiOiI1ODE2NTczNzY2In0.tuKG7_DnnfB9Oha0uu0N9i10TfjddpO4WQxRypa6LRo,5816573766,2026-07-26T10:30:32Z,-92.24,Adzuna::API::Response::Job,"REGIONAL OTR CDL-A FLATBED TRUCK DRIVERS - HOME EVERY WEEKEND - RECENT GRADS WITH NO EXPERIENCE WELCOME Gypsum Express is now hiring for Regional OTR CDL-A Flatbed Truck Drivers. Recent grads with no experience are welcome to apply! Our Regional OTR CDL-A Flatbed Truck Driver Benefits: - Top Industry Pay - $80,000 to $95,000 - Home EVERY Weekend (34 hour reset) - High Miles - Mileage pay (practical miles) - 100% No Touch Freight - Orientation Pay $750.00/4 days - In Cab Training Pay $750.00/wee…",80000.0,https://www.adzuna.com/land/ad/5816573766?se=qFNEPgCJ8RGEopbyd0f8Hw&utm_medium=api&utm_source=abfa41a4&v=80E491249A2418711F74DEEBA55D393F12AEA8FB,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Gypsum Express,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Keswick, Keokuk County","['US', 'Iowa', 'Keokuk County', 'Keswick']",,
42.314991,"CDL-A Regional OTR Flatbed Truck Drivers - (Earn $80k - $95,000/ Yr!) (50651)",95000.0,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUZORVBnQ0o4UkdFb3BieWQwZjhIdyIsImkiOiI1ODE2NTczNzYwIn0.zeAe-zBN45NhDw_420GUOKwIN1eP34puIDeuFw8vItQ,5816573760,2026-07-26T10:30:26Z,-92.192128,Adzuna::API::Response::Job,"REGIONAL OTR CDL-A FLATBED TRUCK DRIVERS - HOME EVERY WEEKEND - RECENT GRADS WITH NO EXPERIENCE WELCOME Gypsum Express is now hiring for Regional OTR CDL-A Flatbed Truck Drivers. Recent grads with no experience are welcome to apply! Our Regional OTR CDL-A Flatbed Truck Driver Benefits: - Top Industry Pay - $80,000 to $95,000 - Home EVERY Weekend (34 hour reset) - High Miles - Mileage pay (practical miles) - 100% No Touch Freight - Orientation Pay $750.00/4 days - In Cab Training Pay $750.00/wee…",80000.0,https://www.adzuna.com/land/ad/5816573760?se=qFNEPgCJ8RGEopbyd0f8Hw&utm_medium=api&utm_source=abfa41a4&v=FABC09A73FF063E969F961E49C7BF7058F3E8EB5,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Gypsum Express,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"La Porte City, Black Hawk County","['US', 'Iowa', 'Black Hawk County', 'La Porte City']",,
31.833498,Physician-Psychiatry: Adult,113679.03,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUZORVBnQ0o4UkdFb3BieWQwZjhIdyIsImkiOiI1ODE2NTczNzU2In0.qjRjOau1Emfx3MtZh_yZnyUSm_OWlznqEieGB1BmdP4,5816573756,2026-07-26T10:30:22Z,-111.002604,Adzuna::API::Response::Job,"Join our dynamic team in Tucson, AZ! The Department of Psychiatry at the Banner - University Medicine Behavioral Health Clinic is recruiting both adult and geriatric fellowship-trained psychiatrists for to join our vibrant department. The selected individuals will be provide ambulatory clinical care and clinical teaching at our innovative Banner - University Medicine Behavioral Health Clinic in Tucson, Arizona. Clinical responsibilities include outpatient care and shared call coverage (taken fr…",113679.03,https://www.adzuna.com/land/ad/5816573756?se=qFNEPgCJ8RGEopbyd0f8Hw&utm_medium=api&utm_source=abfa41a4&v=E8139C78FFC129DF9BE701C0CDB1189791054C19,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Banner Health,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Green Valley, Pima County","['US', 'Arizona', 'Pima County', 'Green Valley']",,
36.067604,Travel Echo Tech / Cardiac Sonographer,155065.22,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxNjU3Mzc1OCIsInMiOiJxRk5FUGdDSjhSR0VvcGJ5ZDBmOEh3In0.PhmfAwaib2A4n3a5ips7u9TDv_sx_TKt91rsy_1xfKQ,5816573758,2026-07-26T10:30:22Z,-79.756811,Adzuna::API::Response::Job,"Job Description /n Stability Healthcare is seeking a travel Echo Technologist for a travel job in Greensboro, North Carolina. Job Description & Requirements/n /n - Specialty: Echo Technologist /n - Discipline: Allied Health Professional /n - Duration: 13 weeks /n - 40 hours per week /n - Shift: 8 hours, days /n - Employment Type: Travel /n /n Stability Healthcare is looking for a Echo Tech Allied contract position in Greensboro, NC. ""Echocardiography Technicians (Cardiac Sonographers) are a ver…",155065.22,https://www.adzuna.com/land/ad/5816573758?se=qFNEPgCJ8RGEopbyd0f8Hw&utm_medium=api&utm_source=abfa41a4&v=25E1C5D53AB96D2398F2C3FC0217202642F633BE,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Stability Healthcare,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Greensboro, Guilford County","['US', 'North Carolina', 'Guilford County', 'Greensboro']",contract,
